,trial,state,Rwp,datetime_start,datetime_complete,Backgroundrefine,Backgroundtype,Instrument_parametersrefineZero,Mustrainrefine,Numberofcoefficients,Peakshape_parametersrefineSH/L,Peakshape_parametersrefineU,Peakshape_parametersrefineV,Peakshape_parametersrefineW,Peakshape_parametersrefineX,Peakshape_parametersrefineY,Phase_parametersrefinephase0,Sample_parametersrefineShift,Sample_parametersrefineSurfRoughA,Sample_parametersrefineSurfRoughB,system_attrs_number
0,0,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.890591,2024-09-14 05:03:53.087291,True,cosine,False,True,2,False,False,True,False,True,True,False,False,False,True,0
1,1,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.895079,2024-09-14 05:03:53.239336,False,cosine,False,True,10,False,False,True,False,False,True,False,True,False,False,1
2,2,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.901529,2024-09-14 05:03:55.285955,False,log interpolate,True,True,4,False,False,True,False,True,False,True,False,True,True,2
3,3,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.901603,2024-09-14 05:03:55.304200,True,inv interpolate,False,False,14,True,False,False,True,True,True,False,True,False,False,3
4,4,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.901671,2024-09-14 05:03:55.540906,True,log interpolate,True,True,4,True,False,False,True,True,True,True,False,False,True,4
5,5,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.901828,2024-09-14 05:03:54.727121,True,inv interpolate,False,True,4,False,True,True,True,True,False,True,True,True,False,5
6,6,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.901975,2024-09-14 05:03:54.798539,True,inv interpolate,True,False,15,False,False,True,True,False,True,False,False,True,True,6
7,7,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.908810,2024-09-14 05:03:54.746302,False,log interpolate,True,False,6,False,False,False,True,True,False,True,True,False,False,7
8,8,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.909094,2024-09-14 05:03:55.057563,True,log interpolate,True,False,8,False,False,True,True,False,True,False,True,False,True,8
9,9,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.909149,2024-09-14 05:03:54.520784,True,inv interpolate,True,False,5,False,False,True,False,False,False,True,True,True,False,9
10,10,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.909198,2024-09-14 05:03:55.057360,False,chebyschev,False,True,10,False,True,False,False,False,False,False,True,True,False,10
11,11,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.909499,2024-09-14 05:03:53.907277,True,cosine,True,False,1,False,False,False,True,False,True,False,False,True,False,11
12,12,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.909632,2024-09-14 05:03:54.536058,True,Q^2 power series,False,True,2,True,True,False,False,True,False,True,True,True,True,12
13,13,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.909667,2024-09-14 05:03:53.645561,False,Q^2 power series,False,False,9,False,True,True,False,True,True,False,False,True,False,13
14,14,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.910651,2024-09-14 05:03:54.503819,True,Q^2 power series,True,True,4,True,False,False,False,True,False,False,True,False,False,14
15,15,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.910775,2024-09-14 05:03:55.541468,True,log interpolate,False,False,15,False,True,True,False,True,True,False,True,False,False,15
16,16,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.912166,2024-09-14 05:03:53.922558,False,chebyschev,False,False,13,False,True,True,False,True,False,False,False,True,True,16
17,17,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.912246,2024-09-14 05:03:54.473508,True,cosine,False,False,13,False,True,False,False,False,True,False,True,False,True,17
18,18,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.912297,2024-09-14 05:03:54.103982,True,cosine,False,False,11,False,False,True,True,True,False,True,True,True,False,18
19,19,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:52.913662,2024-09-14 05:03:54.798212,False,cosine,True,False,15,False,True,True,True,False,True,True,True,False,True,19
20,20,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:53.927429,2024-09-14 05:03:56.548120,False,log interpolate,False,True,7,False,True,False,False,False,True,True,False,True,False,20
21,21,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:53.927926,2024-09-14 05:03:56.970142,False,Q^2 power series,False,False,13,False,True,False,False,False,True,False,False,True,True,21
22,22,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:53.928275,2024-09-14 05:03:56.539617,True,Q^2 power series,True,True,16,False,True,False,False,False,True,True,True,True,False,22
23,23,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:54.093822,2024-09-14 05:03:56.979498,True,cosine,False,False,15,False,True,False,False,False,True,False,False,False,True,23
24,24,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:54.613134,2024-09-14 05:03:57.170782,False,Q^-2 power series,True,False,10,False,True,False,False,False,True,False,False,False,True,24
25,25,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:54.735173,2024-09-14 05:03:57.839190,True,cosine,False,True,14,False,True,False,True,True,True,True,False,False,True,25
26,26,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:54.842785,2024-09-14 05:03:57.526048,True,chebyschev,False,True,12,False,True,False,False,False,True,False,False,False,True,26
27,27,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:55.029701,2024-09-14 05:03:57.826781,True,inv interpolate,False,True,13,False,True,True,True,False,True,True,False,False,True,27
28,28,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:55.061515,2024-09-14 05:03:57.543664,True,Q^-2 power series,False,True,12,False,True,False,False,True,True,False,False,False,True,28
29,29,TrialState.COMPLETE,1000000000.0,2024-09-14 05:03:55.191938,2024-09-14 05:03:57.603121,True,Q^-2 power series,False,True,12,False,True,False,False,True,True,True,False,False,True,29
