"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.042776
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",   -115.64
"Instparm: V",     -2.00
"Instparm: W",     27.09
"Instparm: X",      0.00
"Instparm: Y",     11.41
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    216.57
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.10
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,892.903,0.00112,890.235,890.189,0.708
10.01,886.668,0.00113,890.423,890.376,0.709
10.02,901.837,0.00111,890.603,890.556,0.709
10.03,882.102,0.00113,890.776,890.728,0.71
10.04,952.763,0.00105,890.942,890.894,0.711
10.05,926.663,0.00108,891.101,891.053,0.711
10.06,929.393,0.00108,891.253,891.205,0.712
10.07,872.462,0.00115,891.398,891.349,0.713
10.08,800.07,0.00125,891.536,891.487,0.714
10.09,890.165,0.00112,891.667,891.618,0.714
10.1,866.727,0.00115,891.791,891.742,0.715
10.11,854.263,0.00117,891.909,891.859,0.716
10.12,868.445,0.00115,892.019,891.969,0.716
10.13,894.17,0.00112,892.123,892.073,0.717
10.14,890.628,0.00112,892.22,892.17,0.718
10.15,938.303,0.00107,892.311,892.26,0.719
10.16,916.175,0.00109,892.395,892.343,0.719
10.17,883.168,0.00113,892.472,892.42,0.72
10.18,916.185,0.00109,892.542,892.49,0.721
10.19,965.212,0.00104,892.606,892.554,0.721
10.2,942.883,0.00106,892.664,892.611,0.722
10.21,846.635,0.00118,892.715,892.662,0.723
10.22,939.025,0.00106,892.76,892.706,0.724
10.23,922.915,0.00108,892.798,892.744,0.724
10.24,898.942,0.00111,892.83,892.776,0.725
10.25,923.73,0.00108,892.855,892.801,0.726
10.26,932.678,0.00107,892.874,892.82,0.726
10.27,882.255,0.00113,892.887,892.832,0.727
10.28,903.697,0.00111,892.894,892.839,0.728
10.29,891.655,0.00112,892.894,892.839,0.728
10.3,908.005,0.0011,892.889,892.833,0.729
10.31,916.0,0.00109,892.877,892.821,0.73
10.32,862.692,0.00116,892.859,892.803,0.731
10.33,901.628,0.00111,892.835,892.778,0.731
10.34,897.678,0.00111,892.805,892.748,0.732
10.35,854.737,0.00117,892.769,892.712,0.733
10.36,858.98,0.00116,892.727,892.669,0.733
10.37,904.888,0.00111,892.679,892.621,0.734
10.38,895.043,0.00112,892.626,892.567,0.735
10.39,866.423,0.00115,892.566,892.507,0.736
10.4,893.222,0.00112,892.501,892.442,0.736
10.41,923.555,0.00108,892.43,892.37,0.737
10.42,968.475,0.00103,892.353,892.293,0.738
10.43,979.303,0.00102,892.27,892.21,0.738
10.44,947.178,0.00106,892.182,892.121,0.739
10.45,883.68,0.00113,892.088,892.027,0.74
10.46,861.76,0.00116,891.989,891.927,0.741
10.47,934.505,0.00107,891.884,891.822,0.741
10.48,883.755,0.00113,891.773,891.711,0.742
10.49,846.89,0.00118,891.657,891.594,0.743
10.5,849.288,0.00118,891.536,891.472,0.743
10.51,852.975,0.00117,891.409,891.345,0.744
10.52,868.202,0.00115,891.276,891.212,0.745
10.53,822.435,0.00122,891.139,891.074,0.746
10.54,849.352,0.00118,890.996,890.93,0.746
10.55,847.393,0.00118,890.847,890.782,0.747
10.56,855.572,0.00117,890.694,890.628,0.748
10.57,892.28,0.00112,890.535,890.468,0.748
10.58,884.8,0.00113,890.371,890.304,0.749
10.59,883.332,0.00113,890.202,890.134,0.75
10.6,901.117,0.00111,890.027,889.96,0.75
10.61,935.923,0.00107,889.848,889.78,0.751
10.62,898.54,0.00111,889.664,889.595,0.752
10.63,872.612,0.00115,889.474,889.405,0.753
10.64,929.18,0.00108,889.28,889.21,0.753
10.65,933.71,0.00107,889.081,889.01,0.754
10.66,868.293,0.00115,888.876,888.805,0.755
10.67,957.52,0.00104,888.667,888.596,0.755
10.68,934.553,0.00107,888.453,888.381,0.756
10.69,853.23,0.00117,888.236,888.162,0.757
10.7,902.36,0.00111,888.012,887.938,0.758
10.71,907.05,0.0011,887.784,887.709,0.758
10.72,850.64,0.00118,887.551,887.475,0.759
10.73,902.285,0.00111,887.313,887.237,0.76
10.74,910.0,0.0011,887.071,886.994,0.76
10.75,851.1,0.00117,886.824,886.747,0.761
10.76,899.265,0.00111,886.573,886.495,0.762
10.77,838.99,0.00119,886.317,886.238,0.763
10.78,824.117,0.00121,886.056,885.977,0.763
10.79,835.092,0.0012,885.791,885.711,0.764
10.8,883.685,0.00113,885.521,885.441,0.765
10.81,904.688,0.00111,885.248,885.166,0.765
10.82,900.795,0.00111,884.969,884.887,0.766
10.83,879.457,0.00114,884.687,884.604,0.767
10.84,897.2,0.00111,884.4,884.316,0.767
10.85,920.525,0.00109,884.108,884.024,0.768
10.86,885.232,0.00113,883.813,883.728,0.769
10.87,871.212,0.00115,883.513,883.428,0.77
10.88,872.928,0.00115,883.209,883.123,0.77
10.89,920.165,0.00109,882.901,882.815,0.771
10.9,900.335,0.00111,882.589,882.502,0.772
10.91,943.455,0.00106,882.273,882.185,0.772
10.92,876.925,0.00114,881.952,881.864,0.773
10.93,933.865,0.00107,881.628,881.539,0.774
10.94,879.085,0.00114,881.3,881.21,0.775
10.95,826.215,0.00121,880.968,880.876,0.775
10.96,878.355,0.00114,880.631,880.54,0.776
10.97,863.335,0.00116,880.292,880.199,0.777
10.98,894.982,0.00112,879.948,879.854,0.777
10.99,917.482,0.00109,879.6,879.505,0.778
11.0,908.35,0.0011,879.248,879.153,0.779
11.01,877.555,0.00114,878.893,878.797,0.78
11.02,882.062,0.00113,878.534,878.437,0.78
11.03,883.332,0.00113,878.172,878.073,0.781
11.04,857.168,0.00117,877.805,877.706,0.782
11.05,824.275,0.00121,877.435,877.335,0.782
11.06,811.288,0.00123,877.062,876.961,0.783
11.07,885.485,0.00113,876.684,876.582,0.784
11.08,925.685,0.00108,876.304,876.201,0.784
11.09,947.403,0.00106,875.919,875.816,0.785
