,trial,state,Rwp,datetime_start,datetime_complete,Backgroundrefine,Backgroundtype,Instrument_parametersrefineZero,Mustrainrefine,Numberofcoefficients,Peakshape_parametersrefineSH/L,Peakshape_parametersrefineU,Peakshape_parametersrefineV,Peakshape_parametersrefineW,Peakshape_parametersrefineX,Peakshape_parametersrefineY,Phase_parametersrefinephase0,Sample_parametersrefineShift,Sample_parametersrefineSurfRoughA,Sample_parametersrefineSurfRoughB,system_attrs_number
0,0,TrialState.COMPLETE,22.823235805740445,2024-06-18 03:00:43.623871,2024-06-18 03:01:57.089705,True,cosine,False,True,2,False,False,True,False,True,True,False,False,False,True,0
1,1,TrialState.COMPLETE,51.4207690216664,2024-06-18 03:00:43.628466,2024-06-18 03:01:50.047111,False,cosine,False,False,10,True,False,True,False,False,True,False,True,False,False,1
2,2,TrialState.COMPLETE,72.16033565518929,2024-06-18 03:00:43.634599,2024-06-18 03:01:07.195553,False,inv interpolate,True,True,15,True,False,False,True,False,True,False,True,True,False,2
3,3,TrialState.COMPLETE,81.44114655748699,2024-06-18 03:00:43.634639,2024-06-18 03:00:53.962834,True,inv interpolate,False,True,11,True,False,False,True,True,True,True,True,True,True,3
4,4,TrialState.COMPLETE,72.1580425983666,2024-06-18 03:00:43.638907,2024-06-18 03:01:05.142573,False,log interpolate,True,True,11,True,True,False,True,False,True,False,False,True,True,4
5,5,TrialState.COMPLETE,53.23916444791082,2024-06-18 03:00:43.639124,2024-06-18 03:03:09.468498,False,Q^-2 power series,False,True,12,True,True,False,False,False,True,False,True,False,True,5
6,6,TrialState.COMPLETE,72.82093361505486,2024-06-18 03:00:43.639410,2024-06-18 03:01:03.980767,False,inv interpolate,False,False,8,True,False,True,False,True,True,False,True,True,False,6
7,7,TrialState.COMPLETE,17.37636402370393,2024-06-18 03:00:43.639533,2024-06-18 03:01:32.295526,True,chebyschev,True,False,10,True,False,False,True,True,True,True,False,False,True,7
8,8,TrialState.COMPLETE,49.90945515454443,2024-06-18 03:00:43.639578,2024-06-18 03:01:55.284822,False,chebyschev,True,True,1,True,True,True,False,True,False,True,True,False,False,8
9,9,TrialState.COMPLETE,32.28163800144127,2024-06-18 03:00:43.639627,2024-06-18 03:01:03.861595,True,cosine,False,True,2,True,False,False,True,True,False,False,False,True,True,9
10,10,TrialState.COMPLETE,45.36687458110594,2024-06-18 03:00:53.971727,2024-06-18 03:02:08.143303,False,Q^-2 power series,True,True,5,False,False,True,False,True,False,True,False,False,False,10
11,11,TrialState.COMPLETE,18.637330993635796,2024-06-18 03:01:03.985903,2024-06-18 03:02:11.784000,True,Q^-2 power series,True,True,15,True,True,True,True,False,True,True,False,False,False,11
12,12,TrialState.COMPLETE,27.93975895986333,2024-06-18 03:01:03.999719,2024-06-18 03:03:35.155464,True,inv interpolate,False,False,1,True,True,True,False,False,False,False,False,False,False,12
13,13,TrialState.COMPLETE,46.9035503714098,2024-06-18 03:01:05.155611,2024-06-18 03:02:10.183560,False,Q^-2 power series,True,True,9,False,False,False,False,False,True,False,True,False,False,13
14,14,TrialState.COMPLETE,51.785170172859985,2024-06-18 03:01:07.248655,2024-06-18 03:02:36.467380,False,Q^-2 power series,True,False,10,True,True,True,False,True,False,True,True,False,True,14
15,15,TrialState.COMPLETE,13.518740691004485,2024-06-18 03:01:32.304269,2024-06-18 03:03:10.366809,True,cosine,False,True,12,True,False,False,True,False,False,False,True,False,False,15
16,16,TrialState.COMPLETE,48.381086746684275,2024-06-18 03:01:50.066018,2024-06-18 03:02:59.172303,False,Q^2 power series,False,True,10,False,True,True,False,True,True,False,False,False,False,16
17,17,TrialState.COMPLETE,49.16226824197836,2024-06-18 03:01:55.311366,2024-06-18 03:03:06.808646,False,cosine,False,False,6,True,False,False,False,True,True,False,False,False,True,17
18,18,TrialState.COMPLETE,29.221864200154723,2024-06-18 03:01:57.098656,2024-06-18 03:02:19.620168,True,log interpolate,True,True,11,True,True,False,True,False,False,False,True,True,False,18
19,19,TrialState.COMPLETE,48.84821145421213,2024-06-18 03:02:08.167894,2024-06-18 03:03:10.703505,False,log interpolate,False,False,14,True,False,True,False,True,True,True,True,False,False,19
20,20,TrialState.COMPLETE,15.727220529004448,2024-06-18 03:02:10.205317,2024-06-18 03:03:08.305900,True,cosine,False,False,13,False,True,True,True,True,False,True,True,False,False,20
21,21,TrialState.COMPLETE,48.849677634142594,2024-06-18 03:02:11.790312,2024-06-18 03:04:10.627968,False,cosine,False,False,15,True,True,True,False,True,True,False,False,False,True,21
22,22,TrialState.COMPLETE,19.343419354092266,2024-06-18 03:02:19.697975,2024-06-18 03:03:30.858738,True,Q^-2 power series,False,True,4,True,True,True,False,True,False,False,True,False,True,22
23,23,TrialState.COMPLETE,69.01359620420105,2024-06-18 03:02:36.480054,2024-06-18 03:02:49.196886,True,Q^2 power series,False,True,5,True,False,True,False,True,False,False,False,True,True,23
24,24,TrialState.COMPLETE,81.44114655748699,2024-06-18 03:02:49.215284,2024-06-18 03:02:57.389493,True,inv interpolate,True,False,13,True,True,False,True,False,False,True,False,True,False,24
25,25,TrialState.COMPLETE,72.82230225020821,2024-06-18 03:02:57.399274,2024-06-18 03:03:13.847009,False,inv interpolate,False,True,15,False,True,True,True,True,True,True,False,True,True,25
26,26,TrialState.COMPLETE,30.02668164045258,2024-06-18 03:02:59.184863,2024-06-18 03:03:18.637468,True,cosine,False,False,13,True,True,False,False,False,True,True,True,True,False,26
27,27,TrialState.COMPLETE,17.2537987497105,2024-06-18 03:03:06.822476,2024-06-18 03:04:09.757625,True,chebyschev,True,False,16,True,False,True,False,True,False,True,True,False,False,27
28,28,TrialState.COMPLETE,81.44114655748699,2024-06-18 03:03:08.370767,2024-06-18 03:03:18.656482,True,inv interpolate,True,True,12,False,False,False,False,True,False,True,False,False,False,28
29,29,TrialState.COMPLETE,15.295417869696173,2024-06-18 03:03:09.478331,2024-06-18 03:04:24.899901,True,chebyschev,False,False,14,False,True,True,True,True,False,True,True,False,True,29
30,30,TrialState.COMPLETE,15.232469065203633,2024-06-18 03:03:10.399520,2024-06-18 03:04:24.025727,True,chebyschev,False,False,14,False,False,False,True,True,False,True,True,False,False,30
