,trial,state,Rwp,datetime_start,datetime_complete,Backgroundrefine,Backgroundtype,Instrument_parametersrefineZero,Mustrainrefine,Numberofcoefficients,Peakshape_parametersrefineSH/L,Peakshape_parametersrefineU,Peakshape_parametersrefineV,Peakshape_parametersrefineW,Peakshape_parametersrefineX,Peakshape_parametersrefineY,Phase_parametersrefinephase0,Sample_parametersrefineShift,Sample_parametersrefineSurfRoughA,Sample_parametersrefineSurfRoughB,system_attrs_number
0,0,TrialState.COMPLETE,17.264757718827827,2024-06-17 12:22:30.160015,2024-06-17 12:23:27.301420,True,cosine,False,True,2,False,False,True,False,True,True,False,False,False,True,0
1,1,TrialState.COMPLETE,42.90021238395824,2024-06-17 12:22:30.164725,2024-06-17 12:35:41.547082,False,cosine,False,False,10,True,False,True,False,False,False,False,True,False,False,1
2,2,TrialState.COMPLETE,13.23113184512667,2024-06-17 12:22:30.170591,2024-06-17 12:23:27.621566,True,chebyschev,True,True,2,True,True,False,True,False,False,True,True,False,True,2
3,3,TrialState.COMPLETE,80.505825544376,2024-06-17 12:22:30.171118,2024-06-17 12:22:46.068373,True,Q^2 power series,False,True,10,True,False,False,False,False,False,True,True,True,True,3
4,4,TrialState.COMPLETE,25.653798982829297,2024-06-17 12:22:30.171166,2024-06-17 12:22:57.077710,True,log interpolate,False,True,9,True,False,False,False,False,False,False,True,True,False,4
5,5,TrialState.COMPLETE,45.87098301883309,2024-06-17 12:22:30.171208,2024-06-17 12:24:26.205914,False,cosine,False,False,12,True,False,True,True,True,True,False,False,False,False,5
6,6,TrialState.COMPLETE,80.50590238910625,2024-06-17 12:22:30.171241,2024-06-17 12:22:40.267856,True,inv interpolate,False,True,13,False,False,False,True,True,True,False,True,False,False,6
7,7,TrialState.COMPLETE,44.855144977776256,2024-06-17 12:22:30.171528,2024-06-17 12:23:54.581959,False,inv interpolate,False,True,15,True,True,True,False,True,True,True,True,False,True,7
8,8,TrialState.COMPLETE,68.59596455252475,2024-06-17 12:22:30.171650,2024-06-17 12:22:48.897457,False,cosine,False,True,11,True,True,False,True,True,True,True,True,True,True,8
9,9,TrialState.COMPLETE,66.68659497540249,2024-06-17 12:22:30.171713,2024-06-17 12:22:51.625885,False,Q^-2 power series,True,True,16,True,False,True,True,True,True,False,True,True,True,9
10,10,TrialState.COMPLETE,30.199545804733553,2024-06-17 12:22:40.293856,2024-06-17 12:23:03.623939,True,chebyschev,False,False,1,True,True,False,False,False,False,False,False,True,False,10
11,11,TrialState.COMPLETE,19.698913675400117,2024-06-17 12:22:46.077795,2024-06-17 12:23:07.589885,True,cosine,True,False,16,True,True,False,False,True,True,True,False,True,True,11
12,12,TrialState.COMPLETE,25.677044079451044,2024-06-17 12:22:48.909817,2024-06-17 12:23:19.602864,True,Q^-2 power series,False,False,6,True,True,False,True,True,False,False,False,True,True,12
13,13,TrialState.COMPLETE,52.26213978239731,2024-06-17 12:22:51.632813,2024-06-17 12:23:51.753948,False,log interpolate,False,False,9,False,False,True,True,False,False,True,True,False,True,13
14,14,TrialState.COMPLETE,47.307004188470096,2024-06-17 12:22:57.090921,2024-06-17 12:24:12.065015,False,cosine,True,True,1,True,False,True,True,False,True,False,True,False,False,14
15,15,TrialState.COMPLETE,53.848140241569354,2024-06-17 12:23:03.629715,2024-06-17 12:24:19.225960,False,cosine,False,True,5,False,False,True,False,False,False,False,False,False,True,15
16,16,TrialState.COMPLETE,11.337885134540059,2024-06-17 12:23:07.599230,2024-06-17 12:23:54.773854,True,cosine,False,False,3,True,False,False,False,False,True,False,True,False,False,16
17,17,TrialState.COMPLETE,13.84646172505006,2024-06-17 12:23:19.617170,2024-06-17 12:25:12.998136,True,chebyschev,False,False,14,True,False,False,False,False,False,True,False,False,False,17
18,18,TrialState.COMPLETE,9.086362544356454,2024-06-17 12:23:27.322113,2024-06-17 12:24:19.029894,True,cosine,True,False,11,True,False,True,True,True,True,False,False,False,True,18
19,19,TrialState.COMPLETE,68.59596455252475,2024-06-17 12:23:27.630782,2024-06-17 12:23:48.767572,False,Q^-2 power series,False,False,3,False,False,False,False,False,True,True,True,True,True,19
20,20,TrialState.COMPLETE,80.50583912526523,2024-06-17 12:23:48.780529,2024-06-17 12:24:13.738664,True,Q^2 power series,True,False,16,False,False,True,True,False,True,False,True,False,True,20
21,21,TrialState.COMPLETE,43.74045019149761,2024-06-17 12:23:51.762597,2024-06-17 12:46:26.663509,False,Q^2 power series,False,True,15,True,True,False,False,False,False,True,False,False,False,21
22,22,TrialState.COMPLETE,9.97958080001447,2024-06-17 12:23:54.603280,2024-06-17 12:24:53.720109,True,Q^-2 power series,True,True,5,False,False,True,False,True,False,True,False,False,False,22
23,23,TrialState.COMPLETE,47.2957789426703,2024-06-17 12:23:54.782404,2024-06-17 12:24:45.426187,False,Q^2 power series,True,False,3,True,True,True,False,False,True,True,True,False,True,23
24,24,TrialState.COMPLETE,66.68659497540249,2024-06-17 12:24:12.085961,2024-06-17 12:24:30.651415,False,Q^-2 power series,True,True,1,False,True,True,True,False,True,True,True,True,True,24
25,25,TrialState.COMPLETE,66.68659497540249,2024-06-17 12:24:13.756656,2024-06-17 12:24:31.104248,False,chebyschev,True,True,14,True,True,False,False,False,True,False,False,True,True,25
26,26,TrialState.COMPLETE,80.5058258697718,2024-06-17 12:24:19.041064,2024-06-17 12:24:31.413490,True,Q^2 power series,False,False,5,True,False,True,True,False,True,True,True,True,False,26
27,27,TrialState.COMPLETE,44.819475696640446,2024-06-17 12:24:19.241944,2024-06-17 12:25:10.916671,False,cosine,True,False,16,False,True,False,True,True,True,True,True,False,True,27
28,28,TrialState.COMPLETE,80.50590238910625,2024-06-17 12:24:26.220857,2024-06-17 12:24:35.612196,True,inv interpolate,False,False,14,False,False,True,False,True,True,False,True,False,True,28
29,29,TrialState.COMPLETE,9.736040580280795,2024-06-17 12:24:30.662795,2024-06-17 12:25:24.031421,True,cosine,True,False,7,True,False,True,False,True,True,False,False,False,False,29
30,30,TrialState.COMPLETE,10.903112492607574,2024-06-17 12:24:31.123578,2024-06-17 12:25:15.407293,True,chebyschev,True,False,6,True,False,False,True,False,False,False,False,False,False,30
31,31,TrialState.COMPLETE,10.932960664103716,2024-06-17 12:24:31.430970,2024-06-17 12:25:17.008590,True,chebyschev,True,False,6,True,True,False,True,False,False,False,False,False,False,31
32,32,TrialState.COMPLETE,10.9739513244,2024-06-17 12:24:35.625259,2024-06-17 12:25:22.818458,True,chebyschev,True,False,7,True,True,False,True,False,False,False,False,False,False,32
33,33,TrialState.COMPLETE,10.932960664103716,2024-06-17 12:24:45.439783,2024-06-17 12:25:36.988753,True,chebyschev,True,False,6,True,True,False,True,False,False,False,False,False,False,33
34,34,TrialState.COMPLETE,9.694230327966432,2024-06-17 12:24:53.737592,2024-06-17 12:25:37.358288,True,cosine,True,False,6,False,False,True,False,True,False,False,False,False,False,34
35,35,TrialState.COMPLETE,11.18791465481792,2024-06-17 12:25:10.931325,2024-06-17 12:26:12.296787,True,Q^-2 power series,True,False,7,True,False,True,False,True,False,False,False,False,False,35
36,36,TrialState.COMPLETE,11.99700799357575,2024-06-17 12:25:13.026123,2024-06-17 12:26:11.190989,True,Q^-2 power series,True,False,7,False,False,True,False,True,False,False,False,False,False,36
37,37,TrialState.COMPLETE,11.542701965759534,2024-06-17 12:25:15.423726,2024-06-17 12:26:16.173626,True,Q^-2 power series,True,False,7,False,False,True,True,True,False,False,False,False,False,37
38,38,TrialState.COMPLETE,11.542701965759534,2024-06-17 12:25:17.042106,2024-06-17 12:26:16.069575,True,Q^-2 power series,True,False,7,False,False,True,True,True,False,False,False,False,False,38
39,39,TrialState.COMPLETE,10.730546414466252,2024-06-17 12:25:22.845895,2024-06-17 12:26:21.194267,True,Q^-2 power series,True,False,8,False,False,True,True,True,False,False,False,False,False,39
40,40,TrialState.COMPLETE,10.754092521313076,2024-06-17 12:25:24.082719,2024-06-17 12:26:28.369782,True,Q^-2 power series,True,False,8,False,False,True,False,True,False,False,False,False,False,40
41,41,TrialState.COMPLETE,11.99700799357575,2024-06-17 12:25:37.038671,2024-06-17 12:26:35.820283,True,Q^-2 power series,True,False,7,False,False,True,False,True,False,False,False,False,False,41
42,42,TrialState.COMPLETE,9.566642799454609,2024-06-17 12:25:37.384832,2024-06-17 12:26:17.053732,True,cosine,True,False,8,False,False,True,False,True,False,False,False,False,False,42
43,43,TrialState.COMPLETE,9.566642799454609,2024-06-17 12:26:11.220533,2024-06-17 12:26:55.423080,True,cosine,True,False,8,False,False,True,False,True,False,False,False,False,False,43
44,44,TrialState.COMPLETE,9.57016305123468,2024-06-17 12:26:12.314137,2024-06-17 12:26:56.688317,True,cosine,True,False,10,False,False,True,False,True,False,False,False,False,False,44
45,45,TrialState.COMPLETE,9.504596822231022,2024-06-17 12:26:16.196650,2024-06-17 12:26:59.173292,True,cosine,True,True,11,False,False,True,False,True,False,False,False,False,False,45
46,46,TrialState.COMPLETE,9.504596822231022,2024-06-17 12:26:16.228088,2024-06-17 12:26:57.354014,True,cosine,True,True,11,False,False,True,False,True,False,False,False,False,False,46
47,47,TrialState.COMPLETE,9.57016305123468,2024-06-17 12:26:17.103709,2024-06-17 12:27:09.554884,True,cosine,True,False,10,False,False,True,False,True,False,False,False,False,False,47
48,48,TrialState.COMPLETE,9.595353701448488,2024-06-17 12:26:21.255704,2024-06-17 12:27:04.515117,True,cosine,True,False,9,False,False,True,False,True,True,False,False,False,False,48
49,49,TrialState.COMPLETE,9.57003771082768,2024-06-17 12:26:28.447131,2024-06-17 12:27:15.039777,True,cosine,True,False,10,False,False,True,False,True,True,False,False,False,False,49
50,50,TrialState.COMPLETE,9.225499785573545,2024-06-17 12:26:35.839899,2024-06-17 12:27:31.488291,True,cosine,True,True,10,False,False,True,False,True,False,False,False,False,False,50
51,51,TrialState.COMPLETE,9.57016305123468,2024-06-17 12:26:55.441742,2024-06-17 12:27:47.206718,True,cosine,True,False,10,False,False,True,False,True,False,False,False,False,False,51
52,52,TrialState.COMPLETE,9.514448632330952,2024-06-17 12:26:56.708660,2024-06-17 12:27:42.452119,True,cosine,True,False,11,False,False,True,False,True,False,False,False,False,False,52
53,53,TrialState.COMPLETE,9.504596822231022,2024-06-17 12:26:57.408771,2024-06-17 12:27:42.782646,True,cosine,True,True,11,False,False,True,False,True,False,False,False,False,False,53
54,54,TrialState.COMPLETE,9.504596822231022,2024-06-17 12:26:59.254935,2024-06-17 12:27:44.734502,True,cosine,True,True,11,False,False,True,False,True,False,False,False,False,False,54
55,55,TrialState.COMPLETE,9.484116795825633,2024-06-17 12:27:04.540436,2024-06-17 12:27:50.573241,True,cosine,True,True,12,False,False,True,False,True,False,False,False,False,False,55
56,56,TrialState.COMPLETE,9.484116795825633,2024-06-17 12:27:09.594160,2024-06-17 12:27:52.457371,True,cosine,True,True,12,False,False,True,False,True,False,False,False,False,False,56
57,57,TrialState.COMPLETE,9.270931686399338,2024-06-17 12:27:15.128500,2024-06-17 12:28:01.625683,True,log interpolate,True,True,12,False,False,True,False,True,False,False,False,False,False,57
58,58,TrialState.COMPLETE,9.270931686399338,2024-06-17 12:27:31.591936,2024-06-17 12:28:21.286474,True,log interpolate,True,True,12,False,False,True,False,True,False,False,False,False,False,58
59,59,TrialState.COMPLETE,9.270931686399338,2024-06-17 12:27:42.522210,2024-06-17 12:28:35.133420,True,log interpolate,True,True,12,False,False,True,False,True,False,False,False,False,False,59
60,60,TrialState.COMPLETE,9.270931686399338,2024-06-17 12:27:42.882944,2024-06-17 12:28:34.086082,True,log interpolate,True,True,12,False,False,True,False,True,False,False,False,False,False,60
61,61,TrialState.COMPLETE,9.270931686399338,2024-06-17 12:27:44.843442,2024-06-17 12:28:29.632236,True,log interpolate,True,True,12,False,False,True,False,True,False,False,False,False,False,61
62,62,TrialState.COMPLETE,9.270931686399338,2024-06-17 12:27:47.254940,2024-06-17 12:28:38.530427,True,log interpolate,True,True,12,False,False,True,False,True,False,False,False,False,False,62
63,63,TrialState.COMPLETE,9.270931686399338,2024-06-17 12:27:50.619795,2024-06-17 12:28:44.868572,True,log interpolate,True,True,12,False,False,True,False,True,False,False,False,False,False,63
64,64,TrialState.COMPLETE,9.270931686399338,2024-06-17 12:27:52.524887,2024-06-17 12:28:48.742228,True,log interpolate,True,True,12,False,False,True,False,True,False,False,False,False,False,64
65,65,TrialState.COMPLETE,9.270931686399338,2024-06-17 12:28:01.686631,2024-06-17 12:28:54.520039,True,log interpolate,True,True,12,False,False,True,False,True,False,False,False,False,False,65
66,66,TrialState.COMPLETE,9.24441309905275,2024-06-17 12:28:21.310580,2024-06-17 12:29:14.778004,True,log interpolate,True,True,13,False,False,True,False,True,False,False,False,False,True,66
67,67,TrialState.COMPLETE,9.24441309905275,2024-06-17 12:28:29.711297,2024-06-17 12:29:28.870518,True,log interpolate,True,True,13,False,False,True,False,True,False,False,False,False,True,67
68,68,TrialState.COMPLETE,9.24441309905275,2024-06-17 12:28:34.110391,2024-06-17 12:29:23.186347,True,log interpolate,True,True,13,False,False,True,False,True,False,False,False,False,True,68
69,69,TrialState.COMPLETE,9.24441309905275,2024-06-17 12:28:35.157514,2024-06-17 12:29:33.986544,True,log interpolate,True,True,13,False,False,True,False,True,False,False,False,False,True,69
70,70,TrialState.COMPLETE,9.24441309905275,2024-06-17 12:28:38.563798,2024-06-17 12:29:38.512233,True,log interpolate,True,True,13,False,False,True,False,True,False,False,False,False,True,70
71,71,TrialState.COMPLETE,9.24441309905275,2024-06-17 12:28:44.886952,2024-06-17 12:29:39.787599,True,log interpolate,True,True,13,False,False,True,False,True,False,False,False,False,True,71
72,72,TrialState.COMPLETE,9.24441309905275,2024-06-17 12:28:48.766329,2024-06-17 12:29:43.445348,True,log interpolate,True,True,13,False,False,True,False,True,False,False,False,False,True,72
73,73,TrialState.COMPLETE,9.24441309905275,2024-06-17 12:28:54.553108,2024-06-17 12:29:52.372316,True,log interpolate,True,True,13,False,False,True,False,True,False,False,False,False,True,73
74,74,TrialState.COMPLETE,9.24441309905275,2024-06-17 12:29:14.857264,2024-06-17 12:30:09.784645,True,log interpolate,True,True,13,False,False,True,False,True,False,False,False,False,True,74
75,75,TrialState.COMPLETE,9.24441309905275,2024-06-17 12:29:23.285284,2024-06-17 12:30:16.763441,True,log interpolate,True,True,13,False,False,True,False,True,False,False,False,False,True,75
