,trial,state,Rwp,datetime_start,datetime_complete,Backgroundrefine,Backgroundtype,Instrument_parametersrefineZero,Mustrainrefine,Numberofcoefficients,Peakshape_parametersrefineSH/L,Peakshape_parametersrefineU,Peakshape_parametersrefineV,Peakshape_parametersrefineW,Peakshape_parametersrefineX,Peakshape_parametersrefineY,Phase_parametersrefinephase0,Sample_parametersrefineShift,Sample_parametersrefineSurfRoughA,Sample_parametersrefineSurfRoughB,system_attrs_number
0,0,TrialState.COMPLETE,10.52757165586233,2024-06-18 08:18:05.464852,2024-06-18 08:19:17.440763,True,cosine,False,True,2,False,False,True,False,True,True,False,False,False,True,0
1,1,TrialState.COMPLETE,38.07985205719945,2024-06-18 08:18:05.474281,2024-06-18 08:19:19.415656,False,cosine,False,True,10,False,False,True,False,True,False,False,True,False,False,1
2,2,TrialState.COMPLETE,72.03994755736332,2024-06-18 08:18:05.479643,2024-06-18 08:18:26.254459,False,Q^-2 power series,True,False,8,True,True,False,True,True,True,False,True,True,True,2
3,3,TrialState.COMPLETE,35.04759352368944,2024-06-18 08:18:05.479894,2024-06-18 08:45:09.959956,False,log interpolate,False,False,12,True,True,True,False,False,False,False,False,False,True,3
4,4,TrialState.COMPLETE,32.34473016209742,2024-06-18 08:18:05.480093,2024-06-18 08:18:29.567786,True,log interpolate,False,True,1,True,True,True,True,False,True,False,True,True,True,4
5,5,TrialState.COMPLETE,28.911342059539262,2024-06-18 08:18:05.480199,2024-06-18 08:18:31.046541,True,cosine,False,True,12,True,False,False,True,True,False,True,True,True,False,5
6,6,TrialState.COMPLETE,72.14787843101479,2024-06-18 08:18:05.480497,2024-06-18 08:18:23.078696,False,inv interpolate,True,True,11,True,True,False,False,True,True,True,True,True,False,6
7,7,TrialState.COMPLETE,13.567528948703972,2024-06-18 08:18:05.480584,2024-06-18 08:19:03.672195,True,inv interpolate,True,True,2,False,False,False,False,False,True,True,False,False,True,7
8,8,TrialState.COMPLETE,72.03994755736332,2024-06-18 08:18:05.480702,2024-06-18 08:18:27.685713,False,inv interpolate,True,True,1,True,False,False,True,True,True,False,True,True,False,8
9,9,TrialState.COMPLETE,35.420138331086875,2024-06-18 08:18:05.480810,2024-06-18 08:19:19.873216,False,inv interpolate,False,False,1,True,False,True,True,True,True,True,False,False,False,9
10,10,TrialState.COMPLETE,40.31777949031895,2024-06-18 08:18:23.085173,2024-06-18 08:19:37.710380,False,chebyschev,False,True,15,False,False,False,False,False,True,True,True,False,True,10
11,11,TrialState.COMPLETE,72.03994755736332,2024-06-18 08:18:26.279816,2024-06-18 08:18:45.387726,False,chebyschev,True,False,11,False,False,True,True,True,False,False,True,True,False,11
12,12,TrialState.COMPLETE,11.683508088997604,2024-06-18 08:18:27.693128,2024-06-18 08:19:11.672161,True,log interpolate,True,True,4,False,True,False,True,False,True,False,True,False,True,12
13,13,TrialState.COMPLETE,72.03994755736332,2024-06-18 08:18:29.574077,2024-06-18 08:18:46.225050,False,Q^-2 power series,True,True,15,False,False,False,False,False,False,False,False,True,True,13
14,14,TrialState.COMPLETE,72.03363737756817,2024-06-18 08:18:31.053948,2024-06-18 08:18:50.620675,False,Q^2 power series,False,False,15,True,False,True,True,True,False,False,False,True,True,14
15,15,TrialState.COMPLETE,40.88526666875069,2024-06-18 08:18:45.395407,2024-06-18 08:19:40.991142,False,log interpolate,False,False,16,False,False,False,False,False,True,True,True,False,True,15
16,16,TrialState.COMPLETE,72.42640893126652,2024-06-18 08:18:46.238088,2024-06-18 08:19:12.218645,True,Q^2 power series,False,True,6,True,False,False,True,True,False,True,False,False,False,16
17,17,TrialState.COMPLETE,37.705033586651375,2024-06-18 08:18:50.636345,2024-06-18 08:19:40.708298,False,chebyschev,False,False,16,False,False,False,False,True,False,False,False,False,False,17
18,18,TrialState.COMPLETE,37.192283959458564,2024-06-18 08:19:03.687435,2024-06-18 08:20:34.795491,False,chebyschev,False,False,5,True,True,True,True,True,False,True,True,False,True,18
19,19,TrialState.COMPLETE,7.097196303968052,2024-06-18 08:19:11.686857,2024-06-18 08:20:24.024887,True,cosine,True,True,12,False,False,False,True,False,False,True,True,False,False,19
20,20,TrialState.COMPLETE,72.03994755736332,2024-06-18 08:19:12.227161,2024-06-18 08:19:30.963701,False,chebyschev,True,True,11,True,False,True,False,False,True,False,False,True,True,20
21,21,TrialState.COMPLETE,72.03363737756817,2024-06-18 08:19:17.452049,2024-06-18 08:19:36.035873,False,Q^-2 power series,False,False,16,True,False,False,False,True,True,True,False,True,False,21
