"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    357.93
"Instparm: V",   -218.77
"Instparm: W",     44.50
"Instparm: X",      2.69
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    211.56
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.01
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,986.668,0.00101,897.235,897.012,0.711
10.01,892.572,0.00112,897.855,897.629,0.712
10.02,944.015,0.00106,898.459,898.232,0.712
10.03,913.605,0.00109,899.048,898.82,0.713
10.04,913.033,0.0011,899.623,899.393,0.714
10.05,973.945,0.00103,900.184,899.952,0.715
10.06,992.117,0.00101,900.729,900.496,0.715
10.07,866.145,0.00115,901.261,901.027,0.716
10.08,889.66,0.00112,901.778,901.542,0.717
10.09,950.827,0.00105,902.282,902.044,0.717
10.1,962.715,0.00104,902.771,902.531,0.718
10.11,927.05,0.00108,903.246,903.005,0.719
10.12,965.648,0.00104,903.707,903.465,0.719
10.13,976.043,0.00102,904.155,903.91,0.72
10.14,997.808,0.001,904.588,904.343,0.721
10.15,945.66,0.00106,905.009,904.761,0.722
10.16,894.735,0.00112,905.415,905.166,0.722
10.17,874.918,0.00114,905.809,905.558,0.723
10.18,852.225,0.00117,906.189,905.936,0.724
10.19,904.255,0.00111,906.555,906.301,0.724
10.2,949.168,0.00105,906.909,906.653,0.725
10.21,935.263,0.00107,907.25,906.992,0.726
10.22,948.385,0.00105,907.577,907.318,0.727
10.23,913.888,0.00109,907.892,907.631,0.727
10.24,934.065,0.00107,908.194,907.931,0.728
10.25,843.45,0.00119,908.483,908.218,0.729
10.26,977.61,0.00102,908.76,908.493,0.729
10.27,900.192,0.00111,909.025,908.755,0.73
10.28,890.0,0.00112,909.276,909.005,0.731
10.29,917.02,0.00109,909.516,909.243,0.732
10.3,862.982,0.00116,909.743,909.468,0.732
10.31,934.66,0.00107,909.959,909.682,0.733
10.32,916.347,0.00109,910.162,909.883,0.734
10.33,886.357,0.00113,910.353,910.072,0.734
10.34,883.332,0.00113,910.533,910.249,0.735
10.35,946.227,0.00106,910.7,910.415,0.736
10.36,1013.207,0.00099,910.856,910.569,0.736
10.37,999.053,0.001,911.001,910.711,0.737
10.38,984.702,0.00102,911.133,910.841,0.738
10.39,941.472,0.00106,911.255,910.961,0.739
10.4,978.51,0.00102,911.365,911.069,0.739
10.41,947.482,0.00106,911.464,911.165,0.74
10.42,922.43,0.00108,911.552,911.251,0.741
10.43,866.268,0.00115,911.628,911.325,0.741
10.44,934.597,0.00107,911.694,911.389,0.742
10.45,895.61,0.00112,911.749,911.441,0.743
10.46,895.962,0.00112,911.793,911.483,0.744
10.47,926.467,0.00108,911.826,911.514,0.744
10.48,879.357,0.00114,911.849,911.534,0.745
10.49,888.222,0.00113,911.861,911.544,0.746
10.5,940.6,0.00106,911.863,911.543,0.746
