"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     -2.00
"Instparm: W",     25.16
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",     -0.07
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    205.39
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,983.928,0.00102,1054.966,1054.955,0.711
10.01,983.332,0.00102,1052.588,1052.577,0.712
10.02,1025.81,0.00097,1050.23,1050.219,0.712
10.03,951.143,0.00105,1047.893,1047.882,0.713
10.04,900.888,0.00111,1045.577,1045.566,0.714
10.05,869.39,0.00115,1043.281,1043.27,0.715
10.06,936.345,0.00107,1041.006,1040.995,0.715
10.07,931.22,0.00107,1038.752,1038.74,0.716
10.08,899.727,0.00111,1036.517,1036.506,0.717
10.09,926.928,0.00108,1034.302,1034.291,0.717
10.1,957.222,0.00104,1032.108,1032.096,0.718
10.11,917.67,0.00109,1029.933,1029.921,0.719
10.12,919.378,0.00109,1027.777,1027.766,0.719
10.13,916.977,0.00109,1025.642,1025.63,0.72
10.14,916.668,0.00109,1023.525,1023.513,0.721
10.15,961.95,0.00104,1021.428,1021.416,0.722
10.16,978.737,0.00102,1019.35,1019.338,0.722
10.17,976.982,0.00102,1017.29,1017.278,0.723
10.18,967.62,0.00103,1015.25,1015.238,0.724
10.19,981.737,0.00102,1013.228,1013.216,0.724
10.2,956.217,0.00105,1011.225,1011.213,0.725
10.21,944.298,0.00106,1009.24,1009.228,0.726
10.22,976.45,0.00102,1007.274,1007.261,0.727
10.23,980.0,0.00102,1005.325,1005.313,0.727
10.24,922.845,0.00108,1003.395,1003.382,0.728
10.25,919.673,0.00109,1001.482,1001.47,0.729
10.26,962.08,0.00104,999.588,999.575,0.729
10.27,939.625,0.00106,997.711,997.698,0.73
10.28,951.683,0.00105,995.851,995.838,0.731
10.29,944.327,0.00106,994.009,993.996,0.732
10.3,940.332,0.00106,992.184,992.171,0.732
10.31,937.0,0.00107,990.376,990.363,0.733
10.32,957.658,0.00104,988.585,988.572,0.734
10.33,992.97,0.00101,986.811,986.798,0.734
10.34,1005.655,0.00099,985.054,985.04,0.735
10.35,997.683,0.001,983.313,983.299,0.736
10.36,954.755,0.00105,981.589,981.575,0.736
10.37,920.075,0.00109,979.881,979.867,0.737
10.38,982.475,0.00102,978.189,978.175,0.738
10.39,998.97,0.001,976.513,976.499,0.739
10.4,949.19,0.00105,974.854,974.84,0.739
10.41,934.37,0.00107,973.21,973.196,0.74
10.42,906.455,0.0011,971.582,971.567,0.741
10.43,906.317,0.0011,969.969,969.955,0.741
10.44,918.602,0.00109,968.372,968.358,0.742
10.45,884.207,0.00113,966.79,966.776,0.743
10.46,915.778,0.00109,965.224,965.209,0.744
10.47,949.803,0.00105,963.672,963.657,0.744
10.48,989.08,0.00101,962.136,962.121,0.745
10.49,945.69,0.00106,960.614,960.599,0.746
10.5,931.07,0.00107,959.107,959.092,0.746
10.51,897.273,0.00111,957.615,957.6,0.747
10.52,958.763,0.00104,956.137,956.122,0.748
10.53,895.32,0.00112,954.674,954.658,0.749
10.54,955.013,0.00105,953.224,953.209,0.749
10.55,957.393,0.00104,951.789,951.774,0.75
10.56,944.79,0.00106,950.368,950.352,0.751
10.57,993.785,0.00101,948.961,948.945,0.751
10.58,949.57,0.00105,947.568,947.552,0.752
10.59,836.582,0.0012,946.188,946.172,0.753
10.6,864.83,0.00116,944.822,944.805,0.753
10.61,958.883,0.00104,943.469,943.452,0.754
10.62,904.847,0.00111,942.129,942.113,0.755
10.63,893.707,0.00112,940.803,940.786,0.756
10.64,914.045,0.00109,939.49,939.473,0.756
10.65,881.175,0.00113,938.189,938.172,0.757
10.66,923.97,0.00108,936.902,936.885,0.758
10.67,971.372,0.00103,935.627,935.61,0.758
10.68,923.495,0.00108,934.365,934.348,0.759
10.69,898.95,0.00111,933.115,933.098,0.76
10.7,867.153,0.00115,931.878,931.86,0.761
10.71,928.235,0.00108,930.653,930.635,0.761
10.72,886.538,0.00113,929.44,929.422,0.762
10.73,897.685,0.00111,928.239,928.221,0.763
10.74,908.84,0.0011,927.051,927.032,0.763
10.75,924.725,0.00108,925.874,925.855,0.764
10.76,941.385,0.00106,924.708,924.69,0.765
10.77,928.62,0.00108,923.555,923.536,0.766
10.78,932.55,0.00107,922.413,922.394,0.766
10.79,939.212,0.00106,921.282,921.263,0.767
10.8,869.475,0.00115,920.162,920.143,0.768
10.81,827.69,0.00121,919.054,919.035,0.768
10.82,914.35,0.00109,917.957,917.937,0.769
10.83,953.08,0.00105,916.871,916.851,0.77
10.84,918.533,0.00109,915.795,915.775,0.771
10.85,913.332,0.00109,914.73,914.71,0.771
10.86,875.232,0.00114,913.676,913.656,0.772
10.87,893.435,0.00112,912.633,912.613,0.773
10.88,952.303,0.00105,911.6,911.579,0.773
10.89,939.513,0.00106,910.577,910.557,0.774
10.9,916.188,0.00109,909.565,909.544,0.775
10.91,986.44,0.00101,908.562,908.541,0.775
10.92,999.59,0.001,907.57,907.549,0.776
10.93,967.862,0.00103,906.588,906.566,0.777
10.94,957.492,0.00104,905.615,905.594,0.778
10.95,909.962,0.0011,904.652,904.631,0.778
10.96,879.99,0.00114,903.699,903.677,0.779
10.97,899.997,0.00111,902.756,902.733,0.78
10.98,900.418,0.00111,901.821,901.799,0.78
10.99,911.655,0.0011,900.896,900.874,0.781
11.0,939.545,0.00106,899.981,899.958,0.782
11.01,922.955,0.00108,899.074,899.051,0.783
11.02,896.72,0.00112,898.176,898.153,0.783
11.03,951.505,0.00105,897.288,897.264,0.784
11.04,960.0,0.00104,896.408,896.384,0.785
11.05,925.13,0.00108,895.537,895.513,0.785
11.06,899.668,0.00111,894.675,894.65,0.786
11.07,899.57,0.00111,893.821,893.796,0.787
11.08,850.668,0.00118,892.976,892.951,0.788
11.09,910.048,0.0011,892.139,892.113,0.788
11.1,911.303,0.0011,891.31,891.284,0.789
11.11,921.592,0.00109,890.49,890.464,0.79
11.12,937.815,0.00107,889.677,889.651,0.79
11.13,908.153,0.0011,888.873,888.846,0.791
11.14,836.775,0.0012,888.077,888.049,0.792
11.15,846.915,0.00118,887.288,887.26,0.792
11.16,876.02,0.00114,886.507,886.479,0.793
11.17,911.788,0.0011,885.734,885.705,0.794
11.18,850.23,0.00118,884.968,884.939,0.795
11.19,868.872,0.00115,884.242,884.18,0.795
11.2,887.763,0.00113,883.491,883.429,0.796
11.21,878.462,0.00114,882.748,882.685,0.797
11.22,911.265,0.0011,882.011,881.948,0.797
11.23,933.957,0.00107,881.282,881.218,0.798
11.24,933.788,0.00107,880.576,880.496,0.799
11.25,910.3,0.0011,879.86,879.78,0.8
11.26,926.81,0.00108,879.152,879.071,0.8
11.27,932.878,0.00107,878.45,878.369,0.801
11.28,953.457,0.00105,877.755,877.673,0.802
11.29,945.173,0.00106,877.066,876.984,0.802
11.3,926.1,0.00108,876.384,876.302,0.803
