"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.064055
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",     63.39
"Instparm: V",   -166.36
"Instparm: W",     69.43
"Instparm: X",     -4.62
"Instparm: Y",     28.70
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.08
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,903.4,0.00111,900.511,900.499,0.716
10.01,812.572,0.00123,900.21,900.197,0.716
10.02,885.255,0.00113,899.906,899.894,0.717
10.03,869.07,0.00115,899.6,899.587,0.718
10.04,845.445,0.00118,899.292,899.279,0.718
10.05,894.855,0.00112,898.984,898.968,0.719
10.06,893.94,0.00112,898.671,898.655,0.72
10.07,950.87,0.00105,898.355,898.339,0.72
10.08,929.423,0.00108,898.038,898.022,0.721
10.09,920.615,0.00109,897.718,897.702,0.722
10.1,886.727,0.00113,897.396,897.38,0.723
10.11,904.497,0.00111,897.071,897.055,0.723
10.12,906.668,0.0011,896.745,896.729,0.724
10.13,921.773,0.00108,896.416,896.4,0.725
10.14,893.133,0.00112,896.085,896.069,0.725
10.15,838.68,0.00119,895.752,895.735,0.726
10.16,860.492,0.00116,895.416,895.4,0.727
10.17,872.383,0.00115,895.079,895.063,0.728
10.18,903.487,0.00111,894.739,894.723,0.728
10.19,870.497,0.00115,894.398,894.381,0.729
10.2,830.51,0.0012,894.054,894.037,0.73
10.21,847.75,0.00118,893.708,893.691,0.73
10.22,895.158,0.00112,893.36,893.343,0.731
10.23,824.765,0.00121,893.009,892.993,0.732
10.24,891.87,0.00112,892.657,892.64,0.733
10.25,1041.328,0.00096,892.303,892.286,0.733
10.26,936.435,0.00107,891.947,891.93,0.734
10.27,899.298,0.00111,891.588,891.571,0.735
10.28,917.69,0.00109,891.228,891.211,0.735
10.29,889.977,0.00112,890.866,890.849,0.736
10.3,919.678,0.00109,890.501,890.484,0.737
10.31,902.335,0.00111,890.135,890.118,0.737
10.32,894.003,0.00112,889.767,889.75,0.738
10.33,866.357,0.00115,889.397,889.379,0.739
10.34,824.383,0.00121,889.025,889.007,0.74
10.35,891.878,0.00112,888.651,888.633,0.74
10.36,914.967,0.00109,888.275,888.257,0.741
10.37,913.675,0.00109,887.897,887.879,0.742
10.38,889.403,0.00112,887.517,887.5,0.742
10.39,850.788,0.00118,887.135,887.118,0.743
10.4,909.433,0.0011,886.752,886.734,0.744
10.41,931.605,0.00107,886.367,886.349,0.745
10.42,930.347,0.00107,885.98,885.962,0.745
10.43,897.163,0.00111,885.591,885.573,0.746
10.44,878.415,0.00114,885.2,885.182,0.747
10.45,900.528,0.00111,884.807,884.79,0.747
10.46,849.668,0.00118,884.413,884.395,0.748
10.47,873.135,0.00115,884.017,883.999,0.749
10.48,846.878,0.00118,883.619,883.601,0.75
10.49,890.977,0.00112,883.22,883.202,0.75
10.5,902.62,0.00111,882.819,882.8,0.751
10.51,843.827,0.00119,882.416,882.397,0.752
10.52,884.25,0.00113,882.011,881.993,0.752
10.53,878.11,0.00114,881.605,881.586,0.753
10.54,942.04,0.00106,881.197,881.178,0.754
10.55,920.298,0.00109,880.787,880.768,0.754
10.56,889.945,0.00112,880.376,880.357,0.755
10.57,943.055,0.00106,879.963,879.944,0.756
10.58,911.435,0.0011,879.548,879.529,0.757
10.59,859.222,0.00116,879.132,879.113,0.757
10.6,850.37,0.00118,878.714,878.695,0.758
10.61,829.26,0.00121,878.295,878.276,0.759
10.62,800.013,0.00125,877.874,877.855,0.759
10.63,882.513,0.00113,877.451,877.432,0.76
10.64,884.457,0.00113,877.027,877.008,0.761
10.65,859.673,0.00116,876.602,876.582,0.762
10.66,830.058,0.0012,876.175,876.155,0.762
10.67,847.352,0.00118,875.746,875.727,0.763
10.68,864.77,0.00116,875.316,875.297,0.764
10.69,890.288,0.00112,874.884,874.865,0.764
10.7,825.452,0.00121,874.451,874.432,0.765
10.71,828.467,0.00121,874.017,873.997,0.766
10.72,847.692,0.00118,873.581,873.561,0.767
10.73,861.79,0.00116,873.144,873.124,0.767
10.74,833.87,0.0012,872.705,872.685,0.768
10.75,868.285,0.00115,872.265,872.245,0.769
10.76,914.545,0.00109,871.823,871.803,0.769
10.77,928.827,0.00108,871.38,871.36,0.77
10.78,856.47,0.00117,870.936,870.916,0.771
10.79,911.342,0.0011,870.49,870.47,0.772
10.8,914.122,0.00109,870.043,870.023,0.772
10.81,872.212,0.00115,869.595,869.575,0.773
10.82,907.77,0.0011,869.145,869.125,0.774
10.83,954.42,0.00105,868.694,868.674,0.774
10.84,936.533,0.00107,868.242,868.222,0.775
10.85,892.283,0.00112,867.789,867.768,0.776
10.86,901.32,0.00111,867.334,867.313,0.776
10.87,900.405,0.00111,866.878,866.857,0.777
10.88,958.565,0.00104,866.421,866.4,0.778
10.89,875.933,0.00114,865.962,865.941,0.779
10.9,877.962,0.00114,865.503,865.482,0.779
10.91,888.773,0.00113,865.042,865.021,0.78
10.92,930.923,0.00107,864.58,864.559,0.781
10.93,904.528,0.00111,864.116,864.095,0.781
10.94,940.885,0.00106,863.652,863.631,0.782
10.95,996.29,0.001,863.186,863.165,0.783
10.96,933.308,0.00107,862.72,862.698,0.784
10.97,821.258,0.00122,862.252,862.23,0.784
10.98,844.562,0.00118,861.783,861.761,0.785
10.99,861.655,0.00116,861.313,861.291,0.786
11.0,831.295,0.0012,860.842,860.82,0.786
11.01,823.755,0.00121,860.37,860.348,0.787
11.02,823.332,0.00121,859.896,859.875,0.788
11.03,794.247,0.00126,859.422,859.4,0.789
11.04,801.63,0.00125,858.947,858.925,0.789
11.05,849.827,0.00118,858.47,858.448,0.79
11.06,894.425,0.00112,857.993,857.971,0.791
11.07,856.452,0.00117,857.514,857.492,0.791
11.08,829.688,0.00121,857.035,857.013,0.792
11.09,881.778,0.00113,856.555,856.532,0.793
11.1,829.115,0.00121,856.073,856.051,0.793
11.11,811.308,0.00123,855.591,855.568,0.794
11.12,879.518,0.00114,855.108,855.085,0.795
11.13,806.038,0.00124,854.623,854.601,0.796
11.14,810.697,0.00123,854.138,854.116,0.796
11.15,865.4,0.00116,853.652,853.629,0.797
11.16,864.66,0.00116,853.165,853.142,0.798
11.17,831.545,0.0012,852.678,852.655,0.798
11.18,806.447,0.00124,852.189,852.166,0.799
11.19,794.673,0.00126,851.699,851.676,0.8
11.2,851.05,0.00118,851.209,851.186,0.801
11.21,836.925,0.00119,850.718,850.694,0.801
11.22,795.852,0.00126,850.226,850.202,0.802
11.23,824.58,0.00121,849.733,849.709,0.803
11.24,881.847,0.00113,849.239,849.215,0.803
11.25,890.0,0.00112,848.745,848.721,0.804
11.26,915.9,0.00109,848.249,848.226,0.805
11.27,931.505,0.00107,847.753,847.73,0.806
11.28,870.085,0.00115,847.257,847.233,0.806
11.29,874.367,0.00114,846.759,846.735,0.807
11.3,885.283,0.00113,846.261,846.237,0.808
11.31,915.375,0.00109,845.765,845.738,0.808
11.32,888.435,0.00113,845.265,845.238,0.809
11.33,874.73,0.00114,844.765,844.737,0.81
11.34,793.065,0.00126,844.264,844.236,0.81
11.35,797.192,0.00125,843.762,843.734,0.811
11.36,891.648,0.00112,843.261,843.232,0.812
11.37,900.942,0.00111,842.758,842.729,0.813
11.38,837.053,0.00119,842.254,842.225,0.813
11.39,832.388,0.0012,841.75,841.721,0.814
11.4,839.05,0.00119,841.245,841.215,0.815
11.41,828.572,0.00121,840.74,840.71,0.815
11.42,846.658,0.00118,840.233,840.204,0.816
11.43,844.293,0.00118,839.727,839.697,0.817
11.44,791.98,0.00126,839.219,839.189,0.818
11.45,846.067,0.00118,838.711,838.681,0.818
11.46,890.867,0.00112,838.203,838.173,0.819
11.47,879.575,0.00114,837.694,837.664,0.82
11.48,879.515,0.00114,837.185,837.154,0.82
11.49,905.615,0.0011,836.675,836.644,0.821
11.5,904.31,0.00111,836.164,836.133,0.822
11.51,852.155,0.00117,835.653,835.622,0.823
11.52,857.543,0.00117,835.142,835.11,0.823
11.53,925.33,0.00108,834.63,834.598,0.824
11.54,848.658,0.00118,834.117,834.086,0.825
11.55,793.607,0.00126,833.604,833.573,0.825
11.56,829.21,0.00121,833.091,833.059,0.826
11.57,813.987,0.00123,832.577,832.545,0.827
11.58,869.5,0.00115,832.063,832.031,0.827
11.59,854.513,0.00117,831.548,831.516,0.828
11.6,833.018,0.0012,831.033,831.001,0.829
11.61,849.805,0.00118,830.518,830.486,0.83
11.62,915.543,0.00109,830.002,829.97,0.83
11.63,904.055,0.00111,829.486,829.453,0.831
11.64,835.028,0.0012,828.969,828.937,0.832
11.65,769.688,0.0013,828.452,828.42,0.832
11.66,788.22,0.00127,827.935,827.902,0.833
11.67,849.745,0.00118,827.418,827.385,0.834
11.68,837.447,0.00119,826.9,826.867,0.835
11.69,847.423,0.00118,826.39,826.348,0.835
11.7,858.45,0.00116,825.872,825.83,0.836
11.71,831.85,0.0012,825.353,825.311,0.837
11.72,826.668,0.00121,824.834,824.791,0.837
11.73,857.6,0.00117,824.315,824.272,0.838
11.74,807.12,0.00124,823.8,823.752,0.839
11.75,762.957,0.00131,823.28,823.232,0.84
11.76,829.668,0.00121,822.76,822.712,0.84
11.77,818.077,0.00122,822.24,822.192,0.841
11.78,790.895,0.00126,821.719,821.671,0.842
11.79,811.898,0.00123,821.198,821.15,0.842
11.8,830.678,0.0012,820.678,820.629,0.843
11.81,886.545,0.00113,820.156,820.108,0.844
11.82,905.065,0.0011,819.635,819.586,0.844
11.83,828.332,0.00121,819.114,819.065,0.845
11.84,818.925,0.00122,818.592,818.543,0.846
11.85,867.51,0.00115,818.07,818.021,0.847
11.86,848.732,0.00118,817.549,817.499,0.847
11.87,798.663,0.00125,817.027,816.977,0.848
11.88,831.857,0.0012,816.504,816.454,0.849
11.89,837.21,0.00119,815.982,815.932,0.849
11.9,814.367,0.00123,815.46,815.409,0.85
11.91,832.288,0.0012,814.937,814.887,0.851
11.92,845.02,0.00118,814.415,814.364,0.852
11.93,896.763,0.00112,813.892,813.841,0.852
11.94,834.342,0.0012,813.37,813.318,0.853
11.95,789.418,0.00127,812.847,812.795,0.854
11.96,805.562,0.00124,812.324,812.272,0.854
11.97,829.44,0.00121,811.801,811.749,0.855
11.98,830.558,0.0012,811.278,811.226,0.856
11.99,796.707,0.00126,810.756,810.703,0.857
12.0,828.82,0.00121,810.233,810.18,0.857
12.01,806.183,0.00124,809.71,809.657,0.858
12.02,791.69,0.00126,809.187,809.134,0.859
12.03,812.148,0.00123,808.664,808.611,0.859
12.04,863.705,0.00116,808.141,808.088,0.86
12.05,865.038,0.00116,807.619,807.565,0.861
12.06,860.57,0.00116,807.096,807.042,0.861
12.07,793.7,0.00126,806.573,806.519,0.862
12.08,782.76,0.00128,806.05,805.996,0.863
12.09,830.245,0.0012,805.528,805.473,0.864
12.1,784.837,0.00127,805.005,804.951,0.864
12.11,795.385,0.00126,804.483,804.428,0.865
12.12,833.06,0.0012,803.961,803.905,0.866
12.13,784.928,0.00127,803.439,803.383,0.866
12.14,776.085,0.00129,802.916,802.861,0.867
12.15,806.923,0.00124,802.394,802.338,0.868
12.16,805.085,0.00124,801.881,801.816,0.869
12.17,822.567,0.00122,801.359,801.294,0.869
12.18,834.905,0.0012,800.838,800.772,0.87
12.19,809.22,0.00124,800.316,800.251,0.871
12.2,808.82,0.00124,799.795,799.729,0.871
12.21,810.0,0.00123,799.285,799.208,0.872
12.22,812.74,0.00123,798.764,798.687,0.873
12.23,796.903,0.00125,798.244,798.166,0.873
12.24,787.86,0.00127,797.725,797.645,0.874
12.25,835.908,0.0012,797.206,797.124,0.875
12.26,832.995,0.0012,796.692,796.604,0.876
12.27,860.058,0.00116,796.178,796.084,0.876
12.28,861.205,0.00116,795.669,795.564,0.877
12.29,846.352,0.00118,795.169,795.044,0.878
12.3,786.045,0.00127,794.683,794.524,0.878
12.31,795.145,0.00126,794.221,794.005,0.879
12.32,892.65,0.00112,793.798,793.486,0.88
12.33,929.675,0.00108,793.436,792.967,0.881
12.34,827.178,0.00121,793.171,792.449,0.881
12.35,797.893,0.00125,793.051,791.931,0.882
12.36,837.45,0.00119,793.15,791.413,0.883
12.37,838.515,0.00119,793.567,790.895,0.883
12.38,757.908,0.00132,794.437,790.378,0.884
12.39,786.145,0.00127,795.936,789.861,0.885
12.4,878.05,0.00114,798.29,789.344,0.886
12.41,828.885,0.00121,801.773,788.828,0.886
12.42,805.205,0.00124,806.715,788.311,0.887
12.43,778.96,0.00128,813.486,787.796,0.888
12.44,827.467,0.00121,822.488,787.28,0.888
12.45,840.0,0.00119,834.13,786.765,0.889
12.46,877.85,0.00114,848.796,786.25,0.89
12.47,838.03,0.00119,866.801,785.736,0.89
12.48,842.87,0.00119,888.351,785.222,0.891
12.49,927.635,0.00108,913.476,784.709,0.892
12.5,952.062,0.00105,942.002,784.195,0.893
12.51,891.327,0.00112,973.502,783.682,0.893
12.52,925.165,0.00108,1007.282,783.17,0.894
12.53,925.895,0.00108,1042.377,782.658,0.895
12.54,923.332,0.00108,1077.583,782.146,0.895
12.55,939.472,0.00106,1111.521,781.635,0.896
12.56,972.903,0.00103,1142.717,781.124,0.897
12.57,1087.463,0.00092,1169.708,780.614,0.898
12.58,1145.555,0.00087,1191.161,780.104,0.898
12.59,1110.398,0.0009,1205.988,779.594,0.899
12.6,1078.545,0.00093,1213.446,779.085,0.9
12.61,1153.745,0.00087,1213.217,778.577,0.9
12.62,1084.932,0.00092,1205.452,778.069,0.901
12.63,1017.82,0.00098,1190.771,777.561,0.902
12.64,1052.152,0.00095,1170.236,777.054,0.903
12.65,1106.12,0.0009,1145.275,776.547,0.903
12.66,1146.065,0.00087,1117.592,776.041,0.904
12.67,1078.545,0.00093,1089.052,775.535,0.905
12.68,1009.283,0.00099,1061.56,775.03,0.905
12.69,969.987,0.00103,1036.947,774.525,0.906
12.7,936.67,0.00107,1016.861,774.02,0.907
12.71,943.322,0.00106,1002.676,773.517,0.907
12.72,957.32,0.00104,995.42,773.013,0.908
12.73,930.722,0.00107,995.716,772.511,0.909
12.74,936.633,0.00107,1003.746,772.009,0.91
12.75,924.05,0.00108,1019.238,771.507,0.91
12.76,933.285,0.00107,1041.462,771.006,0.911
12.77,920.735,0.00109,1069.263,770.505,0.912
12.78,908.705,0.0011,1101.106,770.005,0.912
12.79,898.71,0.00111,1135.158,769.506,0.913
12.8,931.122,0.00107,1169.383,769.007,0.914
12.81,1003.572,0.001,1201.67,768.508,0.915
12.82,1001.47,0.001,1229.965,768.011,0.915
12.83,1009.895,0.00099,1252.416,767.514,0.916
12.84,1013.332,0.00099,1267.502,767.017,0.917
12.85,1034.473,0.00097,1274.141,766.521,0.917
12.86,995.105,0.001,1271.766,766.025,0.918
12.87,951.663,0.00105,1260.36,765.531,0.919
12.88,1001.362,0.001,1240.434,765.036,0.919
12.89,1016.668,0.00098,1212.976,764.543,0.92
12.9,1037.743,0.00096,1179.344,764.05,0.921
12.91,1030.17,0.00097,1141.151,763.557,0.922
12.92,1005.615,0.00099,1100.122,763.066,0.922
12.93,1031.557,0.00097,1057.964,762.574,0.923
