,trial,state,Rwp,datetime_start,datetime_complete,Backgroundrefine,Backgroundtype,Instrument_parametersrefineZero,Mustrainrefine,Numberofcoefficients,Peakshape_parametersrefineSH/L,Peakshape_parametersrefineU,Peakshape_parametersrefineV,Peakshape_parametersrefineW,Peakshape_parametersrefineX,Peakshape_parametersrefineY,Phase_parametersrefinephase0,Sample_parametersrefineShift,Sample_parametersrefineSurfRoughA,Sample_parametersrefineSurfRoughB,system_attrs_number
0,0,TrialState.COMPLETE,13.912560260689858,2024-06-18 07:53:27.325072,2024-06-18 07:54:24.800638,True,cosine,False,True,2,False,False,True,False,True,True,False,False,False,True,0
1,1,TrialState.COMPLETE,46.297490267927365,2024-06-18 07:53:27.329284,2024-06-18 07:54:29.229536,False,cosine,False,False,10,False,False,True,False,False,True,False,True,False,False,1
2,2,TrialState.COMPLETE,69.42958389760375,2024-06-18 07:53:27.339371,2024-06-18 07:53:53.767946,False,log interpolate,True,False,1,True,False,True,True,False,True,False,True,True,True,2
3,3,TrialState.COMPLETE,9.588844462487401,2024-06-18 07:53:27.340140,2024-06-18 07:54:33.453185,True,Q^-2 power series,True,True,11,True,False,False,False,True,False,True,True,False,True,3
4,4,TrialState.COMPLETE,39.26244557493086,2024-06-18 07:53:27.340492,2024-06-18 08:18:04.966011,False,log interpolate,False,True,11,True,False,True,True,False,False,False,True,False,False,4
5,5,TrialState.COMPLETE,70.04258408955604,2024-06-18 07:53:27.340915,2024-06-18 07:53:50.431945,False,inv interpolate,False,True,12,True,True,False,True,True,True,False,True,True,True,5
6,6,TrialState.COMPLETE,69.93544928041207,2024-06-18 07:53:27.341864,2024-06-18 07:53:44.550424,False,chebyschev,False,True,10,True,False,False,False,True,False,True,True,True,False,6
7,7,TrialState.COMPLETE,6.758773943035987,2024-06-18 07:53:27.342537,2024-06-18 07:54:36.164750,True,cosine,False,True,12,True,False,True,True,True,True,True,True,False,False,7
8,8,TrialState.COMPLETE,18.763873955805785,2024-06-18 07:53:27.342669,2024-06-18 08:12:52.430963,True,inv interpolate,False,False,1,True,False,False,True,True,True,False,True,False,True,8
9,9,TrialState.COMPLETE,72.1531629045566,2024-06-18 07:53:27.342794,2024-06-18 07:53:37.212625,True,inv interpolate,True,True,16,False,True,False,True,True,True,True,False,False,True,9
10,10,TrialState.COMPLETE,43.659325360184425,2024-06-18 07:53:37.217796,2024-06-18 07:55:17.142988,False,Q^-2 power series,True,True,5,False,False,True,False,True,False,True,False,False,False,10
11,11,TrialState.COMPLETE,8.940904200402693,2024-06-18 07:53:44.562475,2024-06-18 07:55:04.030295,True,Q^-2 power series,True,True,15,False,True,True,False,False,False,True,False,False,True,11
12,12,TrialState.COMPLETE,24.836588219715527,2024-06-18 07:53:50.439618,2024-06-18 07:54:18.593626,True,Q^-2 power series,True,False,7,True,False,True,False,True,False,False,False,True,True,12
13,13,TrialState.COMPLETE,46.15893389714835,2024-06-18 07:53:53.787830,2024-06-18 07:54:55.045324,False,Q^-2 power series,True,True,9,False,False,False,False,False,True,False,True,False,False,13
14,14,TrialState.COMPLETE,43.210032468701286,2024-06-18 07:54:18.601331,2024-06-18 07:55:34.873346,False,Q^-2 power series,True,False,10,True,True,True,False,True,False,True,True,False,True,14
15,15,TrialState.COMPLETE,7.360356469557483,2024-06-18 07:54:24.807620,2024-06-18 07:55:35.615111,True,cosine,False,True,12,True,False,False,True,False,False,False,True,False,False,15
16,16,TrialState.COMPLETE,42.96518101395632,2024-06-18 07:54:29.236849,2024-06-18 07:55:31.570421,False,Q^2 power series,False,True,10,False,True,True,False,True,True,False,False,False,False,16
17,17,TrialState.COMPLETE,42.00765235281321,2024-06-18 07:54:33.474051,2024-06-18 07:55:26.556010,False,cosine,False,False,6,True,False,False,False,True,True,False,False,False,True,17
18,18,TrialState.COMPLETE,24.632378119501844,2024-06-18 07:54:36.193046,2024-06-18 07:54:55.824924,True,log interpolate,True,True,11,True,True,False,True,False,False,False,True,True,False,18
