,trial,state,Rwp,datetime_start,datetime_complete,Backgroundrefine,Backgroundtype,Instrument_parametersrefineZero,Mustrainrefine,Numberofcoefficients,Peakshape_parametersrefineSH/L,Peakshape_parametersrefineU,Peakshape_parametersrefineV,Peakshape_parametersrefineW,Peakshape_parametersrefineX,Peakshape_parametersrefineY,Phase_parametersrefinephase0,Sample_parametersrefineShift,Sample_parametersrefineSurfRoughA,Sample_parametersrefineSurfRoughB,system_attrs_number
0,0,TrialState.COMPLETE,13.981277748292936,2024-06-18 07:33:41.467687,2024-06-18 07:34:36.230771,True,cosine,False,True,2,False,False,True,False,True,True,False,False,False,True,0
1,1,TrialState.COMPLETE,52.74470388422161,2024-06-18 07:33:41.472828,2024-06-18 07:35:21.281682,False,cosine,False,True,10,False,False,True,False,False,False,False,True,False,False,1
2,2,TrialState.COMPLETE,45.63399825818663,2024-06-18 07:33:41.486337,2024-06-18 07:34:53.522876,False,log interpolate,True,True,7,False,True,True,False,True,False,False,False,False,True,2
3,3,TrialState.COMPLETE,69.75784693381839,2024-06-18 07:33:41.496127,2024-06-18 07:33:59.213263,False,Q^2 power series,True,True,12,False,False,False,True,False,False,True,True,True,False,3
4,4,TrialState.COMPLETE,41.68985613842657,2024-06-18 07:33:41.512664,2024-06-18 07:35:45.204382,False,inv interpolate,False,True,1,True,False,False,True,True,True,False,False,False,True,4
5,5,TrialState.COMPLETE,7.939147316636556,2024-06-18 07:33:41.518179,2024-06-18 07:35:12.107240,True,cosine,False,True,9,True,False,False,True,True,True,True,False,False,False,5
6,6,TrialState.COMPLETE,48.63878439331721,2024-06-18 07:33:41.518309,2024-06-18 07:34:41.250097,False,log interpolate,True,False,12,True,True,True,True,False,True,True,True,False,False,6
7,7,TrialState.COMPLETE,70.09590884743172,2024-06-18 07:33:41.518427,2024-06-18 07:33:58.075489,False,inv interpolate,False,True,9,True,False,True,True,False,True,True,True,True,True,7
8,8,TrialState.COMPLETE,70.69520591324478,2024-06-18 07:33:41.522825,2024-06-18 07:33:51.658434,True,inv interpolate,True,True,5,False,True,True,True,True,True,False,True,False,False,8
9,9,TrialState.COMPLETE,48.64352844528613,2024-06-18 07:33:41.523230,2024-06-18 07:34:41.810311,False,inv interpolate,True,False,7,True,True,True,True,False,True,False,False,False,False,9
10,10,TrialState.COMPLETE,1000000000.0,2024-06-18 07:33:51.673464,2024-06-18 07:37:12.690898,True,inv interpolate,False,True,4,True,True,False,True,False,False,False,False,False,False,10
11,11,TrialState.COMPLETE,69.97936445848468,2024-06-18 07:33:58.127343,2024-06-18 07:34:12.971978,False,Q^2 power series,False,False,15,False,False,False,False,False,True,False,True,True,True,11
12,12,TrialState.COMPLETE,43.3837650398629,2024-06-18 07:33:59.224906,2024-06-18 07:35:16.094707,False,chebyschev,True,True,7,False,False,True,False,True,False,True,True,False,True,12
13,13,TrialState.COMPLETE,15.273610140597613,2024-06-18 07:34:12.989806,2024-06-18 07:35:11.216469,True,chebyschev,True,True,2,True,False,False,False,True,False,False,False,False,False,13
14,14,TrialState.COMPLETE,23.634244250057872,2024-06-18 07:34:36.238905,2024-06-18 07:34:55.127298,True,cosine,True,False,14,False,True,False,True,False,True,False,False,True,True,14
15,15,TrialState.COMPLETE,47.8540068912131,2024-06-18 07:34:41.258707,2024-06-18 07:35:23.177714,False,Q^-2 power series,True,False,1,True,False,True,False,False,True,False,False,False,False,15
16,16,TrialState.COMPLETE,45.696726123510146,2024-06-18 07:34:41.837959,2024-06-18 07:35:43.854791,False,cosine,False,False,8,True,True,False,True,True,False,True,False,False,True,16
17,17,TrialState.COMPLETE,41.272426450890045,2024-06-18 07:34:53.530476,2024-06-18 07:35:49.133771,False,cosine,False,False,6,True,False,False,False,True,True,False,False,False,True,17
18,18,TrialState.COMPLETE,25.290867024048723,2024-06-18 07:34:55.158188,2024-06-18 07:35:15.513755,True,log interpolate,True,True,11,True,True,False,True,False,False,False,True,True,False,18
19,19,TrialState.COMPLETE,44.063461563667786,2024-06-18 07:35:11.232636,2024-06-18 07:36:29.433892,False,log interpolate,False,False,14,True,False,True,False,True,True,True,True,False,False,19
20,20,TrialState.COMPLETE,7.877508585920425,2024-06-18 07:35:12.122192,2024-06-18 07:36:13.019606,True,cosine,False,False,13,False,True,True,True,True,False,True,True,False,False,20
21,21,TrialState.COMPLETE,42.0128347544836,2024-06-18 07:35:15.529672,2024-06-18 07:36:45.521659,False,cosine,False,False,15,True,True,True,False,True,True,False,False,False,True,21
22,22,TrialState.COMPLETE,9.124444932823838,2024-06-18 07:35:16.105439,2024-06-18 07:36:30.793640,True,Q^-2 power series,False,True,4,True,True,True,False,True,False,False,True,False,True,22
23,23,TrialState.COMPLETE,70.69519957372579,2024-06-18 07:35:21.302824,2024-06-18 07:35:35.671850,True,Q^2 power series,False,True,5,True,False,True,False,True,False,False,False,True,True,23
24,24,TrialState.COMPLETE,70.69520591324478,2024-06-18 07:35:23.205490,2024-06-18 07:35:32.553304,True,inv interpolate,True,False,13,True,True,False,True,False,False,True,False,True,False,24
25,25,TrialState.COMPLETE,70.09698706098509,2024-06-18 07:35:32.563306,2024-06-18 07:35:48.218039,False,inv interpolate,False,True,15,False,True,True,True,True,True,True,False,True,True,25
