"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     -2.00
"Instparm: W",     39.05
"Instparm: X",     -0.71
"Instparm: Y",     13.10
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",     52.30
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,840.298,0.00119,843.894,843.832,0.711
10.01,827.86,0.00121,843.432,843.37,0.712
10.02,847.905,0.00118,842.97,842.908,0.712
10.03,922.79,0.00108,842.509,842.446,0.713
10.04,875.428,0.00114,842.047,841.984,0.714
10.05,854.847,0.00117,841.585,841.522,0.715
10.06,880.597,0.00114,841.123,841.06,0.715
10.07,868.192,0.00115,840.662,840.598,0.716
10.08,806.125,0.00124,840.2,840.135,0.717
10.09,809.077,0.00124,839.738,839.673,0.717
10.1,764.628,0.00131,839.277,839.211,0.718
10.11,796.283,0.00126,838.817,838.749,0.719
10.12,815.112,0.00123,838.355,838.287,0.719
10.13,852.923,0.00117,837.893,837.825,0.72
10.14,865.727,0.00116,837.431,837.363,0.721
10.15,818.365,0.00122,836.97,836.901,0.722
10.16,825.405,0.00121,836.508,836.439,0.722
10.17,835.715,0.0012,836.046,835.977,0.723
10.18,821.59,0.00122,835.585,835.514,0.724
10.19,777.803,0.00129,835.124,835.052,0.724
10.2,806.475,0.00124,834.662,834.59,0.725
10.21,846.14,0.00118,834.2,834.128,0.726
10.22,813.872,0.00123,833.739,833.666,0.727
10.23,816.02,0.00123,833.277,833.204,0.727
10.24,840.732,0.00119,832.815,832.742,0.728
10.25,807.25,0.00124,832.354,832.28,0.729
10.26,839.403,0.00119,831.892,831.818,0.729
10.27,885.398,0.00113,831.43,831.356,0.73
10.28,862.97,0.00116,830.969,830.893,0.731
10.29,863.003,0.00116,830.507,830.431,0.732
10.3,806.315,0.00124,830.045,829.969,0.732
10.31,809.0,0.00124,829.584,829.507,0.733
10.32,851.98,0.00117,829.122,829.045,0.734
10.33,850.673,0.00118,828.66,828.583,0.734
10.34,805.058,0.00124,828.199,828.121,0.735
10.35,841.928,0.00119,827.737,827.659,0.736
10.36,858.643,0.00116,827.276,827.197,0.736
10.37,836.06,0.0012,826.814,826.735,0.737
10.38,776.5,0.00129,826.352,826.272,0.738
10.39,796.91,0.00125,825.891,825.81,0.739
10.4,811.955,0.00123,825.429,825.348,0.739
10.41,819.308,0.00122,824.968,824.886,0.74
10.42,811.04,0.00123,824.506,824.424,0.741
10.43,833.88,0.0012,824.044,823.962,0.741
10.44,812.795,0.00123,823.583,823.5,0.742
10.45,771.225,0.0013,823.121,823.038,0.743
10.46,817.35,0.00122,822.66,822.576,0.744
10.47,814.393,0.00123,822.198,822.114,0.744
10.48,828.227,0.00121,821.737,821.651,0.745
10.49,815.112,0.00123,821.275,821.189,0.746
10.5,825.24,0.00121,820.814,820.727,0.746
10.51,820.715,0.00122,820.352,820.265,0.747
10.52,808.105,0.00124,819.891,819.803,0.748
10.53,845.312,0.00118,819.429,819.341,0.749
10.54,781.655,0.00128,818.967,818.879,0.749
10.55,752.543,0.00133,818.506,818.417,0.75
10.56,752.97,0.00133,818.044,817.955,0.751
10.57,800.817,0.00125,817.583,817.493,0.751
10.58,860.065,0.00116,817.122,817.03,0.752
10.59,839.98,0.00119,816.66,816.568,0.753
10.6,815.918,0.00123,816.199,816.106,0.753
10.61,774.817,0.00129,815.737,815.644,0.754
10.62,770.0,0.0013,815.276,815.182,0.755
10.63,764.08,0.00131,814.814,814.72,0.756
10.64,763.332,0.00131,814.353,814.258,0.756
10.65,816.572,0.00122,813.891,813.796,0.757
10.66,832.202,0.0012,813.43,813.334,0.758
10.67,854.02,0.00117,812.969,812.872,0.758
10.68,883.253,0.00113,812.508,812.409,0.759
10.69,777.418,0.00129,812.047,811.947,0.76
10.7,775.14,0.00129,811.585,811.485,0.761
10.71,812.067,0.00123,811.124,811.023,0.761
10.72,807.82,0.00124,810.663,810.561,0.762
10.73,809.615,0.00124,810.201,810.099,0.763
10.74,786.43,0.00127,809.74,809.637,0.763
10.75,801.003,0.00125,809.279,809.175,0.764
10.76,809.22,0.00124,808.818,808.713,0.765
10.77,786.46,0.00127,808.356,808.251,0.766
10.78,712.745,0.0014,807.895,807.788,0.766
10.79,732.732,0.00136,807.434,807.326,0.767
10.8,842.455,0.00119,806.972,806.864,0.768
10.81,850.793,0.00118,806.511,806.402,0.768
10.82,832.385,0.0012,806.05,805.94,0.769
10.83,800.653,0.00125,805.589,805.478,0.77
10.84,784.933,0.00127,805.128,805.016,0.771
10.85,880.092,0.00114,804.666,804.554,0.771
10.86,875.747,0.00114,804.205,804.092,0.772
10.87,829.39,0.00121,803.744,803.63,0.773
10.88,843.83,0.00119,803.283,803.167,0.773
10.89,858.375,0.00116,802.822,802.705,0.774
10.9,821.967,0.00122,802.361,802.243,0.775
10.91,781.575,0.00128,801.899,801.781,0.775
10.92,788.357,0.00127,801.438,801.319,0.776
10.93,819.217,0.00122,800.977,800.857,0.777
10.94,823.332,0.00121,800.516,800.395,0.778
10.95,858.362,0.00117,800.055,799.933,0.778
10.96,810.812,0.00123,799.613,799.471,0.779
10.97,844.163,0.00118,799.152,799.009,0.78
10.98,794.612,0.00126,798.691,798.546,0.78
10.99,809.977,0.00123,798.23,798.084,0.781
11.0,795.857,0.00126,797.769,797.622,0.782
11.01,813.712,0.00123,797.308,797.16,0.783
11.02,790.477,0.00127,796.857,796.698,0.783
11.03,798.3,0.00125,796.396,796.236,0.784
11.04,811.63,0.00123,795.935,795.774,0.785
11.05,737.78,0.00136,795.475,795.312,0.785
11.06,784.758,0.00127,795.014,794.85,0.786
11.07,807.85,0.00124,794.553,794.388,0.787
11.08,810.0,0.00123,794.092,793.925,0.788
11.09,810.0,0.00123,793.632,793.463,0.788
11.1,812.9,0.00123,793.171,793.001,0.789
11.11,743.785,0.00134,792.71,792.539,0.79
11.12,794.16,0.00126,792.25,792.077,0.79
11.13,803.332,0.00124,791.789,791.615,0.791
11.14,800.44,0.00125,791.328,791.153,0.792
11.15,820.247,0.00122,790.868,790.691,0.792
11.16,823.332,0.00121,790.407,790.229,0.793
11.17,820.442,0.00122,789.947,789.767,0.794
11.18,802.67,0.00125,789.486,789.304,0.795
11.19,779.79,0.00128,789.026,788.842,0.795
11.2,791.095,0.00126,788.566,788.38,0.796
11.21,796.217,0.00126,788.105,787.918,0.797
11.22,776.485,0.00129,787.645,787.456,0.797
11.23,744.515,0.00134,787.184,786.994,0.798
11.24,751.523,0.00133,786.724,786.532,0.799
11.25,727.423,0.00137,786.264,786.07,0.8
11.26,766.497,0.0013,785.804,785.608,0.8
11.27,816.477,0.00122,785.344,785.146,0.801
11.28,817.582,0.00122,784.883,784.683,0.802
11.29,776.438,0.00129,784.423,784.221,0.802
11.3,749.895,0.00133,783.963,783.759,0.803
11.31,815.567,0.00123,783.503,783.297,0.804
11.32,812.32,0.00123,783.043,782.835,0.805
11.33,812.867,0.00123,782.583,782.373,0.805
11.34,830.535,0.0012,782.123,781.911,0.806
11.35,850.525,0.00118,781.664,781.449,0.807
11.36,776.005,0.00129,781.204,780.987,0.807
11.37,774.785,0.00129,780.744,780.525,0.808
11.38,819.585,0.00122,780.284,780.062,0.809
11.39,806.648,0.00124,779.825,779.6,0.809
11.4,783.325,0.00128,779.365,779.138,0.81
11.41,774.285,0.00129,778.906,778.676,0.811
11.42,816.17,0.00123,778.446,778.214,0.812
11.43,854.73,0.00117,777.987,777.752,0.812
11.44,805.795,0.00124,777.527,777.29,0.813
11.45,751.043,0.00133,777.081,776.828,0.814
11.46,788.935,0.00127,776.622,776.366,0.814
11.47,884.977,0.00113,776.163,775.904,0.815
11.48,814.577,0.00123,775.704,775.441,0.816
11.49,800.0,0.00125,775.245,774.979,0.817
11.5,791.465,0.00126,774.792,774.517,0.817
11.51,801.372,0.00125,774.334,774.055,0.818
11.52,794.808,0.00126,773.875,773.593,0.819
11.53,841.62,0.00119,773.416,773.131,0.819
11.54,793.22,0.00126,772.958,772.669,0.82
11.55,760.633,0.00131,772.499,772.207,0.821
11.56,793.538,0.00126,772.041,771.745,0.822
11.57,805.67,0.00124,771.582,771.283,0.822
11.58,750.0,0.00133,771.124,770.82,0.823
11.59,731.505,0.00137,770.666,770.358,0.824
11.6,778.12,0.00129,770.208,769.896,0.824
11.61,820.617,0.00122,769.75,769.434,0.825
11.62,854.945,0.00117,769.292,768.972,0.826
11.63,794.995,0.00126,768.835,768.51,0.826
11.64,729.66,0.00137,768.377,768.048,0.827
11.65,765.175,0.00131,767.92,767.586,0.828
11.66,742.29,0.00135,767.462,767.124,0.829
11.67,683.075,0.00146,767.005,766.662,0.829
11.68,746.633,0.00134,766.548,766.199,0.83
11.69,855.805,0.00117,766.091,765.737,0.831
11.7,847.985,0.00118,765.635,765.275,0.831
11.71,722.293,0.00138,765.178,764.813,0.832
11.72,812.54,0.00123,764.722,764.351,0.833
11.73,810.837,0.00123,764.265,763.889,0.834
11.74,812.288,0.00123,763.809,763.427,0.834
11.75,832.997,0.0012,763.354,762.965,0.835
11.76,797.357,0.00125,762.898,762.503,0.836
11.77,761.938,0.00131,762.442,762.041,0.836
11.78,731.423,0.00137,761.987,761.578,0.837
11.79,754.7,0.00133,761.532,761.116,0.838
11.8,779.615,0.00128,761.077,760.654,0.839
11.81,735.725,0.00136,760.623,760.192,0.839
11.82,737.862,0.00136,760.169,759.73,0.84
11.83,734.405,0.00136,759.715,759.268,0.841
11.84,713.76,0.0014,759.261,758.806,0.841
11.85,721.18,0.00139,758.808,758.344,0.842
11.86,728.92,0.00137,758.354,757.882,0.843
11.87,724.418,0.00138,757.902,757.42,0.843
11.88,751.237,0.00133,757.449,756.957,0.844
11.89,820.812,0.00122,756.997,756.495,0.845
11.9,802.67,0.00125,756.545,756.033,0.846
11.91,738.16,0.00135,756.094,755.571,0.846
11.92,743.375,0.00135,755.643,755.109,0.847
11.93,768.933,0.0013,755.193,754.647,0.848
11.94,795.587,0.00126,754.743,754.185,0.848
11.95,738.835,0.00135,754.293,753.723,0.849
11.96,790.577,0.00126,753.857,753.273,0.85
11.97,750.565,0.00133,753.477,752.88,0.851
11.98,692.812,0.00144,753.098,752.486,0.851
11.99,727.722,0.00137,752.719,752.092,0.852
12.0,731.12,0.00137,752.341,751.699,0.853
12.01,746.628,0.00134,751.963,751.305,0.853
12.02,752.77,0.00133,751.587,750.911,0.854
12.03,761.638,0.00131,751.211,750.517,0.855
12.04,774.4,0.00129,750.836,750.124,0.856
12.05,737.95,0.00136,750.461,749.73,0.856
12.06,741.055,0.00135,750.088,749.336,0.857
12.07,770.957,0.0013,749.716,748.943,0.858
12.08,746.295,0.00134,749.345,748.549,0.858
12.09,737.24,0.00136,748.975,748.155,0.859
12.1,767.005,0.0013,748.606,747.761,0.86
12.11,767.82,0.0013,748.239,747.368,0.86
12.12,805.237,0.00124,747.881,746.974,0.861
12.13,730.725,0.00137,747.517,746.58,0.862
12.14,705.077,0.00142,747.154,746.187,0.863
12.15,722.587,0.00138,746.793,745.793,0.863
12.16,778.9,0.00128,746.434,745.399,0.864
12.17,699.327,0.00143,746.081,745.005,0.865
12.18,715.7,0.0014,745.727,744.612,0.865
12.19,720.587,0.00139,745.375,744.218,0.866
12.2,750.175,0.00133,745.025,743.824,0.867
12.21,756.668,0.00132,744.678,743.431,0.868
12.22,759.408,0.00132,744.335,743.037,0.868
12.23,740.83,0.00135,743.995,742.643,0.869
12.24,725.717,0.00138,743.659,742.249,0.87
12.25,739.747,0.00135,743.327,741.856,0.87
12.26,762.472,0.00131,742.999,741.462,0.871
12.27,695.62,0.00144,742.677,741.068,0.872
12.28,712.773,0.0014,742.36,740.675,0.872
12.29,782.78,0.00128,742.05,740.281,0.873
12.3,763.93,0.00131,741.747,739.887,0.874
12.31,723.947,0.00138,741.453,739.493,0.875
12.32,762.992,0.00131,741.169,739.1,0.875
12.33,833.25,0.0012,740.898,738.706,0.876
12.34,797.67,0.00125,740.642,738.312,0.877
12.35,705.053,0.00142,740.408,737.918,0.877
12.36,743.765,0.00134,740.2,737.525,0.878
12.37,705.035,0.00142,740.03,737.131,0.879
12.38,728.64,0.00137,739.911,736.737,0.88
12.39,780.095,0.00128,739.861,736.344,0.88
12.4,792.712,0.00126,739.908,735.95,0.881
12.41,774.355,0.00129,740.086,735.556,0.882
12.42,732.062,0.00137,740.44,735.162,0.882
12.43,717.918,0.00139,741.027,734.769,0.883
12.44,795.16,0.00126,741.917,734.375,0.884
12.45,718.653,0.00139,743.193,733.981,0.885
12.46,683.148,0.00146,744.947,733.588,0.885
12.47,739.445,0.00135,747.28,733.194,0.886
12.48,780.337,0.00128,750.295,732.8,0.887
12.49,843.345,0.00119,754.087,732.406,0.887
12.5,832.39,0.0012,758.74,732.013,0.888
12.51,799.707,0.00125,764.299,731.619,0.889
12.52,744.835,0.00134,770.78,731.225,0.889
12.53,744.105,0.00134,778.143,730.832,0.89
12.54,714.372,0.0014,786.285,730.438,0.891
12.55,765.84,0.00131,795.035,730.044,0.892
12.56,817.635,0.00122,804.151,729.65,0.892
12.57,834.727,0.0012,813.311,729.257,0.893
12.58,828.612,0.00121,822.132,728.863,0.894
12.59,864.235,0.00116,830.177,728.469,0.894
12.6,779.465,0.00128,836.984,728.076,0.895
12.61,772.75,0.00129,842.111,727.682,0.896
12.62,816.847,0.00122,845.192,727.288,0.897
12.63,829.345,0.00121,845.996,726.894,0.897
12.64,813.945,0.00123,844.461,726.501,0.898
12.65,812.675,0.00123,840.698,726.107,0.899
12.66,821.35,0.00122,834.978,725.713,0.899
12.67,836.688,0.0012,827.685,725.32,0.9
12.68,818.645,0.00122,819.271,724.926,0.901
12.69,813.332,0.00123,810.217,724.532,0.902
12.7,800.003,0.00125,800.986,724.138,0.902
12.71,801.995,0.00125,792.001,723.745,0.903
12.72,805.997,0.00124,783.623,723.351,0.904
12.73,774.727,0.00129,776.144,722.957,0.904
12.74,771.987,0.0013,769.783,722.564,0.905
12.75,799.918,0.00125,764.685,722.17,0.906
12.76,833.235,0.0012,760.923,721.776,0.906
12.77,778.93,0.00128,758.5,721.382,0.907
12.78,792.523,0.00126,757.358,720.989,0.908
12.79,789.393,0.00127,757.384,720.595,0.909
12.8,821.122,0.00122,758.416,720.201,0.909
12.81,750.535,0.00133,760.268,719.808,0.91
12.82,751.178,0.00133,762.657,719.414,0.911
12.83,743.438,0.00135,765.341,719.02,0.911
12.84,763.798,0.00131,768.044,718.626,0.912
12.85,799.067,0.00125,770.483,718.233,0.913
12.86,825.153,0.00121,772.411,717.839,0.914
12.87,830.0,0.0012,773.592,717.445,0.914
12.88,787.798,0.00127,773.895,717.051,0.915
12.89,763.485,0.00131,773.268,716.658,0.916
12.9,783.71,0.00128,771.754,716.264,0.916
12.91,787.367,0.00127,769.481,715.87,0.917
12.92,752.46,0.00133,766.648,715.477,0.918
12.93,730.185,0.00137,763.498,715.083,0.918
12.94,760.832,0.00131,760.292,714.689,0.919
12.95,764.747,0.00131,757.287,714.295,0.92
12.96,776.457,0.00129,754.709,713.902,0.921
12.97,806.232,0.00124,752.74,713.508,0.921
12.98,766.143,0.00131,751.5,713.114,0.922
12.99,763.812,0.00131,751.044,712.721,0.923
13.0,745.72,0.00134,751.35,712.327,0.923
13.01,732.15,0.00137,752.33,711.933,0.924
