,trial,state,Rwp,datetime_start,datetime_complete,Backgroundrefine,Backgroundtype,Instrument_parametersrefineZero,Mustrainrefine,Numberofcoefficients,Peakshape_parametersrefineSH/L,Peakshape_parametersrefineU,Peakshape_parametersrefineV,Peakshape_parametersrefineW,Peakshape_parametersrefineX,Peakshape_parametersrefineY,Phase_parametersrefinephase0,Sample_parametersrefineShift,Sample_parametersrefineSurfRoughA,Sample_parametersrefineSurfRoughB,system_attrs_number
0,0,TrialState.COMPLETE,1000000000.0,2024-06-18 07:02:31.602651,2024-06-18 07:03:29.360892,True,cosine,False,True,2,False,False,True,False,True,True,False,False,False,True,0
1,1,TrialState.COMPLETE,44.914568246939695,2024-06-18 07:02:31.607788,2024-06-18 07:04:01.509876,False,cosine,False,True,10,False,False,True,False,False,False,False,True,False,False,1
2,2,TrialState.COMPLETE,1000000000.0,2024-06-18 07:02:31.616127,2024-06-18 07:04:03.104785,False,log interpolate,True,False,7,True,True,True,False,True,False,False,False,False,True,2
3,3,TrialState.COMPLETE,70.80593255050051,2024-06-18 07:02:31.621649,2024-06-18 07:02:55.011497,False,inv interpolate,True,True,7,True,False,True,True,True,True,True,True,True,True,3
4,4,TrialState.COMPLETE,1000000000.0,2024-06-18 07:02:31.621897,2024-06-18 07:03:58.724863,False,cosine,True,True,1,False,True,True,False,True,True,False,False,False,True,4
5,5,TrialState.COMPLETE,14.266165210416712,2024-06-18 07:02:31.630782,2024-06-18 07:04:16.325655,True,Q^-2 power series,True,True,16,True,False,True,True,True,True,True,False,False,False,5
6,6,TrialState.COMPLETE,70.80513212371173,2024-06-18 07:02:31.630982,2024-06-18 07:02:53.841302,False,log interpolate,True,True,10,True,True,False,False,True,False,False,True,True,False,6
7,7,TrialState.COMPLETE,28.481116299986038,2024-06-18 07:02:31.631117,2024-06-18 07:02:56.305704,True,log interpolate,False,True,1,True,False,True,False,True,True,True,False,True,True,7
8,8,TrialState.COMPLETE,74.34772076980062,2024-06-18 07:02:31.631160,2024-06-18 07:02:59.331906,True,Q^2 power series,False,False,9,True,True,False,True,True,True,False,False,False,False,8
9,9,TrialState.COMPLETE,48.27500004414369,2024-06-18 07:02:31.631588,2024-06-18 07:13:58.760054,False,inv interpolate,True,True,13,True,False,True,True,False,False,False,False,False,False,9
10,10,TrialState.COMPLETE,1000000000.0,2024-06-18 07:02:53.851935,2024-06-18 07:04:26.313436,False,Q^-2 power series,True,True,5,False,False,True,False,True,False,False,False,False,False,10
11,11,TrialState.COMPLETE,16.148642232254254,2024-06-18 07:02:55.018175,2024-06-18 07:04:02.936033,True,Q^-2 power series,True,True,15,False,True,True,False,False,False,True,False,False,True,11
12,12,TrialState.COMPLETE,28.06873067078801,2024-06-18 07:02:56.312064,2024-06-18 07:03:18.695305,True,Q^-2 power series,True,False,7,True,False,True,False,True,False,False,False,True,True,12
13,13,TrialState.COMPLETE,1000000000.0,2024-06-18 07:02:59.348313,2024-06-18 07:04:03.645570,False,Q^-2 power series,True,True,9,False,False,False,False,False,True,False,True,False,False,13
14,14,TrialState.COMPLETE,1000000000.0,2024-06-18 07:03:18.717985,2024-06-18 07:04:43.646504,False,Q^-2 power series,True,False,10,True,True,True,False,True,False,True,True,False,True,14
15,15,TrialState.COMPLETE,7.758382286598745,2024-06-18 07:03:29.378166,2024-06-18 07:07:16.955272,True,cosine,False,True,12,True,False,False,True,False,False,False,True,False,False,15
16,16,TrialState.COMPLETE,1000000000.0,2024-06-18 07:03:58.742795,2024-06-18 07:05:32.229208,False,Q^2 power series,False,True,10,False,True,True,False,True,True,False,False,False,False,16
17,17,TrialState.COMPLETE,1000000000.0,2024-06-18 07:04:01.530235,2024-06-18 07:05:22.994551,False,cosine,False,False,6,True,False,False,False,True,True,False,False,False,True,17
18,18,TrialState.COMPLETE,25.33787941209492,2024-06-18 07:04:02.960583,2024-06-18 07:04:23.764820,True,log interpolate,True,True,11,True,True,False,True,False,False,False,True,True,False,18
19,19,TrialState.COMPLETE,1000000000.0,2024-06-18 07:04:03.122517,2024-06-18 07:05:24.783261,False,log interpolate,False,False,14,True,False,True,False,True,True,True,True,False,False,19
20,20,TrialState.COMPLETE,1000000000.0,2024-06-18 07:04:03.655309,2024-06-18 07:05:02.841524,True,cosine,False,False,13,False,True,True,True,True,False,True,True,False,False,20
21,21,TrialState.COMPLETE,1000000000.0,2024-06-18 07:04:16.335786,2024-06-18 07:05:30.312659,False,cosine,False,False,15,True,True,True,False,True,True,False,False,False,True,21
22,22,TrialState.COMPLETE,8.235957427325145,2024-06-18 07:04:23.783063,2024-06-18 07:05:50.076342,True,Q^-2 power series,False,True,4,True,True,True,False,True,False,False,True,False,True,22
23,23,TrialState.COMPLETE,74.34772236242918,2024-06-18 07:04:26.325091,2024-06-18 07:04:38.648162,True,Q^2 power series,False,True,5,True,False,True,False,True,False,False,False,True,True,23
24,24,TrialState.COMPLETE,74.34765344723252,2024-06-18 07:04:38.659829,2024-06-18 07:04:47.063514,True,inv interpolate,True,False,13,True,True,False,True,False,False,True,False,True,False,24
25,25,TrialState.COMPLETE,70.82354535609666,2024-06-18 07:04:43.675081,2024-06-18 07:05:02.855914,False,inv interpolate,False,True,15,False,True,True,True,True,True,True,False,True,True,25
26,26,TrialState.COMPLETE,1000000000.0,2024-06-18 07:04:47.083678,2024-06-18 07:05:05.562655,True,cosine,False,False,13,True,True,False,False,False,True,True,True,True,False,26
27,27,TrialState.COMPLETE,8.56613480149308,2024-06-18 07:05:02.867947,2024-06-18 07:05:58.441422,True,chebyschev,True,True,16,False,False,False,True,True,False,True,True,False,True,27
28,28,TrialState.COMPLETE,70.70009490235132,2024-06-18 07:05:02.934963,2024-06-18 07:05:22.547989,False,Q^-2 power series,True,False,14,False,True,False,False,False,False,True,False,True,False,28
29,29,TrialState.COMPLETE,7.457382237679801,2024-06-18 07:05:05.577874,2024-06-18 07:06:08.019070,True,chebyschev,True,True,16,False,False,True,True,False,True,True,False,False,True,29
30,30,TrialState.COMPLETE,7.850450864011463,2024-06-18 07:05:22.570418,2024-06-18 07:08:38.223819,True,chebyschev,True,True,16,True,True,False,True,False,False,True,False,False,False,30
31,31,TrialState.COMPLETE,8.103954990223224,2024-06-18 07:05:23.006542,2024-06-18 07:08:37.876926,True,chebyschev,True,True,16,True,True,False,True,False,False,True,True,False,False,31
32,32,TrialState.COMPLETE,7.850450864011463,2024-06-18 07:05:24.799821,2024-06-18 07:08:37.585292,True,chebyschev,True,True,16,True,True,False,True,False,False,True,False,False,False,32
33,33,TrialState.COMPLETE,9.545814422003888,2024-06-18 07:05:30.326638,2024-06-18 07:06:30.711812,True,chebyschev,True,True,16,False,True,False,True,False,False,True,True,False,False,33
34,34,TrialState.COMPLETE,8.103954990223224,2024-06-18 07:05:32.242433,2024-06-18 07:08:47.354534,True,chebyschev,True,True,16,True,True,False,True,False,False,True,True,False,False,34
35,35,TrialState.COMPLETE,7.445425615144195,2024-06-18 07:05:50.091188,2024-06-18 07:08:31.680445,True,chebyschev,True,True,16,True,True,True,True,False,False,True,False,False,True,35
36,36,TrialState.COMPLETE,8.442955005930774,2024-06-18 07:05:58.469361,2024-06-18 07:07:17.713676,True,chebyschev,True,True,16,True,False,False,True,True,False,True,True,False,True,36
37,37,TrialState.COMPLETE,10.141972159947246,2024-06-18 07:06:08.059981,2024-06-18 07:06:46.813892,True,chebyschev,True,True,3,False,False,False,True,False,False,True,True,False,True,37
38,38,TrialState.COMPLETE,10.141972159947246,2024-06-18 07:06:30.747376,2024-06-18 07:07:05.224147,True,chebyschev,True,True,3,False,False,False,True,False,False,True,True,False,True,38
39,39,TrialState.COMPLETE,10.141972159947246,2024-06-18 07:06:46.829170,2024-06-18 07:07:22.077152,True,chebyschev,True,True,3,False,False,False,True,False,False,True,True,False,True,39
40,40,TrialState.COMPLETE,9.753584354065318,2024-06-18 07:07:05.234941,2024-06-18 07:07:51.883076,True,chebyschev,True,True,16,False,False,False,True,False,False,True,True,False,True,40
41,41,TrialState.COMPLETE,8.22311500121508,2024-06-18 07:07:17.010056,2024-06-18 07:08:06.063969,True,chebyschev,False,True,12,False,False,False,True,False,False,False,True,False,True,41
42,42,TrialState.COMPLETE,8.180588611440234,2024-06-18 07:07:17.729947,2024-06-18 07:08:35.129579,True,chebyschev,False,True,12,True,False,False,True,False,False,False,True,False,True,42
43,43,TrialState.COMPLETE,7.44364190560292,2024-06-18 07:07:22.095607,2024-06-18 07:10:10.833680,True,chebyschev,False,True,14,True,False,False,True,False,False,False,True,False,True,43
44,44,TrialState.COMPLETE,8.180588611440234,2024-06-18 07:07:51.901485,2024-06-18 07:09:10.921225,True,chebyschev,False,True,12,True,False,False,True,False,False,False,True,False,True,44
45,45,TrialState.COMPLETE,8.000253289035268,2024-06-18 07:08:06.081020,2024-06-18 07:08:40.884592,True,chebyschev,False,True,12,False,False,True,True,False,False,False,True,False,True,45
46,46,TrialState.COMPLETE,8.114725315337324,2024-06-18 07:08:31.698250,2024-06-18 07:09:22.361708,True,chebyschev,False,True,12,False,False,True,True,False,False,False,False,False,True,46
47,47,TrialState.COMPLETE,8.146066284228837,2024-06-18 07:08:35.147552,2024-06-18 07:09:32.576136,True,chebyschev,False,True,12,True,False,True,True,False,False,False,False,False,True,47
48,48,TrialState.COMPLETE,8.349339190605324,2024-06-18 07:08:37.645276,2024-06-18 07:09:46.938121,True,chebyschev,True,True,14,True,True,True,True,False,True,True,False,False,False,48
49,49,TrialState.COMPLETE,7.861551474191664,2024-06-18 07:08:37.938461,2024-06-18 07:11:31.963147,True,chebyschev,True,True,14,True,True,False,True,False,False,True,False,False,False,49
50,50,TrialState.COMPLETE,7.861551474191664,2024-06-18 07:08:38.251450,2024-06-18 07:11:29.816911,True,chebyschev,True,True,14,True,True,False,True,False,False,True,False,False,False,50
51,51,TrialState.COMPLETE,7.861551474191664,2024-06-18 07:08:40.918263,2024-06-18 07:11:35.405785,True,chebyschev,True,True,14,True,True,False,True,False,False,True,False,False,False,51
52,52,TrialState.COMPLETE,7.861551474191664,2024-06-18 07:08:47.410830,2024-06-18 07:11:39.137684,True,chebyschev,True,True,14,True,True,False,True,False,False,True,False,False,False,52
53,53,TrialState.COMPLETE,7.316849759541231,2024-06-18 07:09:10.966510,2024-06-18 07:11:43.348637,True,cosine,True,True,14,True,True,True,True,False,False,True,False,False,False,53
54,54,TrialState.COMPLETE,8.275771342299317,2024-06-18 07:09:22.425270,2024-06-18 07:10:19.294641,True,cosine,True,True,14,True,True,True,True,False,True,True,False,False,False,54
55,55,TrialState.COMPLETE,1000000000.0,2024-06-18 07:09:32.646727,2024-06-18 07:10:20.758563,True,cosine,True,True,14,True,True,False,True,False,True,True,False,False,False,55
56,56,TrialState.COMPLETE,7.558560046365627,2024-06-18 07:09:46.958304,2024-06-18 07:12:37.527281,True,cosine,True,True,15,True,True,False,True,False,False,True,False,False,False,56
57,57,TrialState.COMPLETE,7.568127390184062,2024-06-18 07:10:10.855734,2024-06-18 07:15:28.037471,True,cosine,True,True,15,True,False,False,True,False,True,True,False,False,False,57
58,58,TrialState.COMPLETE,7.237872861473821,2024-06-18 07:10:19.329911,2024-06-18 07:12:53.900365,True,cosine,True,True,15,True,False,False,True,False,False,False,False,False,True,58
59,59,TrialState.COMPLETE,74.34771586895704,2024-06-18 07:10:20.785761,2024-06-18 07:10:41.886427,True,Q^2 power series,True,True,15,True,False,False,True,False,False,False,False,False,True,59
60,60,TrialState.COMPLETE,7.9064815985359225,2024-06-18 07:10:41.900781,2024-06-18 07:13:25.112130,True,chebyschev,True,True,15,True,True,False,True,False,False,True,False,False,False,60
61,61,TrialState.COMPLETE,7.9064815985359225,2024-06-18 07:11:29.831543,2024-06-18 07:14:26.172380,True,chebyschev,True,True,15,True,True,False,True,False,False,True,False,False,False,61
62,62,TrialState.COMPLETE,74.34765344723252,2024-06-18 07:11:32.000919,2024-06-18 07:11:38.337997,True,inv interpolate,True,True,15,True,False,False,True,False,False,True,False,False,False,62
63,63,TrialState.COMPLETE,74.34765344723252,2024-06-18 07:11:35.430785,2024-06-18 07:11:43.337060,True,inv interpolate,True,True,15,True,False,False,True,False,False,True,False,False,False,63
64,64,TrialState.COMPLETE,7.420162853252816,2024-06-18 07:11:38.361267,2024-06-18 07:14:35.045425,True,log interpolate,True,True,15,True,False,False,True,False,False,True,False,False,False,64
65,65,TrialState.COMPLETE,8.414801765542874,2024-06-18 07:11:39.168351,2024-06-18 07:12:25.365043,True,log interpolate,False,True,15,True,False,True,True,False,False,False,False,False,False,65
66,66,TrialState.COMPLETE,1000000000.0,2024-06-18 07:11:43.388291,2024-06-18 07:12:32.115129,True,cosine,False,True,11,True,False,True,True,False,True,False,False,False,True,66
67,67,TrialState.COMPLETE,1000000000.0,2024-06-18 07:11:43.413433,2024-06-18 07:12:30.481539,True,cosine,False,True,13,True,False,True,True,False,True,False,False,False,True,67
68,68,TrialState.COMPLETE,6.814726344837874,2024-06-18 07:12:25.413339,2024-06-18 07:13:13.409695,True,cosine,False,True,13,True,True,True,True,False,True,False,False,False,True,68
69,69,TrialState.COMPLETE,7.200387309703549,2024-06-18 07:12:30.507516,2024-06-18 07:15:11.800108,True,cosine,True,True,13,True,True,True,True,False,False,True,False,False,True,69
70,70,TrialState.COMPLETE,7.840358092879156,2024-06-18 07:12:32.141521,2024-06-18 07:16:47.988206,True,cosine,True,True,8,True,True,True,True,False,False,True,False,False,False,70
71,71,TrialState.COMPLETE,7.307109271631089,2024-06-18 07:12:37.554081,2024-06-18 07:15:29.508028,True,cosine,True,True,13,True,True,True,True,False,False,True,False,False,False,71
72,72,TrialState.COMPLETE,7.483891982396745,2024-06-18 07:12:53.941777,2024-06-18 07:15:19.018890,True,cosine,True,True,13,True,False,True,True,False,False,False,False,False,True,72
73,73,TrialState.COMPLETE,7.182651730056187,2024-06-18 07:13:13.434797,2024-06-18 07:14:03.131229,True,cosine,True,True,13,True,True,True,True,False,True,False,False,False,True,73
