"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",   1658.40
"Instparm: V",  -1420.07
"Instparm: W",    309.49
"Instparm: X",    -13.40
"Instparm: Y",     61.66
"Instparm: Z",      0.00
"Instparm: SH/L",     -0.01
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.09
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,885.91,0.00113,859.991,859.988,0.711
10.01,941.898,0.00106,860.016,860.014,0.712
10.02,928.462,0.00108,860.03,860.027,0.712
10.03,866.008,0.00115,860.03,860.028,0.713
10.04,856.967,0.00117,860.018,860.016,0.714
10.05,835.452,0.0012,859.994,859.992,0.715
10.06,796.98,0.00125,859.958,859.955,0.715
10.07,811.503,0.00123,859.909,859.907,0.716
10.08,852.685,0.00117,859.849,859.847,0.717
10.09,790.095,0.00127,859.777,859.775,0.717
10.1,750.06,0.00133,859.694,859.692,0.718
10.11,776.903,0.00129,859.6,859.597,0.719
10.12,828.36,0.00121,859.494,859.491,0.719
10.13,842.398,0.00119,859.377,859.374,0.72
10.14,858.433,0.00116,859.249,859.247,0.721
10.15,869.058,0.00115,859.11,859.108,0.722
10.16,848.875,0.00118,858.961,858.959,0.722
10.17,934.145,0.00107,858.801,858.799,0.723
10.18,940.317,0.00106,858.631,858.629,0.724
10.19,891.773,0.00112,858.451,858.448,0.724
10.2,907.758,0.0011,858.26,858.258,0.725
10.21,910.0,0.0011,858.06,858.057,0.726
10.22,876.883,0.00114,857.849,857.847,0.727
10.23,840.23,0.00119,857.63,857.627,0.727
10.24,872.765,0.00115,857.4,857.398,0.728
10.25,864.638,0.00116,857.161,857.159,0.729
10.26,830.27,0.0012,856.913,856.911,0.729
10.27,829.67,0.00121,856.656,856.654,0.73
