"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    113.42
"Instparm: V",    -93.24
"Instparm: W",     27.20
"Instparm: X",      3.17
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",     -0.02
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    224.51
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.07
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,922.538,0.00108,1051.193,1050.512,0.711
10.01,980.11,0.00102,1049.397,1048.71,0.712
10.02,950.258,0.00105,1047.607,1046.915,0.712
10.03,967.898,0.00103,1045.824,1045.128,0.713
10.04,1030.635,0.00097,1044.049,1043.347,0.714
10.05,1000.3,0.001,1042.28,1041.573,0.715
10.06,951.225,0.00105,1040.519,1039.806,0.715
10.07,867.93,0.00115,1038.765,1038.047,0.716
10.08,917.515,0.00109,1037.018,1036.294,0.717
10.09,899.125,0.00111,1035.278,1034.548,0.717
10.1,899.692,0.00111,1033.545,1032.81,0.718
10.11,957.447,0.00104,1031.819,1031.078,0.719
10.12,1026.805,0.00097,1030.1,1029.353,0.719
10.13,966.865,0.00103,1028.388,1027.635,0.72
10.14,944.9,0.00106,1026.683,1025.925,0.721
10.15,943.332,0.00106,1024.985,1024.221,0.722
10.16,964.457,0.00104,1023.295,1022.524,0.722
10.17,993.815,0.00101,1021.611,1020.834,0.723
10.18,987.62,0.00101,1019.934,1019.151,0.724
10.19,947.482,0.00106,1018.264,1017.475,0.724
10.2,946.347,0.00106,1016.601,1015.805,0.725
10.21,970.76,0.00103,1014.945,1014.143,0.726
10.22,946.237,0.00106,1013.296,1012.487,0.727
10.23,925.278,0.00108,1011.654,1010.839,0.727
10.24,881.22,0.00113,1010.019,1009.197,0.728
10.25,858.625,0.00116,1008.391,1007.562,0.729
10.26,970.888,0.00103,1006.77,1005.934,0.729
10.27,935.26,0.00107,1005.156,1004.312,0.73
10.28,908.977,0.0011,1003.548,1002.698,0.731
10.29,903.665,0.00111,1001.948,1001.09,0.732
10.3,966.352,0.00103,1000.354,999.489,0.732
10.31,907.337,0.0011,998.767,997.895,0.733
10.32,908.995,0.0011,997.187,996.308,0.734
10.33,945.967,0.00106,995.614,994.727,0.734
10.34,941.013,0.00106,994.048,993.153,0.735
10.35,951.98,0.00105,992.489,991.586,0.736
10.36,959.32,0.00104,990.936,990.025,0.736
10.37,989.925,0.00101,989.39,988.472,0.737
10.38,1008.29,0.00099,987.851,986.924,0.738
10.39,986.08,0.00101,986.319,985.384,0.739
10.4,959.423,0.00104,984.794,983.85,0.739
