"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.454615
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     18.89
"Instparm: W",     21.87
"Instparm: X",      2.43
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",     -0.01
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -599.37
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.06
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,890.89,0.00112,941.221,940.487,0.743
10.01,905.178,0.0011,940.911,940.171,0.744
10.02,967.35,0.00103,940.593,939.847,0.745
10.03,961.202,0.00104,940.268,939.516,0.745
10.04,975.16,0.00103,939.936,939.179,0.746
10.05,919.085,0.00109,939.597,938.834,0.747
10.06,892.128,0.00112,939.251,938.482,0.747
10.07,980.85,0.00102,938.898,938.123,0.748
10.08,999.082,0.001,938.538,937.758,0.749
10.09,960.663,0.00104,938.172,937.386,0.75
10.1,968.765,0.00103,937.8,937.007,0.75
10.11,921.622,0.00109,937.42,936.622,0.751
10.12,934.803,0.00107,937.035,936.23,0.752
10.13,969.9,0.00103,936.643,935.832,0.752
10.14,967.293,0.00103,936.245,935.427,0.753
10.15,924.403,0.00108,935.841,935.016,0.754
10.16,926.035,0.00108,935.43,934.599,0.755
10.17,923.65,0.00108,935.014,934.176,0.755
10.18,932.38,0.00107,934.592,933.748,0.756
10.19,936.347,0.00107,934.164,933.313,0.757
10.2,936.668,0.00107,933.73,932.872,0.757
10.21,909.56,0.0011,933.29,932.426,0.758
10.22,873.55,0.00114,932.845,931.974,0.759
10.23,909.122,0.0011,932.395,931.516,0.759
10.24,928.375,0.00108,931.939,931.053,0.76
10.25,911.957,0.0011,931.478,930.584,0.761
10.26,910.0,0.0011,931.011,930.11,0.762
10.27,891.972,0.00112,930.539,929.631,0.762
10.28,950.067,0.00105,930.062,929.146,0.763
10.29,950.663,0.00105,929.58,928.657,0.764
10.3,853.97,0.00117,929.094,928.162,0.764
10.31,858.332,0.00117,928.602,927.662,0.765
10.32,904.977,0.0011,928.105,927.158,0.766
10.33,957.957,0.00104,927.604,926.648,0.767
10.34,921.388,0.00109,927.098,926.134,0.767
10.35,913.673,0.00109,926.587,925.615,0.768
10.36,943.27,0.00106,926.072,925.092,0.769
10.37,943.675,0.00106,925.553,924.564,0.769
10.38,922.395,0.00108,925.029,924.031,0.77
10.39,896.08,0.00112,924.501,923.494,0.771
10.4,890.345,0.00112,923.968,922.953,0.772
10.41,901.95,0.00111,923.432,922.407,0.772
10.42,879.442,0.00114,922.891,921.858,0.773
10.43,885.622,0.00113,922.346,921.304,0.774
10.44,931.425,0.00107,921.798,920.746,0.774
10.45,912.805,0.0011,921.245,920.184,0.775
10.46,886.148,0.00113,920.689,919.618,0.776
10.47,960.817,0.00104,920.129,919.048,0.777
10.48,940.21,0.00106,919.565,918.475,0.777
10.49,841.38,0.00119,918.998,917.897,0.778
10.5,916.317,0.00109,918.427,917.316,0.779
10.51,896.915,0.00111,917.853,916.732,0.779
10.52,857.645,0.00117,917.276,916.144,0.78
10.53,886.035,0.00113,916.695,915.552,0.781
10.54,904.857,0.00111,916.11,914.957,0.781
10.55,900.725,0.00111,915.523,914.359,0.782
10.56,894.062,0.00112,914.933,913.758,0.783
10.57,925.98,0.00108,914.339,913.153,0.784
10.58,962.633,0.00104,913.742,912.545,0.784
