"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.066966
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",    -80.03
"Instparm: W",     52.48
"Instparm: X",      2.86
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",     -0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,833.697,0.0012,782.879,782.793,0.716
10.01,824.525,0.00121,784.528,784.442,0.716
10.02,856.707,0.00117,786.142,786.055,0.717
10.03,847.867,0.00118,787.72,787.634,0.718
10.04,904.27,0.00111,789.264,789.177,0.719
10.05,843.325,0.00119,790.773,790.686,0.719
10.06,760.93,0.00131,792.248,792.16,0.72
10.07,710.938,0.00141,793.689,793.601,0.721
10.08,830.78,0.0012,795.097,795.008,0.721
10.09,825.178,0.00121,796.472,796.383,0.722
10.1,805.185,0.00124,797.814,797.724,0.723
10.11,794.263,0.00126,799.124,799.034,0.724
10.12,808.445,0.00124,800.401,800.311,0.724
10.13,828.128,0.00121,801.647,801.556,0.725
10.14,830.0,0.0012,802.862,802.77,0.726
10.15,760.565,0.00131,804.045,803.954,0.726
10.16,732.21,0.00137,805.198,805.106,0.727
10.17,793.347,0.00126,806.321,806.228,0.728
10.18,790.955,0.00126,807.414,807.32,0.728
10.19,805.07,0.00124,808.477,808.383,0.729
10.2,827.758,0.00121,809.51,809.416,0.73
10.21,826.987,0.00121,810.515,810.42,0.731
10.22,814.625,0.00123,811.49,811.395,0.731
10.23,822.362,0.00122,812.438,812.342,0.732
10.24,814.31,0.00123,813.357,813.261,0.733
10.25,843.403,0.00119,814.249,814.152,0.733
10.26,828.633,0.00121,815.113,815.016,0.734
10.27,796.62,0.00126,815.95,815.852,0.735
10.28,772.31,0.00129,816.76,816.662,0.736
10.29,803.025,0.00125,817.543,817.445,0.736
10.3,788.66,0.00127,818.301,818.202,0.737
10.31,849.663,0.00118,819.032,818.933,0.738
10.32,868.66,0.00115,819.738,819.638,0.738
10.33,875.995,0.00114,820.418,820.318,0.739
10.34,888.65,0.00113,821.074,820.972,0.74
10.35,830.102,0.0012,821.704,821.602,0.741
10.36,829.32,0.00121,822.31,822.208,0.741
10.37,838.977,0.00119,822.892,822.789,0.742
10.38,863.93,0.00116,823.45,823.346,0.743
10.39,842.747,0.00119,823.984,823.88,0.743
10.4,816.09,0.00123,824.494,824.39,0.744
10.41,864.122,0.00116,824.982,824.877,0.745
10.42,858.055,0.00117,825.447,825.341,0.745
10.43,779.053,0.00128,825.89,825.783,0.746
10.44,764.033,0.00131,826.31,826.202,0.747
10.45,787.195,0.00127,826.707,826.6,0.748
10.46,828.758,0.00121,827.084,826.975,0.748
10.47,904.857,0.00111,827.438,827.329,0.749
10.48,874.607,0.00114,827.772,827.662,0.75
10.49,875.955,0.00114,828.084,827.974,0.75
10.5,849.878,0.00118,828.376,828.265,0.751
10.51,852.617,0.00117,828.647,828.536,0.752
10.52,853.332,0.00117,828.898,828.786,0.753
10.53,776.043,0.00129,829.129,829.016,0.753
10.54,873.643,0.00114,829.34,829.227,0.754
10.55,856.965,0.00117,829.532,829.418,0.755
10.56,817.705,0.00122,829.705,829.59,0.755
10.57,748.043,0.00134,829.858,829.743,0.756
10.58,763.732,0.00131,829.993,829.877,0.757
10.59,814.11,0.00123,830.109,829.992,0.758
10.6,763.683,0.00131,830.207,830.089,0.758
10.61,744.815,0.00134,830.287,830.169,0.759
10.62,811.447,0.00123,830.349,830.23,0.76
10.63,849.602,0.00118,830.393,830.274,0.76
10.64,859.253,0.00116,830.42,830.3,0.761
10.65,854.085,0.00117,830.43,830.309,0.762
10.66,844.465,0.00118,830.423,830.301,0.762
10.67,875.84,0.00114,830.399,830.277,0.763
10.68,788.428,0.00127,830.359,830.236,0.764
10.69,823.91,0.00121,830.302,830.178,0.765
10.7,874.27,0.00114,830.229,830.105,0.765
10.71,850.5,0.00118,830.141,830.016,0.766
10.72,831.923,0.0012,830.037,829.911,0.767
10.73,883.055,0.00113,829.917,829.79,0.767
10.74,804.558,0.00124,829.782,829.655,0.768
10.75,778.607,0.00128,829.633,829.504,0.769
10.76,814.935,0.00123,829.468,829.339,0.77
10.77,825.885,0.00121,829.289,829.159,0.77
