,trial,state,Rwp,datetime_start,datetime_complete,Backgroundrefine,Backgroundtype,Instrument_parametersrefineZero,Mustrainrefine,Numberofcoefficients,Peakshape_parametersrefineSH/L,Peakshape_parametersrefineU,Peakshape_parametersrefineV,Peakshape_parametersrefineW,Peakshape_parametersrefineX,Peakshape_parametersrefineY,Phase_parametersrefinephase0,Sample_parametersrefineShift,Sample_parametersrefineSurfRoughA,Sample_parametersrefineSurfRoughB,system_attrs_number
0,0,TrialState.COMPLETE,13.990493658891404,2024-06-18 05:03:53.518223,2024-06-18 05:04:48.807675,True,cosine,False,True,2,False,False,True,False,True,True,False,False,False,True,0
1,1,TrialState.COMPLETE,49.63321341224055,2024-06-18 05:03:53.522775,2024-06-18 05:05:36.470895,False,cosine,False,True,10,False,False,True,False,False,False,False,True,False,False,1
2,2,TrialState.COMPLETE,47.25707473227056,2024-06-18 05:03:53.527999,2024-06-18 05:05:03.325086,False,log interpolate,False,True,1,False,True,False,False,True,False,False,False,False,False,2
3,3,TrialState.COMPLETE,69.83954658223671,2024-06-18 05:03:53.528284,2024-06-18 05:04:11.565865,False,inv interpolate,False,True,2,True,True,False,True,False,False,False,True,True,True,3
4,4,TrialState.COMPLETE,76.93320343991418,2024-06-18 05:03:53.532900,2024-06-18 05:04:04.428639,True,inv interpolate,True,True,9,True,False,False,False,True,True,False,False,True,True,4
5,5,TrialState.COMPLETE,69.79064350736905,2024-06-18 05:03:53.533598,2024-06-18 05:04:16.670086,False,Q^-2 power series,False,True,11,True,False,False,True,True,True,True,False,True,True,5
6,6,TrialState.COMPLETE,10.764503089907649,2024-06-18 05:03:53.533787,2024-06-18 05:05:11.969986,True,Q^-2 power series,True,True,7,True,False,False,False,True,True,True,False,False,False,6
7,7,TrialState.COMPLETE,76.93310211515613,2024-06-18 05:03:53.534496,2024-06-18 05:04:08.668726,True,Q^2 power series,False,True,16,True,False,True,False,True,False,False,False,True,False,7
8,8,TrialState.COMPLETE,76.93320343991418,2024-06-18 05:03:53.535277,2024-06-18 05:04:02.873059,True,inv interpolate,True,True,9,True,True,True,True,True,True,True,False,True,False,8
9,9,TrialState.COMPLETE,69.21506560755772,2024-06-18 05:03:53.535405,2024-06-18 05:04:13.378278,False,Q^2 power series,True,True,4,False,True,True,True,True,True,False,True,True,False,9
10,10,TrialState.COMPLETE,46.31294444898666,2024-06-18 05:04:02.882009,2024-06-18 05:05:12.979520,False,Q^-2 power series,True,True,5,False,False,True,False,True,False,False,False,False,False,10
11,11,TrialState.COMPLETE,10.788965362149018,2024-06-18 05:04:04.447015,2024-06-18 05:05:23.056564,True,Q^-2 power series,True,True,15,False,True,True,False,False,False,True,False,False,True,11
12,12,TrialState.COMPLETE,25.225240761402674,2024-06-18 05:04:08.680353,2024-06-18 05:04:33.347072,True,Q^-2 power series,True,False,7,True,False,True,False,True,False,False,False,True,True,12
13,13,TrialState.COMPLETE,44.74653987455009,2024-06-18 05:04:11.572730,2024-06-18 05:05:23.404323,False,Q^-2 power series,True,True,9,False,False,False,False,False,True,False,True,False,False,13
14,14,TrialState.COMPLETE,46.48072206509407,2024-06-18 05:04:13.404387,2024-06-18 05:05:42.493343,False,Q^-2 power series,True,False,10,True,True,True,False,True,False,True,True,False,True,14
15,15,TrialState.COMPLETE,8.104655116559549,2024-06-18 05:04:16.684942,2024-06-18 05:06:18.076620,True,cosine,False,True,12,True,False,False,True,False,False,False,True,False,False,15
16,16,TrialState.COMPLETE,46.92107701798277,2024-06-18 05:04:33.370896,2024-06-18 05:05:35.257732,False,Q^2 power series,False,True,10,False,True,True,False,True,True,False,False,False,False,16
17,17,TrialState.COMPLETE,38.947089339240335,2024-06-18 05:04:48.815512,2024-06-18 05:05:46.411337,False,cosine,False,False,6,True,False,False,False,True,True,False,False,False,True,17
18,18,TrialState.COMPLETE,23.102977714713187,2024-06-18 05:05:03.333388,2024-06-18 05:05:23.443342,True,log interpolate,True,True,11,True,True,False,True,False,False,False,True,True,False,18
19,19,TrialState.COMPLETE,46.74713487560724,2024-06-18 05:05:11.989571,2024-06-18 05:06:29.880562,False,log interpolate,False,False,14,True,False,True,False,True,True,True,True,False,False,19
20,20,TrialState.COMPLETE,7.519577869295964,2024-06-18 05:05:12.987720,2024-06-18 05:06:08.222160,True,cosine,False,False,13,False,True,True,True,True,False,True,True,False,False,20
21,21,TrialState.COMPLETE,46.622577280052276,2024-06-18 05:05:23.086869,2024-06-18 05:07:06.881788,False,cosine,False,False,15,True,True,True,False,True,True,False,False,False,True,21
22,22,TrialState.COMPLETE,25.5348487758678,2024-06-18 05:05:23.418890,2024-06-18 05:05:48.141710,True,Q^-2 power series,False,True,4,True,True,False,True,False,True,False,True,True,True,22
23,23,TrialState.COMPLETE,25.10907190917196,2024-06-18 05:05:23.452591,2024-06-18 05:05:47.083048,True,chebyschev,False,True,14,True,False,False,True,False,False,False,True,True,True,23
24,24,TrialState.COMPLETE,76.93320343991418,2024-06-18 05:05:35.311806,2024-06-18 05:05:43.363254,True,inv interpolate,True,False,13,True,True,False,True,False,False,True,False,True,False,24
25,25,TrialState.COMPLETE,69.89650264062092,2024-06-18 05:05:36.483554,2024-06-18 05:05:59.407091,False,inv interpolate,False,True,15,False,True,True,True,True,True,True,False,True,True,25
26,26,TrialState.COMPLETE,24.39763458848074,2024-06-18 05:05:42.531561,2024-06-18 05:06:04.572437,True,cosine,False,False,13,True,True,False,False,False,True,True,True,True,False,26
27,27,TrialState.COMPLETE,8.727557207432994,2024-06-18 05:05:43.374366,2024-06-18 05:06:35.723810,True,chebyschev,True,False,16,True,False,True,False,True,False,True,True,False,False,27
28,28,TrialState.COMPLETE,76.93320343991418,2024-06-18 05:05:46.422616,2024-06-18 05:05:55.133598,True,inv interpolate,True,True,12,False,False,False,False,True,False,True,False,False,False,28
29,29,TrialState.COMPLETE,7.0443085964907395,2024-06-18 05:05:47.124093,2024-06-18 05:06:50.868744,True,chebyschev,True,True,16,False,True,True,False,False,True,True,False,False,True,29
30,30,TrialState.COMPLETE,10.571205679813431,2024-06-18 05:05:48.169181,2024-06-18 05:06:49.569843,True,cosine,True,True,2,False,False,True,False,True,True,True,False,False,True,30
31,31,TrialState.COMPLETE,7.831764657704785,2024-06-18 05:05:55.176215,2024-06-18 05:06:57.263608,True,cosine,True,True,7,False,False,True,False,False,True,True,False,False,True,31
32,32,TrialState.COMPLETE,10.56536892083981,2024-06-18 05:05:59.432326,2024-06-18 05:06:57.574529,True,cosine,True,True,2,False,False,True,False,False,True,True,False,False,True,32
33,33,TrialState.COMPLETE,10.56536892083981,2024-06-18 05:06:04.612892,2024-06-18 05:07:00.274307,True,cosine,True,True,2,False,False,True,False,False,True,True,False,False,True,33
34,34,TrialState.COMPLETE,8.811947597391951,2024-06-18 05:06:08.236582,2024-06-18 05:07:04.215616,True,chebyschev,True,False,16,False,True,True,False,False,False,True,False,False,False,34
35,35,TrialState.COMPLETE,8.693706193737883,2024-06-18 05:06:18.152538,2024-06-18 05:07:45.510945,True,cosine,False,False,7,True,False,False,True,False,False,True,True,False,False,35
36,36,TrialState.COMPLETE,8.693706193737883,2024-06-18 05:06:29.895011,2024-06-18 05:07:52.028622,True,cosine,False,False,7,True,False,False,True,False,False,True,True,False,False,36
37,37,TrialState.COMPLETE,8.335819102681983,2024-06-18 05:06:35.766774,2024-06-18 05:08:01.577318,True,chebyschev,False,False,16,True,False,True,True,False,False,True,True,False,False,37
38,38,TrialState.COMPLETE,8.335819102681983,2024-06-18 05:06:49.622835,2024-06-18 05:08:12.560506,True,chebyschev,False,False,16,True,False,True,True,False,False,True,True,False,False,38
39,39,TrialState.COMPLETE,8.157553486014619,2024-06-18 05:06:50.895333,2024-06-18 05:07:54.183496,True,chebyschev,False,False,12,False,True,True,True,False,False,True,True,False,False,39
40,40,TrialState.COMPLETE,6.977393262433354,2024-06-18 05:06:57.293470,2024-06-18 05:08:02.832358,True,cosine,False,False,12,False,True,True,True,False,False,True,True,False,True,40
41,41,TrialState.COMPLETE,6.977393262433354,2024-06-18 05:06:57.607608,2024-06-18 05:07:58.380207,True,cosine,False,False,12,False,True,True,True,False,False,True,True,False,True,41
42,42,TrialState.COMPLETE,7.270668745049506,2024-06-18 05:07:00.301541,2024-06-18 05:07:59.328353,True,chebyschev,False,False,12,False,True,True,True,False,False,True,True,False,True,42
43,43,TrialState.COMPLETE,6.977393262433354,2024-06-18 05:07:04.274412,2024-06-18 05:08:10.006757,True,cosine,False,False,12,False,True,True,True,False,False,True,True,False,True,43
44,44,TrialState.COMPLETE,6.977393262433354,2024-06-18 05:07:06.963026,2024-06-18 05:08:00.797869,True,cosine,False,False,12,False,True,True,True,False,False,True,True,False,True,44
45,45,TrialState.COMPLETE,6.865263494255235,2024-06-18 05:07:45.546808,2024-06-18 05:08:56.944251,True,chebyschev,False,True,12,False,True,True,True,False,False,True,True,False,True,45
46,46,TrialState.COMPLETE,6.865263494255235,2024-06-18 05:07:52.059359,2024-06-18 05:08:54.211437,True,chebyschev,False,True,12,False,True,True,True,False,False,True,True,False,True,46
47,47,TrialState.COMPLETE,6.949042538071359,2024-06-18 05:07:54.273905,2024-06-18 05:09:00.065413,True,cosine,False,True,8,False,True,True,True,False,False,True,True,False,True,47
48,48,TrialState.COMPLETE,6.370011237547818,2024-06-18 05:07:58.404634,2024-06-18 05:09:00.342109,True,chebyschev,False,False,11,False,True,True,True,False,True,True,True,False,True,48
49,49,TrialState.COMPLETE,7.278523465031812,2024-06-18 05:07:59.346466,2024-06-18 05:09:05.847444,True,chebyschev,False,False,11,False,True,True,True,False,False,True,True,False,True,49
50,50,TrialState.COMPLETE,7.278523465031812,2024-06-18 05:08:00.819661,2024-06-18 05:09:05.105581,True,chebyschev,False,False,11,False,True,True,True,False,False,True,True,False,True,50
51,51,TrialState.COMPLETE,7.244251308657186,2024-06-18 05:08:01.595739,2024-06-18 05:09:05.127880,True,chebyschev,False,False,13,False,True,True,True,False,False,True,True,False,True,51
52,52,TrialState.COMPLETE,7.278523465031812,2024-06-18 05:08:02.852811,2024-06-18 05:09:04.776703,True,chebyschev,False,False,11,False,True,True,True,False,False,True,True,False,True,52
53,53,TrialState.COMPLETE,7.032668904248843,2024-06-18 05:08:10.032846,2024-06-18 05:09:16.674547,True,cosine,False,False,11,False,True,True,True,False,False,True,True,False,True,53
54,54,TrialState.COMPLETE,7.032668904248843,2024-06-18 05:08:12.606532,2024-06-18 05:09:11.573748,True,cosine,False,False,11,False,True,True,True,False,False,True,True,False,True,54
55,55,TrialState.COMPLETE,7.032668904248843,2024-06-18 05:08:54.316345,2024-06-18 05:09:57.520284,True,cosine,False,False,11,False,True,True,True,False,False,True,True,False,True,55
56,56,TrialState.COMPLETE,7.278523465031812,2024-06-18 05:08:56.999399,2024-06-18 05:10:05.087152,True,chebyschev,False,False,11,False,True,True,True,False,False,True,True,False,True,56
57,57,TrialState.COMPLETE,6.869019498606958,2024-06-18 05:09:00.166593,2024-06-18 05:10:13.432704,True,chebyschev,False,True,11,False,True,True,True,False,False,True,True,False,True,57
58,58,TrialState.COMPLETE,7.212052680207613,2024-06-18 05:09:00.401017,2024-06-18 05:09:58.024021,True,chebyschev,False,True,8,False,True,True,True,False,False,True,True,False,True,58
59,59,TrialState.COMPLETE,76.93310974490404,2024-06-18 05:09:05.127903,2024-06-18 05:09:39.095395,True,Q^2 power series,False,True,8,False,True,True,True,False,False,True,True,False,True,59
60,60,TrialState.COMPLETE,76.93310974490404,2024-06-18 05:09:05.231023,2024-06-18 05:09:38.354471,True,Q^2 power series,False,True,8,False,True,True,True,False,False,True,True,False,True,60
61,61,TrialState.COMPLETE,76.93310974490404,2024-06-18 05:09:05.241621,2024-06-18 05:09:30.423264,True,Q^2 power series,False,True,8,False,True,True,True,False,False,True,True,False,True,61
62,62,TrialState.COMPLETE,76.93310974490404,2024-06-18 05:09:05.908325,2024-06-18 05:09:37.011771,True,Q^2 power series,False,True,8,False,True,True,True,False,False,True,True,False,True,62
63,63,TrialState.COMPLETE,76.93310974490404,2024-06-18 05:09:11.602229,2024-06-18 05:09:39.487697,True,Q^2 power series,False,True,8,False,True,True,True,False,False,True,True,False,True,63
64,64,TrialState.COMPLETE,76.93310974490404,2024-06-18 05:09:16.753915,2024-06-18 05:09:47.512028,True,Q^2 power series,False,True,8,False,True,True,True,False,False,True,True,False,True,64
