"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.112849
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",     25.79
"Instparm: V",     -2.00
"Instparm: W",      5.00
"Instparm: X",      3.70
"Instparm: Y",     -5.36
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,924.52,0.00108,919.558,919.531,0.719
10.01,914.227,0.00109,918.872,918.845,0.72
10.02,837.48,0.00119,918.186,918.159,0.72
10.03,769.34,0.0013,917.501,917.473,0.721
10.04,820.938,0.00122,916.816,916.789,0.722
10.05,881.217,0.00113,916.132,916.104,0.723
10.06,874.55,0.00114,915.448,915.42,0.723
10.07,867.278,0.00115,914.765,914.737,0.724
10.08,851.53,0.00117,914.083,914.054,0.725
10.09,846.975,0.00118,913.4,913.372,0.725
10.1,852.715,0.00117,912.719,912.69,0.726
10.11,877.523,0.00114,912.037,912.008,0.727
10.12,916.27,0.00109,911.357,911.327,0.727
10.13,895.83,0.00112,910.677,910.647,0.728
10.14,863.133,0.00116,909.997,909.967,0.729
10.15,866.038,0.00115,909.318,909.288,0.73
10.16,866.668,0.00115,908.639,908.609,0.73
10.17,860.633,0.00116,907.961,907.93,0.731
10.18,860.0,0.00116,907.283,907.252,0.732
10.19,923.298,0.00108,906.606,906.575,0.732
10.2,939.04,0.00106,905.929,905.898,0.733
10.21,879.765,0.00114,905.253,905.221,0.734
10.22,936.555,0.00107,904.577,904.545,0.735
10.23,874.117,0.00114,903.902,903.87,0.735
10.24,857.643,0.00117,903.227,903.195,0.736
10.25,826.597,0.00121,902.553,902.52,0.737
10.26,904.49,0.00111,901.879,901.846,0.737
10.27,946.383,0.00106,901.206,901.173,0.738
10.28,838.875,0.00119,900.533,900.499,0.739
10.29,838.675,0.00119,899.86,899.827,0.74
10.3,930.03,0.00108,899.189,899.155,0.74
10.31,910.003,0.0011,898.517,898.483,0.741
10.32,915.663,0.00109,897.847,897.812,0.742
10.33,856.72,0.00117,897.176,897.141,0.742
10.34,891.945,0.00112,896.506,896.471,0.743
10.35,854.737,0.00117,895.837,895.802,0.744
10.36,841.02,0.00119,895.168,895.133,0.744
10.37,828.03,0.00121,894.5,894.464,0.745
10.38,892.475,0.00112,893.832,893.796,0.746
10.39,885.05,0.00113,893.164,893.128,0.747
10.4,907.245,0.0011,892.498,892.461,0.747
10.41,880.125,0.00114,891.831,891.794,0.748
10.42,909.518,0.0011,891.165,891.128,0.749
10.43,943.185,0.00106,890.5,890.462,0.749
10.44,931.747,0.00107,889.835,889.797,0.75
10.45,915.087,0.00109,889.17,889.132,0.751
10.46,981.908,0.00102,888.507,888.468,0.752
10.47,963.178,0.00104,887.843,887.804,0.752
10.48,885.525,0.00113,887.18,887.141,0.753
10.49,936.222,0.00107,886.518,886.478,0.754
10.5,886.78,0.00113,885.856,885.815,0.754
10.51,850.247,0.00118,885.194,885.154,0.755
10.52,885.33,0.00113,884.533,884.492,0.756
10.53,866.217,0.00115,883.873,883.831,0.757
10.54,854.42,0.00117,883.213,883.171,0.757
10.55,886.008,0.00113,882.553,882.511,0.758
10.56,845.465,0.00118,881.894,881.852,0.759
10.57,831.097,0.0012,881.236,881.193,0.759
10.58,803.303,0.00124,880.577,880.534,0.76
10.59,820.758,0.00122,879.92,879.876,0.761
10.6,879.65,0.00114,879.263,879.219,0.761
10.61,868.89,0.00115,878.606,878.562,0.762
10.62,881.475,0.00113,877.95,877.905,0.763
10.63,880.372,0.00114,877.294,877.249,0.764
10.64,871.122,0.00115,876.639,876.594,0.764
10.65,790.143,0.00127,875.985,875.938,0.765
10.66,782.957,0.00128,875.331,875.284,0.766
10.67,889.72,0.00112,874.677,874.63,0.766
10.68,932.872,0.00107,874.024,873.976,0.767
10.69,942.572,0.00106,873.371,873.323,0.768
10.7,899.062,0.00111,872.719,872.67,0.769
10.71,816.63,0.00122,872.067,872.018,0.769
10.72,895.133,0.00112,871.416,871.366,0.77
10.73,939.09,0.00106,870.765,870.715,0.771
10.74,860.837,0.00116,870.115,870.064,0.771
10.75,835.275,0.0012,869.465,869.414,0.772
10.76,856.883,0.00117,868.816,868.764,0.773
10.77,860.0,0.00116,868.167,868.115,0.774
10.78,839.413,0.00119,867.519,867.466,0.774
10.79,783.75,0.00128,866.871,866.818,0.775
10.8,750.22,0.00133,866.224,866.17,0.776
10.81,793.663,0.00126,865.577,865.523,0.776
10.82,852.847,0.00117,864.931,864.876,0.777
10.83,909.89,0.0011,864.285,864.229,0.778
10.84,893.2,0.00112,863.64,863.583,0.779
10.85,875.34,0.00114,862.995,862.938,0.779
10.86,835.232,0.0012,862.351,862.293,0.78
10.87,809.492,0.00124,861.707,861.648,0.781
10.88,941.365,0.00106,861.063,861.004,0.781
10.89,872.192,0.00115,860.42,860.361,0.782
10.9,807.34,0.00124,859.778,859.718,0.783
10.91,820.47,0.00122,859.136,859.075,0.783
10.92,846.717,0.00118,858.495,858.433,0.784
10.93,800.33,0.00125,857.854,857.791,0.785
10.94,883.865,0.00113,857.213,857.15,0.786
10.95,879.153,0.00114,856.574,856.51,0.786
10.96,885.42,0.00113,855.934,855.869,0.787
10.97,840.003,0.00119,855.295,855.23,0.788
10.98,804.183,0.00124,854.657,854.59,0.788
10.99,800.0,0.00125,854.019,853.952,0.789
11.0,776.7,0.00129,853.381,853.313,0.79
11.01,779.155,0.00128,852.744,852.676,0.791
11.02,881.845,0.00113,852.108,852.038,0.791
11.03,879.215,0.00114,851.472,851.401,0.792
11.04,865.038,0.00116,850.836,850.765,0.793
11.05,845.898,0.00118,850.201,850.129,0.793
11.06,901.425,0.00111,849.567,849.494,0.794
11.07,895.485,0.00112,848.933,848.859,0.795
11.08,861.413,0.00116,848.299,848.224,0.796
11.09,755.148,0.00132,847.666,847.59,0.796
11.1,806.683,0.00124,847.034,846.957,0.797
11.11,912.298,0.0011,846.402,846.324,0.798
11.12,842.668,0.00119,845.77,845.691,0.798
11.13,861.847,0.00116,845.139,845.059,0.799
11.14,863.773,0.00116,844.509,844.427,0.8
11.15,776.558,0.00129,843.878,843.796,0.8
11.16,783.572,0.00128,843.249,843.165,0.801
11.17,861.803,0.00116,842.62,842.535,0.802
11.18,818.452,0.00122,841.991,841.906,0.803
11.19,810.0,0.00123,841.363,841.276,0.803
11.2,830.2,0.0012,840.736,840.647,0.804
11.21,876.6,0.00114,840.109,840.019,0.805
11.22,871.8,0.00115,839.482,839.391,0.805
11.23,849.827,0.00118,838.856,838.764,0.806
11.24,820.742,0.00122,838.231,838.137,0.807
11.25,802.273,0.00125,837.605,837.511,0.808
11.26,874.82,0.00114,836.981,836.885,0.808
11.27,846.398,0.00118,836.357,836.259,0.809
11.28,796.875,0.00125,835.733,835.634,0.81
11.29,827.357,0.00121,835.11,835.01,0.81
11.3,902.268,0.00111,834.488,834.386,0.811
11.31,861.658,0.00116,833.866,833.762,0.812
11.32,864.812,0.00116,833.244,833.139,0.813
11.33,926.898,0.00108,832.623,832.516,0.813
11.34,844.93,0.00118,832.003,831.894,0.814
11.35,830.0,0.0012,831.383,831.272,0.815
11.36,832.865,0.0012,830.764,830.651,0.815
11.37,876.273,0.00114,830.145,830.03,0.816
11.38,846.138,0.00118,829.526,829.41,0.817
11.39,811.403,0.00123,828.908,828.79,0.817
11.4,789.515,0.00127,828.291,828.171,0.818
11.41,809.523,0.00124,827.674,827.552,0.819
11.42,773.352,0.00129,827.058,826.933,0.82
11.43,795.21,0.00126,826.442,826.315,0.82
11.44,828.53,0.00121,825.827,825.698,0.821
11.45,801.965,0.00125,825.212,825.081,0.822
11.46,810.918,0.00123,824.598,824.464,0.822
11.47,895.947,0.00112,823.985,823.848,0.823
11.48,830.273,0.0012,823.371,823.233,0.824
11.49,788.207,0.00127,822.759,822.618,0.825
11.5,860.138,0.00116,822.147,822.003,0.825
11.51,853.43,0.00117,821.536,821.389,0.826
11.52,875.575,0.00114,820.925,820.775,0.827
11.53,897.043,0.00111,820.314,820.162,0.827
11.54,908.518,0.0011,819.705,819.549,0.828
11.55,873.112,0.00115,819.095,818.936,0.829
11.56,880.847,0.00114,818.487,818.325,0.83
11.57,854.985,0.00117,817.879,817.713,0.83
11.58,787.665,0.00127,817.271,817.102,0.831
11.59,773.835,0.00129,816.664,816.492,0.832
11.6,787.485,0.00127,816.058,815.882,0.832
11.61,826.778,0.00121,815.452,815.272,0.833
11.62,813.54,0.00123,814.847,814.663,0.834
11.63,781.737,0.00128,814.243,814.055,0.834
11.64,824.69,0.00121,813.639,813.446,0.835
11.65,867.215,0.00115,813.035,812.839,0.836
11.66,884.622,0.00113,812.433,812.231,0.837
11.67,824.612,0.00121,811.831,811.625,0.837
11.68,779.503,0.00128,811.229,811.018,0.838
11.69,801.51,0.00125,810.628,810.413,0.839
11.7,862.992,0.00116,810.028,809.807,0.839
11.71,831.11,0.0012,809.43,809.202,0.84
11.72,795.197,0.00126,808.832,808.598,0.841
11.73,868.737,0.00115,808.234,807.994,0.842
11.74,855.227,0.00117,807.636,807.39,0.842
11.75,819.1,0.00122,807.04,806.787,0.843
11.76,804.91,0.00124,806.445,806.185,0.844
11.77,808.945,0.00124,805.85,805.583,0.844
11.78,880.122,0.00114,805.255,804.981,0.845
11.79,781.195,0.00128,804.662,804.38,0.846
11.8,743.188,0.00135,804.069,803.779,0.847
11.81,804.413,0.00124,803.477,803.179,0.847
11.82,839.06,0.00119,802.886,802.579,0.848
11.83,871.31,0.00115,802.296,801.98,0.849
11.84,873.87,0.00114,801.707,801.381,0.849
11.85,806.258,0.00124,801.118,800.782,0.85
11.86,743.053,0.00135,800.531,800.185,0.851
11.87,744.5,0.00134,799.945,799.587,0.851
11.88,875.025,0.00114,799.359,798.99,0.852
11.89,858.165,0.00117,798.775,798.393,0.853
11.9,810.975,0.00123,798.192,797.797,0.854
11.91,806.12,0.00124,797.61,797.202,0.854
11.92,854.005,0.00117,797.029,796.606,0.855
11.93,829.935,0.0012,796.45,796.012,0.856
11.94,803.862,0.00124,795.872,795.417,0.856
11.95,800.0,0.00125,795.295,794.824,0.857
11.96,847.237,0.00118,794.72,794.23,0.858
11.97,828.895,0.00121,794.146,793.637,0.859
11.98,917.71,0.00109,793.575,793.045,0.859
11.99,867.308,0.00115,793.004,792.453,0.86
12.0,817.285,0.00122,792.436,791.862,0.861
12.01,760.115,0.00132,791.87,791.27,0.861
12.02,783.24,0.00128,791.307,790.68,0.862
12.03,831.528,0.0012,790.745,790.09,0.863
12.04,845.535,0.00118,790.186,789.5,0.863
12.05,841.135,0.00119,789.63,788.911,0.864
12.06,768.135,0.0013,789.077,788.322,0.865
12.07,780.957,0.00128,788.528,787.734,0.866
12.08,844.648,0.00118,787.982,787.146,0.866
12.09,826.312,0.00121,787.44,786.559,0.867
12.1,745.533,0.00134,786.902,785.972,0.868
12.11,752.053,0.00133,786.37,785.385,0.868
12.12,786.972,0.00127,785.843,784.799,0.869
12.13,812.607,0.00123,785.322,784.214,0.87
