"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.198625
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    326.29
"Instparm: V",   -219.25
"Instparm: W",     46.60
"Instparm: X",      1.88
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -259.81
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.14
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,904.75,0.00111,840.991,840.955,0.725
10.01,833.222,0.0012,840.553,840.516,0.726
10.02,814.53,0.00123,840.115,840.078,0.726
10.03,807.268,0.00124,839.677,839.639,0.727
10.04,718.745,0.00139,839.238,839.2,0.728
10.05,791.827,0.00126,838.799,838.761,0.729
10.06,839.383,0.00119,838.36,838.322,0.729
10.07,897.842,0.00111,837.92,837.882,0.73
10.08,873.062,0.00115,837.481,837.442,0.731
10.09,776.195,0.00129,837.041,837.002,0.731
10.1,784.815,0.00127,836.6,836.562,0.732
10.11,828.997,0.00121,836.16,836.121,0.733
10.12,781.952,0.00128,835.719,835.68,0.734
10.13,806.88,0.00124,835.278,835.239,0.734
10.14,846.24,0.00118,834.837,834.798,0.735
10.15,834.905,0.0012,834.396,834.356,0.736
10.16,854.457,0.00117,833.954,833.914,0.736
10.17,868.732,0.00115,833.513,833.472,0.737
10.18,876.03,0.00114,833.071,833.03,0.738
10.19,882.695,0.00113,832.628,832.587,0.739
10.2,844.165,0.00118,832.186,832.144,0.739
10.21,867.105,0.00115,831.743,831.701,0.74
10.22,879.033,0.00114,831.3,831.258,0.741
10.23,813.793,0.00123,830.857,830.815,0.741
10.24,809.675,0.00124,830.413,830.371,0.742
10.25,873.148,0.00115,829.97,829.927,0.743
10.26,867.977,0.00115,829.526,829.483,0.743
10.27,872.675,0.00115,829.082,829.039,0.744
10.28,852.31,0.00117,828.637,828.594,0.745
10.29,886.025,0.00113,828.193,828.149,0.746
10.3,823.977,0.00121,827.748,827.704,0.746
10.31,804.668,0.00124,827.303,827.259,0.747
10.32,848.312,0.00118,826.858,826.814,0.748
10.33,883.308,0.00113,826.413,826.368,0.748
10.34,826.745,0.00121,825.967,825.922,0.749
10.35,822.995,0.00122,825.521,825.476,0.75
10.36,805.37,0.00124,825.075,825.029,0.751
10.37,803.332,0.00124,824.629,824.583,0.751
10.38,866.15,0.00115,824.182,824.136,0.752
10.39,867.352,0.00115,823.735,823.689,0.753
10.4,857.7,0.00117,823.288,823.242,0.753
10.41,793.928,0.00126,822.841,822.794,0.754
10.42,798.612,0.00125,822.394,822.346,0.755
10.43,871.643,0.00115,821.946,821.899,0.756
10.44,903.87,0.00111,821.498,821.45,0.756
10.45,796.308,0.00126,821.05,821.002,0.757
10.46,771.408,0.0013,820.602,820.553,0.758
10.47,799.803,0.00125,820.154,820.105,0.758
10.48,791.418,0.00126,819.705,819.656,0.759
10.49,852.533,0.00117,819.256,819.207,0.76
10.5,824.283,0.00121,818.807,818.757,0.76
10.51,906.283,0.0011,818.358,818.308,0.761
10.52,895.847,0.00112,817.908,817.858,0.762
10.53,851.715,0.00117,817.459,817.408,0.763
10.54,760.492,0.00131,817.009,816.957,0.763
10.55,791.585,0.00126,816.559,816.507,0.764
10.56,761.038,0.00131,816.108,816.056,0.765
10.57,777.44,0.00129,815.658,815.605,0.765
10.58,806.697,0.00124,815.207,815.154,0.766
10.59,780.347,0.00128,814.756,814.703,0.767
10.6,832.982,0.0012,814.305,814.252,0.768
10.61,807.41,0.00124,813.854,813.8,0.768
10.62,776.68,0.00129,813.402,813.348,0.769
10.63,826.617,0.00121,812.951,812.896,0.77
10.64,824.457,0.00121,812.499,812.444,0.77
10.65,805.587,0.00124,812.047,811.991,0.771
10.66,815.16,0.00123,811.595,811.538,0.772
10.67,855.085,0.00117,811.142,811.086,0.773
10.68,792.06,0.00126,810.689,810.633,0.773
10.69,783.332,0.00128,810.237,810.179,0.774
10.7,815.798,0.00123,809.784,809.726,0.775
10.71,825.9,0.00121,809.33,809.272,0.775
10.72,853.205,0.00117,808.877,808.818,0.776
10.73,841.93,0.00119,808.423,808.364,0.777
10.74,916.602,0.00109,807.969,807.91,0.777
10.75,876.602,0.00114,807.515,807.455,0.778
10.76,825.845,0.00121,807.061,807.001,0.779
10.77,778.805,0.00128,806.607,806.546,0.78
10.78,788.04,0.00127,806.152,806.091,0.78
10.79,881.135,0.00113,805.698,805.636,0.781
10.8,908.025,0.0011,805.243,805.18,0.782
10.81,813.07,0.00123,804.788,804.725,0.782
10.82,808.808,0.00124,804.332,804.269,0.783
10.83,777.717,0.00129,803.877,803.813,0.784
10.84,761.6,0.00131,803.421,803.357,0.785
10.85,847.962,0.00118,802.965,802.9,0.785
10.86,813.107,0.00123,802.509,802.444,0.786
