,trial,state,Rwp,datetime_start,datetime_complete,Backgroundrefine,Backgroundtype,Instrument_parametersrefineZero,Mustrainrefine,Numberofcoefficients,Peakshape_parametersrefineSH/L,Peakshape_parametersrefineU,Peakshape_parametersrefineV,Peakshape_parametersrefineW,Peakshape_parametersrefineX,Peakshape_parametersrefineY,Phase_parametersrefinephase0,Sample_parametersrefineShift,Sample_parametersrefineSurfRoughA,Sample_parametersrefineSurfRoughB,system_attrs_number
0,0,TrialState.COMPLETE,17.519645627010334,2024-06-17 14:05:36.983023,2024-06-17 14:06:27.507810,True,cosine,False,True,2,False,False,True,False,True,True,False,False,False,True,0
1,1,TrialState.COMPLETE,42.11068602085633,2024-06-17 14:05:36.988134,2024-06-17 14:29:33.916014,False,cosine,False,True,10,True,False,True,False,False,False,False,True,False,False,1
2,2,TrialState.COMPLETE,70.73151689661279,2024-06-17 14:05:36.993479,2024-06-17 14:05:53.517992,False,cosine,True,True,13,True,False,True,True,False,True,True,False,True,False,2
3,3,TrialState.COMPLETE,32.346446625094416,2024-06-17 14:05:36.994285,2024-06-17 14:05:58.007720,True,chebyschev,False,False,1,False,False,True,True,True,True,False,False,True,False,3
4,4,TrialState.COMPLETE,70.73151689661279,2024-06-17 14:05:36.994379,2024-06-17 14:05:57.090807,False,inv interpolate,True,True,1,True,True,False,False,True,False,False,True,True,True,4
5,5,TrialState.COMPLETE,70.86556435133912,2024-06-17 14:05:36.994508,2024-06-17 14:05:57.056919,False,inv interpolate,True,True,15,False,True,False,False,False,False,True,False,True,False,5
6,6,TrialState.COMPLETE,70.86283108783003,2024-06-17 14:05:36.999445,2024-06-17 14:05:58.600311,False,log interpolate,True,True,11,True,False,True,True,False,True,False,True,True,False,6
7,7,TrialState.COMPLETE,24.792589082727613,2024-06-17 14:05:37.000063,2024-06-17 14:06:09.699581,True,Q^-2 power series,True,True,12,True,True,True,True,True,True,True,True,True,True,7
8,8,TrialState.COMPLETE,48.015862316643734,2024-06-17 14:05:37.000317,2024-06-17 14:09:52.262842,False,cosine,False,True,8,True,True,False,True,False,True,True,False,False,False,8
9,9,TrialState.COMPLETE,71.36193177132232,2024-06-17 14:05:37.000683,2024-06-17 14:05:55.878914,False,chebyschev,False,True,2,True,False,True,False,False,False,False,True,True,False,9
10,10,TrialState.COMPLETE,43.685362081698194,2024-06-17 14:05:53.536035,2024-06-17 14:07:24.223565,False,chebyschev,False,True,15,False,False,False,False,False,True,True,True,False,True,10
11,11,TrialState.COMPLETE,70.73151689661279,2024-06-17 14:05:55.890007,2024-06-17 14:06:16.459929,False,chebyschev,True,False,11,False,False,True,True,True,False,False,True,True,False,11
12,12,TrialState.COMPLETE,24.280290471025786,2024-06-17 14:05:57.062973,2024-06-17 14:06:18.998376,True,log interpolate,True,True,4,True,True,False,True,True,False,False,True,True,False,12
