"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    -55.75
"Instparm: V",     -2.00
"Instparm: W",     25.66
"Instparm: X",      2.22
"Instparm: Y",     -7.69
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    200.56
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.22
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,871.485,0.00115,890.348,890.258,0.711
10.01,863.93,0.00116,889.949,889.859,0.712
10.02,860.3,0.00116,889.55,889.459,0.712
10.03,890.33,0.00112,889.151,889.059,0.713
10.04,887.27,0.00113,888.751,888.66,0.714
10.05,853.33,0.00117,888.352,888.259,0.715
10.06,919.678,0.00109,887.952,887.859,0.715
10.07,938.78,0.00107,887.552,887.458,0.716
10.08,861.295,0.00116,887.151,887.058,0.717
10.09,862.41,0.00116,886.751,886.657,0.717
10.1,875.433,0.00114,886.35,886.255,0.718
10.11,909.928,0.0011,885.949,885.854,0.719
10.12,943.558,0.00106,885.548,885.452,0.719
10.13,877.178,0.00114,885.147,885.05,0.72
10.14,903.22,0.00111,884.745,884.648,0.721
10.15,873.46,0.00114,884.344,884.246,0.722
10.16,885.087,0.00113,883.942,883.844,0.722
10.17,865.55,0.00116,883.54,883.441,0.723
10.18,866.347,0.00115,883.137,883.038,0.724
10.19,896.808,0.00112,882.735,882.635,0.724
10.2,896.987,0.00111,882.332,882.232,0.725
10.21,866.55,0.00115,881.929,881.828,0.726
10.22,824.195,0.00121,881.526,881.425,0.727
10.23,795.925,0.00126,881.123,881.021,0.727
10.24,853.497,0.00117,880.719,880.617,0.728
10.25,899.09,0.00111,880.315,880.212,0.729
10.26,897.322,0.00111,879.912,879.808,0.729
10.27,938.73,0.00107,879.507,879.403,0.73
10.28,904.29,0.00111,879.103,878.998,0.731
10.29,951.038,0.00105,878.699,878.593,0.732
10.3,938.66,0.00107,878.294,878.188,0.732
10.31,861.673,0.00116,877.889,877.782,0.733
10.32,859.33,0.00116,877.484,877.376,0.734
10.33,868.992,0.00115,877.079,876.971,0.734
10.34,858.015,0.00117,876.673,876.564,0.735
10.35,838.697,0.00119,876.268,876.158,0.736
10.36,875.585,0.00114,875.862,875.752,0.736
10.37,927.88,0.00108,875.456,875.345,0.737
10.38,918.378,0.00109,875.05,874.938,0.738
10.39,877.795,0.00114,874.643,874.531,0.739
10.4,876.322,0.00114,874.237,874.124,0.739
10.41,900.567,0.00111,873.83,873.716,0.74
10.42,921.253,0.00109,873.423,873.309,0.741
10.43,881.543,0.00113,873.016,872.901,0.741
10.44,873.683,0.00114,872.609,872.493,0.742
10.45,903.16,0.00111,872.201,872.084,0.743
10.46,909.648,0.0011,871.794,871.676,0.744
10.47,921.92,0.00108,871.386,871.267,0.744
10.48,893.543,0.00112,870.978,870.859,0.745
10.49,851.29,0.00117,870.57,870.45,0.746
10.5,802.02,0.00125,870.161,870.04,0.746
10.51,802.617,0.00125,869.753,869.631,0.747
10.52,821.178,0.00122,869.344,869.221,0.748
10.53,847.115,0.00118,868.935,868.812,0.749
10.54,858.915,0.00116,868.526,868.402,0.749
10.55,809.505,0.00124,868.117,867.992,0.75
10.56,838.962,0.00119,867.707,867.581,0.751
10.57,858.173,0.00117,867.297,867.171,0.751
10.58,865.933,0.00115,866.888,866.76,0.752
10.59,828.117,0.00121,866.478,866.349,0.753
10.6,858.903,0.00116,866.067,865.938,0.753
10.61,869.26,0.00115,865.657,865.527,0.754
10.62,822.615,0.00122,865.25,865.116,0.755
10.63,840.347,0.00119,864.84,864.704,0.756
10.64,798.947,0.00125,864.429,864.292,0.756
10.65,864.317,0.00116,864.018,863.88,0.757
10.66,858.55,0.00116,863.607,863.468,0.758
10.67,900.995,0.00111,863.197,863.056,0.758
10.68,906.668,0.0011,862.786,862.643,0.759
10.69,915.525,0.00109,862.374,862.231,0.76
10.7,887.153,0.00113,861.962,861.818,0.761
10.71,859.732,0.00116,861.55,861.405,0.761
10.72,909.745,0.0011,861.138,860.992,0.762
10.73,893.085,0.00112,860.726,860.578,0.763
10.74,910.625,0.0011,860.313,860.165,0.763
10.75,925.112,0.00108,859.9,859.751,0.764
10.76,903.117,0.00111,859.488,859.337,0.765
10.77,814.67,0.00123,859.075,858.923,0.766
10.78,779.805,0.00128,858.662,858.509,0.766
10.79,838.405,0.00119,858.248,858.094,0.767
10.8,849.605,0.00118,857.835,857.68,0.768
10.81,891.122,0.00112,857.421,857.265,0.768
10.82,914.283,0.00109,857.008,856.85,0.769
10.83,901.992,0.00111,856.594,856.435,0.77
10.84,870.665,0.00115,856.18,856.02,0.771
10.85,890.122,0.00112,855.765,855.604,0.771
10.86,855.232,0.00117,855.351,855.188,0.772
10.87,838.283,0.00119,854.937,854.773,0.773
10.88,898.16,0.00111,854.522,854.357,0.773
10.89,859.835,0.00116,854.107,853.941,0.774
10.9,812.375,0.00123,853.692,853.524,0.775
10.91,888.548,0.00113,853.277,853.108,0.775
10.92,908.77,0.0011,852.862,852.691,0.776
10.93,965.513,0.00104,852.447,852.274,0.777
10.94,920.768,0.00109,852.031,851.858,0.778
10.95,898.737,0.00111,851.615,851.44,0.778
10.96,896.668,0.00112,851.2,851.023,0.779
10.97,876.253,0.00114,850.784,850.606,0.78
10.98,815.03,0.00123,850.367,850.188,0.78
10.99,832.89,0.0012,849.951,849.77,0.781
11.0,816.28,0.00123,849.535,849.352,0.782
11.01,845.357,0.00118,849.118,848.934,0.783
11.02,829.63,0.00121,848.702,848.516,0.783
11.03,817.94,0.00122,848.285,848.098,0.784
11.04,854.46,0.00117,847.868,847.679,0.785
11.05,836.753,0.0012,847.451,847.26,0.785
11.06,818.81,0.00122,847.034,846.841,0.786
11.07,825.378,0.00121,846.617,846.422,0.787
11.08,849.883,0.00118,846.199,846.003,0.788
11.09,876.538,0.00114,845.782,845.584,0.788
11.1,853.908,0.00117,845.364,845.164,0.789
11.11,812.327,0.00123,844.946,844.745,0.79
11.12,803.77,0.00124,844.528,844.325,0.79
11.13,858.342,0.00117,844.11,843.905,0.791
11.14,889.817,0.00112,843.692,843.485,0.792
11.15,852.837,0.00117,843.274,843.065,0.792
11.16,840.885,0.00119,842.855,842.644,0.793
11.17,802.433,0.00125,842.437,842.224,0.794
11.18,816.885,0.00122,842.018,841.803,0.795
11.19,840.21,0.00119,841.614,841.382,0.795
11.2,849.105,0.00118,841.195,840.961,0.796
11.21,818.27,0.00122,840.776,840.54,0.797
11.22,850.812,0.00118,840.357,840.118,0.797
11.23,873.957,0.00114,839.945,839.697,0.798
