"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    371.37
"Instparm: V",   -221.53
"Instparm: W",     38.70
"Instparm: X",      2.65
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    258.71
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.03
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,965.183,0.00104,983.605,982.87,0.711
10.01,981.842,0.00102,982.41,981.669,0.712
10.02,971.197,0.00103,981.217,980.47,0.712
10.03,951.803,0.00105,980.028,979.275,0.713
10.04,971.222,0.00103,978.842,978.083,0.714
10.05,903.628,0.00111,977.659,976.894,0.715
10.06,981.492,0.00102,976.479,975.708,0.715
10.07,1017.255,0.00098,975.302,974.525,0.716
10.08,932.212,0.00107,974.128,973.345,0.717
10.09,923.332,0.00108,972.957,972.168,0.717
10.1,941.482,0.00106,971.79,970.995,0.718
10.11,907.05,0.0011,970.625,969.824,0.719
10.12,942.625,0.00106,969.464,968.656,0.719
10.13,976.88,0.00102,968.306,967.491,0.72
10.14,970.94,0.00103,967.15,966.329,0.721
10.15,921.697,0.00108,965.998,965.171,0.722
10.16,934.773,0.00107,964.849,964.015,0.722
10.17,984.93,0.00102,963.704,962.862,0.723
10.18,983.97,0.00102,962.561,961.713,0.724
10.19,941.135,0.00106,961.421,960.566,0.724
10.2,996.925,0.001,960.285,959.422,0.725
10.21,958.158,0.00104,959.151,958.282,0.726
10.22,995.482,0.001,958.021,957.144,0.727
10.23,1018.058,0.00098,956.894,956.009,0.727
10.24,962.845,0.00104,955.769,954.878,0.728
10.25,974.707,0.00103,954.648,953.749,0.729
10.26,976.668,0.00102,953.53,952.623,0.729
10.27,931.597,0.00107,952.415,951.501,0.73
10.28,887.622,0.00113,951.304,950.381,0.731
