"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.305760
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    285.03
"Instparm: V",   -215.63
"Instparm: W",     55.91
"Instparm: X",      0.44
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",     -0.07
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -305.17
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,904.293,0.00111,895.327,895.144,0.733
10.01,794.36,0.00126,895.202,895.018,0.733
10.02,801.538,0.00125,895.072,894.886,0.734
10.03,867.025,0.00115,894.936,894.749,0.735
10.04,897.587,0.00111,894.794,894.606,0.735
10.05,966.675,0.00103,894.646,894.457,0.736
10.06,918.803,0.00109,894.493,894.303,0.737
10.07,864.88,0.00116,894.334,894.143,0.738
10.08,923.57,0.00108,894.17,893.978,0.738
10.09,848.3,0.00118,894.001,893.807,0.739
10.1,882.347,0.00113,893.825,893.631,0.74
10.11,895.737,0.00112,893.645,893.449,0.74
10.12,878.533,0.00114,893.459,893.261,0.741
10.13,949.178,0.00105,893.267,893.069,0.742
10.14,968.747,0.00103,893.07,892.871,0.743
10.15,915.66,0.00109,892.868,892.667,0.743
10.16,934.143,0.00107,892.661,892.458,0.744
10.17,963.815,0.00104,892.448,892.244,0.745
10.18,909.375,0.0011,892.23,892.025,0.745
10.19,897.305,0.00111,892.006,891.8,0.746
10.2,926.795,0.00108,891.778,891.57,0.747
10.21,890.847,0.00112,891.544,891.335,0.748
10.22,835.487,0.0012,891.305,891.095,0.748
10.23,920.283,0.00109,891.061,890.849,0.749
10.24,911.95,0.0011,890.812,890.599,0.75
10.25,937.062,0.00107,890.558,890.343,0.75
10.26,915.952,0.00109,890.299,890.082,0.751
10.27,928.355,0.00108,890.034,889.817,0.752
10.28,933.003,0.00107,889.765,889.546,0.752
10.29,939.337,0.00106,889.491,889.27,0.753
10.3,885.982,0.00113,889.212,888.989,0.754
10.31,826.005,0.00121,888.927,888.704,0.755
10.32,846.987,0.00118,888.638,888.413,0.755
10.33,915.942,0.00109,888.345,888.118,0.756
10.34,887.38,0.00113,888.046,887.817,0.757
10.35,871.352,0.00115,887.742,887.512,0.757
10.36,887.962,0.00113,887.435,887.202,0.758
10.37,866.06,0.00115,887.122,886.888,0.759
10.38,854.36,0.00117,886.804,886.568,0.76
10.39,838.383,0.00119,886.481,886.244,0.76
10.4,908.398,0.0011,886.155,885.915,0.761
10.41,970.442,0.00103,885.823,885.582,0.762
10.42,887.075,0.00113,885.487,885.244,0.762
10.43,891.592,0.00112,885.146,884.901,0.763
10.44,884.383,0.00113,884.8,884.554,0.764
10.45,865.438,0.00116,884.45,884.202,0.765
10.46,848.425,0.00118,884.096,883.846,0.765
10.47,867.528,0.00115,883.737,883.485,0.766
10.48,929.58,0.00108,883.373,883.12,0.767
10.49,868.18,0.00115,883.006,882.75,0.767
10.5,857.023,0.00117,882.634,882.376,0.768
10.51,850.715,0.00118,882.257,881.998,0.769
10.52,847.025,0.00118,881.876,881.615,0.769
10.53,944.768,0.00106,881.491,881.228,0.77
10.54,947.753,0.00106,881.102,880.836,0.771
10.55,899.143,0.00111,880.708,880.441,0.772
10.56,887.395,0.00113,880.31,880.041,0.772
10.57,836.215,0.0012,879.908,879.637,0.773
10.58,859.665,0.00116,879.502,879.228,0.774
10.59,898.918,0.00111,879.092,878.816,0.774
10.6,894.442,0.00112,878.678,878.399,0.775
10.61,922.96,0.00108,878.259,877.979,0.776
10.62,900.013,0.00111,877.837,877.554,0.777
10.63,872.985,0.00115,877.411,877.125,0.777
10.64,840.41,0.00119,876.98,876.693,0.778
10.65,807.09,0.00124,876.546,876.256,0.779
10.66,868.375,0.00115,876.108,875.815,0.779
10.67,885.533,0.00113,875.666,875.371,0.78
10.68,821.68,0.00122,875.22,874.922,0.781
10.69,875.34,0.00114,874.77,874.47,0.782
10.7,924.653,0.00108,874.317,874.014,0.782
10.71,894.6,0.00112,873.859,873.554,0.783
10.72,913.59,0.00109,873.398,873.091,0.784
10.73,922.562,0.00108,872.934,872.623,0.784
10.74,811.375,0.00123,872.465,872.152,0.785
10.75,823.173,0.00121,871.993,871.677,0.786
10.76,864.935,0.00116,871.518,871.199,0.787
10.77,846.46,0.00118,871.038,870.717,0.787
10.78,816.862,0.00122,870.556,870.231,0.788
10.79,860.37,0.00116,870.069,869.742,0.789
10.8,881.36,0.00113,869.579,869.249,0.789
10.81,836.337,0.0012,869.086,868.753,0.79
