"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.015370
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",   -952.75
"Instparm: V",     -2.00
"Instparm: W",    206.63
"Instparm: X",    -22.31
"Instparm: Y",     82.50
"Instparm: Z",      0.00
"Instparm: SH/L",      0.04
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.10
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,738.217,0.00135,808.288,808.282,0.71
10.01,879.622,0.00114,807.75,807.744,0.711
10.02,817.48,0.00122,807.213,807.207,0.711
10.03,785.737,0.00127,806.675,806.669,0.712
10.04,725.73,0.00138,806.138,806.131,0.713
10.05,798.798,0.00125,805.6,805.594,0.713
10.06,855.138,0.00117,805.062,805.056,0.714
10.07,850.915,0.00118,804.525,804.518,0.715
10.08,777.35,0.00129,803.987,803.981,0.716
10.09,766.975,0.0013,803.45,803.443,0.716
10.1,709.195,0.00141,802.912,802.906,0.717
10.11,836.372,0.0012,802.374,802.368,0.718
10.12,846.977,0.00118,801.837,801.83,0.718
10.13,792.285,0.00126,801.299,801.293,0.719
10.14,771.567,0.0013,800.762,800.755,0.72
10.15,766.98,0.0013,800.224,800.218,0.721
10.16,787.79,0.00127,799.686,799.68,0.721
10.17,799.05,0.00125,799.149,799.142,0.722
10.18,796.985,0.00125,798.611,798.605,0.723
10.19,823.795,0.00121,798.074,798.067,0.723
10.2,802.562,0.00125,797.536,797.529,0.724
10.21,806.023,0.00124,796.998,796.992,0.725
10.22,857.847,0.00117,796.461,796.454,0.725
10.23,773.053,0.00129,795.923,795.917,0.726
10.24,814.472,0.00123,795.386,795.379,0.727
10.25,762.867,0.00131,794.848,794.841,0.728
10.26,804.76,0.00124,794.31,794.304,0.728
10.27,882.11,0.00113,793.773,793.766,0.729
10.28,865.972,0.00115,793.235,793.229,0.73
10.29,851.325,0.00117,792.697,792.691,0.73
10.3,816.99,0.00122,792.16,792.153,0.731
10.31,816.332,0.00122,791.622,791.616,0.732
10.32,798.675,0.00125,791.085,791.078,0.733
10.33,742.715,0.00135,790.547,790.54,0.733
10.34,790.597,0.00126,790.009,790.003,0.734
10.35,805.653,0.00124,789.472,789.465,0.735
10.36,797.685,0.00125,788.934,788.928,0.735
10.37,796.668,0.00126,788.397,788.39,0.736
10.38,823.587,0.00121,787.859,787.852,0.737
10.39,817.697,0.00122,787.321,787.315,0.738
10.4,807.7,0.00124,786.784,786.777,0.738
10.41,782.765,0.00128,786.246,786.24,0.739
10.42,794.933,0.00126,785.709,785.702,0.74
10.43,760.845,0.00131,785.171,785.164,0.74
10.44,786.505,0.00127,784.633,784.627,0.741
10.45,760.173,0.00132,784.096,784.089,0.742
10.46,783.5,0.00128,783.558,783.551,0.742
10.47,777.725,0.00129,783.021,783.014,0.743
10.48,779.645,0.00128,782.483,782.476,0.744
10.49,732.357,0.00137,781.945,781.939,0.745
10.5,839.773,0.00119,781.408,781.401,0.745
10.51,826.555,0.00121,780.87,780.863,0.746
10.52,740.06,0.00135,780.333,780.326,0.747
10.53,744.865,0.00134,779.795,779.788,0.747
10.54,728.837,0.00137,779.257,779.251,0.748
10.55,774.19,0.00129,778.72,778.713,0.749
10.56,791.875,0.00126,778.182,778.175,0.75
10.57,725.075,0.00138,777.645,777.638,0.75
10.58,725.565,0.00138,777.107,777.1,0.751
10.59,780.043,0.00128,776.569,776.563,0.752
10.6,762.955,0.00131,776.032,776.025,0.752
10.61,730.372,0.00137,775.494,775.487,0.753
10.62,762.205,0.00131,774.956,774.95,0.754
10.63,748.905,0.00134,774.419,774.412,0.755
10.64,755.543,0.00132,773.881,773.874,0.755
10.65,821.737,0.00122,773.344,773.337,0.756
10.66,838.87,0.00119,772.806,772.799,0.757
10.67,798.628,0.00125,772.268,772.262,0.757
10.68,746.07,0.00134,771.731,771.724,0.758
10.69,796.1,0.00126,771.193,771.186,0.759
10.7,829.895,0.0012,770.656,770.649,0.759
10.71,786.133,0.00127,770.118,770.111,0.76
10.72,777.05,0.00129,769.58,769.574,0.761
10.73,729.505,0.00137,769.043,769.036,0.762
10.74,743.957,0.00134,768.505,768.498,0.762
10.75,776.117,0.00129,767.968,767.961,0.763
10.76,724.07,0.00138,767.43,767.423,0.764
10.77,751.975,0.00133,766.892,766.885,0.764
10.78,818.43,0.00122,766.355,766.348,0.765
10.79,785.508,0.00127,765.817,765.81,0.766
10.8,735.923,0.00136,765.28,765.273,0.767
10.81,753.497,0.00133,764.742,764.735,0.767
