"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      0.52
"Instparm: V",    -93.46
"Instparm: W",     54.31
"Instparm: X",     -1.18
"Instparm: Y",     16.55
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    149.29
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.07
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,951.322,0.00105,924.639,924.452,0.711
10.01,911.138,0.0011,924.332,924.143,0.712
10.02,924.872,0.00108,924.024,923.835,0.712
10.03,893.305,0.00112,923.716,923.526,0.713
10.04,929.413,0.00108,923.408,923.217,0.714
10.05,918.18,0.00109,923.101,922.908,0.715
10.06,907.577,0.0011,922.793,922.599,0.715
10.07,906.668,0.0011,922.486,922.29,0.716
10.08,891.53,0.00112,922.178,921.981,0.717
10.09,890.0,0.00112,921.87,921.672,0.717
10.1,917.222,0.00109,921.563,921.363,0.718
10.11,916.977,0.00109,921.255,921.054,0.719
10.12,892.487,0.00112,920.948,920.745,0.719
10.13,853.745,0.00117,920.64,920.436,0.72
10.14,874.16,0.00114,920.333,920.127,0.721
10.15,876.668,0.00114,920.025,919.818,0.722
10.16,921.933,0.00108,919.718,919.509,0.722
10.17,935.715,0.00107,919.41,919.2,0.723
10.18,918.575,0.00109,919.103,918.892,0.724
10.19,898.582,0.00111,918.795,918.583,0.724
10.2,902.692,0.00111,918.488,918.274,0.725
10.21,876.227,0.00114,918.18,917.965,0.726
