"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.040249
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",     71.50
"Instparm: V",   -344.78
"Instparm: W",    168.28
"Instparm: X",    -17.60
"Instparm: Y",     68.30
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.09
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,826.668,0.00121,854.699,854.699,0.714
10.01,881.303,0.00113,854.106,854.106,0.715
10.02,917.008,0.00109,853.512,853.512,0.715
10.03,862.372,0.00116,852.919,852.919,0.716
10.04,832.413,0.0012,852.326,852.325,0.717
10.05,893.643,0.00112,851.732,851.732,0.717
10.06,921.207,0.00109,851.139,851.138,0.718
10.07,862.768,0.00116,850.545,850.545,0.719
10.08,820.34,0.00122,849.952,849.951,0.719
10.09,868.107,0.00115,849.358,849.358,0.72
10.1,861.235,0.00116,848.765,848.765,0.721
10.11,850.93,0.00118,848.171,848.171,0.722
10.12,822.798,0.00122,847.578,847.578,0.722
10.13,841.15,0.00119,846.984,846.984,0.723
10.14,849.372,0.00118,846.391,846.391,0.724
10.15,856.038,0.00117,845.797,845.797,0.724
10.16,859.685,0.00116,845.204,845.204,0.725
10.17,878.1,0.00114,844.61,844.61,0.726
10.18,828.74,0.00121,844.017,844.017,0.727
10.19,802.235,0.00125,843.424,843.423,0.727
10.2,787.947,0.00127,842.83,842.83,0.728
10.21,822.808,0.00122,842.237,842.236,0.729
10.22,862.793,0.00116,841.643,841.643,0.729
10.23,857.638,0.00117,841.05,841.05,0.73
