"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",   -165.47
"Instparm: W",     85.90
"Instparm: X",      0.00
"Instparm: Y",     15.55
"Instparm: Z",      0.00
"Instparm: SH/L",      0.03
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",     -1.97
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.08
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,935.48,0.00107,915.303,914.762,0.711
10.01,888.102,0.00113,914.756,914.212,0.712
10.02,904.572,0.00111,914.212,913.664,0.712
10.03,930.93,0.00107,913.67,913.119,0.713
10.04,939.398,0.00106,913.13,912.576,0.714
10.05,900.602,0.00111,912.593,912.035,0.715
10.06,933.02,0.00107,912.058,911.497,0.715
10.07,897.298,0.00111,911.553,910.961,0.716
10.08,835.817,0.0012,911.023,910.427,0.717
10.09,805.793,0.00124,910.494,909.895,0.717
10.1,894.077,0.00112,909.968,909.365,0.718
10.11,927.523,0.00108,909.444,908.837,0.719
10.12,926.977,0.00108,908.922,908.312,0.719
10.13,911.56,0.0011,908.416,907.788,0.72
10.14,894.9,0.00112,907.898,907.267,0.721
10.15,947.673,0.00106,907.382,906.747,0.722
10.16,902.033,0.00111,906.868,906.229,0.722
10.17,857.452,0.00117,906.356,905.713,0.723
10.18,913.64,0.00109,905.846,905.199,0.724
10.19,910.957,0.0011,905.338,904.687,0.724
10.2,867.817,0.00115,904.831,904.177,0.725
10.21,926.58,0.00108,904.327,903.668,0.726
10.22,951.398,0.00105,903.824,903.161,0.727
10.23,905.183,0.0011,903.322,902.655,0.727
10.24,900.0,0.00111,902.823,902.152,0.728
10.25,924.055,0.00108,902.325,901.65,0.729
10.26,890.597,0.00112,901.829,901.149,0.729
10.27,856.62,0.00117,901.334,900.65,0.73
10.28,874.357,0.00114,900.841,900.153,0.731
10.29,900.685,0.00111,900.349,899.657,0.732
10.3,912.335,0.0011,899.859,899.162,0.732
10.31,883.335,0.00113,899.371,898.669,0.733
10.32,877.003,0.00114,898.884,898.178,0.734
10.33,870.673,0.00115,898.398,897.687,0.734
10.34,887.977,0.00113,897.914,897.198,0.735
10.35,890.0,0.00112,897.431,896.711,0.736
10.36,898.98,0.00111,896.949,896.224,0.736
10.37,870.075,0.00115,896.469,895.739,0.737
10.38,857.692,0.00117,895.99,895.255,0.738
10.39,952.347,0.00105,895.512,894.772,0.739
10.4,930.457,0.00107,895.035,894.291,0.739
10.41,878.865,0.00114,894.56,893.81,0.74
10.42,903.197,0.00111,894.086,893.331,0.741
10.43,927.562,0.00108,893.612,892.853,0.741
10.44,915.08,0.00109,893.14,892.376,0.742
10.45,874.558,0.00114,892.67,891.899,0.743
10.46,861.055,0.00116,892.2,891.424,0.744
10.47,865.96,0.00115,891.731,890.95,0.744
10.48,854.75,0.00117,891.263,890.477,0.745
10.49,844.4,0.00118,890.796,890.005,0.746
10.5,870.122,0.00115,890.331,889.533,0.746
10.51,950.69,0.00105,889.866,889.062,0.747
10.52,951.077,0.00105,889.402,888.593,0.748
10.53,893.518,0.00112,888.939,888.124,0.749
10.54,907.467,0.0011,888.476,887.656,0.749
10.55,883.268,0.00113,888.015,887.188,0.75
10.56,865.155,0.00116,887.555,886.722,0.751
10.57,925.658,0.00108,887.095,886.256,0.751
10.58,918.5,0.00109,886.636,885.791,0.752
10.59,845.5,0.00118,886.178,885.326,0.753
10.6,892.982,0.00112,885.72,884.862,0.753
10.61,885.185,0.00113,885.263,884.399,0.754
10.62,921.832,0.00108,884.807,883.936,0.755
10.63,985.872,0.00101,884.352,883.474,0.756
10.64,996.293,0.001,883.897,883.013,0.756
10.65,893.148,0.00112,883.443,882.551,0.757
10.66,859.305,0.00116,882.989,882.091,0.758
10.67,874.398,0.00114,882.536,881.631,0.758
10.68,938.7,0.00107,882.084,881.171,0.759
10.69,920.092,0.00109,881.632,880.712,0.76
10.7,857.64,0.00117,881.181,880.254,0.761
10.71,844.1,0.00118,880.73,879.795,0.761
10.72,813.845,0.00123,880.279,879.337,0.762
10.73,883.69,0.00113,879.83,878.88,0.763
10.74,922.795,0.00108,879.38,878.423,0.763
10.75,864.822,0.00116,878.931,877.966,0.764
10.76,830.173,0.0012,878.483,877.509,0.765
10.77,829.61,0.00121,878.034,877.053,0.766
10.78,897.648,0.00111,877.587,876.597,0.766
10.79,891.967,0.00112,877.139,876.141,0.767
10.8,916.447,0.00109,876.692,875.686,0.768
10.81,925.875,0.00108,876.245,875.23,0.768
10.82,859.138,0.00116,875.799,874.775,0.769
10.83,826.523,0.00121,875.353,874.32,0.77
10.84,858.535,0.00116,874.907,873.866,0.771
10.85,872.13,0.00115,874.462,873.411,0.771
10.86,952.465,0.00105,874.016,872.956,0.772
10.87,860.8,0.00116,873.571,872.502,0.773
10.88,814.455,0.00123,873.126,872.047,0.773
10.89,830.487,0.0012,872.682,871.593,0.774
10.9,909.4,0.0011,872.237,871.139,0.775
10.91,902.455,0.00111,871.793,870.685,0.775
10.92,920.46,0.00109,871.349,870.231,0.776
10.93,815.23,0.00123,870.905,869.776,0.777
