"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.337809
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",   -139.39
"Instparm: V",     74.12
"Instparm: W",      5.00
"Instparm: X",      2.84
"Instparm: Y",     -0.58
"Instparm: Z",      0.00
"Instparm: SH/L",     -0.04
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -371.96
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.04
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,922.442,0.00108,898.427,898.028,0.735
10.01,877.805,0.00114,898.205,897.805,0.736
10.02,891.538,0.00112,897.984,897.581,0.736
10.03,905.465,0.0011,897.763,897.357,0.737
10.04,885.445,0.00113,897.542,897.133,0.738
10.05,907.577,0.0011,897.321,896.909,0.738
10.06,828.205,0.00121,897.099,896.685,0.739
10.07,850.283,0.00118,896.878,896.461,0.74
10.08,959.283,0.00104,896.657,896.237,0.741
10.09,918.558,0.00109,896.436,896.013,0.741
10.1,904.26,0.00111,896.215,895.789,0.742
10.11,930.545,0.00107,895.994,895.565,0.743
10.12,924.265,0.00108,895.773,895.341,0.743
10.13,893.12,0.00112,895.552,895.117,0.744
10.14,893.02,0.00112,895.331,894.893,0.745
10.15,914.465,0.00109,895.111,894.669,0.746
10.16,889.508,0.00112,894.89,894.445,0.746
10.17,868.567,0.00115,894.669,894.221,0.747
10.18,939.035,0.00106,894.448,893.997,0.748
10.19,928.582,0.00108,894.228,893.773,0.748
10.2,905.575,0.0011,894.007,893.549,0.749
10.21,951.523,0.00105,893.786,893.326,0.75
10.22,977.74,0.00102,893.566,893.102,0.751
10.23,919.812,0.00109,893.345,892.878,0.751
10.24,877.235,0.00114,893.125,892.654,0.752
10.25,918.438,0.00109,892.904,892.43,0.753
10.26,950.385,0.00105,892.684,892.206,0.753
10.27,938.31,0.00107,892.463,891.982,0.754
10.28,948.68,0.00105,892.243,891.758,0.755
10.29,913.975,0.00109,892.023,891.534,0.755
10.3,870.987,0.00115,891.802,891.31,0.756
10.31,908.663,0.0011,891.582,891.086,0.757
10.32,880.35,0.00114,891.362,890.862,0.758
10.33,858.683,0.00116,891.142,890.638,0.758
10.34,823.71,0.00121,890.922,890.414,0.759
10.35,843.96,0.00118,890.702,890.19,0.76
10.36,918.515,0.00109,890.482,889.966,0.76
10.37,944.622,0.00106,890.262,889.742,0.761
10.38,952.65,0.00105,890.042,889.518,0.762
10.39,899.513,0.00111,889.822,889.294,0.763
10.4,851.49,0.00117,889.602,889.07,0.763
10.41,915.38,0.00109,889.383,888.847,0.764
10.42,914.375,0.00109,889.163,888.623,0.765
10.43,946.17,0.00106,888.943,888.399,0.765
10.44,899.273,0.00111,888.724,888.175,0.766
10.45,875.438,0.00114,888.504,887.951,0.767
10.46,891.222,0.00112,888.285,887.727,0.768
10.47,890.352,0.00112,888.066,887.503,0.768
10.48,827.442,0.00121,887.846,887.279,0.769
10.49,888.487,0.00113,887.627,887.055,0.77
10.5,929.408,0.00108,887.408,886.831,0.77
10.51,850.025,0.00118,887.189,886.607,0.771
10.52,950.038,0.00105,886.97,886.383,0.772
10.53,963.332,0.00104,886.75,886.159,0.772
10.54,886.072,0.00113,886.532,885.935,0.773
10.55,867.755,0.00115,886.313,885.711,0.774
10.56,863.697,0.00116,886.094,885.487,0.775
10.57,898.947,0.00111,885.875,885.263,0.775
10.58,909.268,0.0011,885.656,885.039,0.776
10.59,904.07,0.00111,885.438,884.815,0.777
10.6,861.837,0.00116,885.219,884.592,0.777
10.61,844.815,0.00118,885.001,884.368,0.778
10.62,813.717,0.00123,884.783,884.144,0.779
10.63,795.2,0.00126,884.564,883.92,0.78
10.64,819.965,0.00122,884.346,883.696,0.78
10.65,814.46,0.00123,884.128,883.472,0.781
10.66,839.942,0.00119,883.91,883.248,0.782
10.67,858.11,0.00117,883.692,883.024,0.782
10.68,815.69,0.00123,883.474,882.8,0.783
10.69,821.81,0.00122,883.256,882.576,0.784
10.7,935.485,0.00107,883.039,882.352,0.785
10.71,899.847,0.00111,882.821,882.128,0.785
10.72,881.538,0.00113,882.604,881.904,0.786
10.73,823.997,0.00121,882.386,881.68,0.787
10.74,860.86,0.00116,882.169,881.456,0.787
10.75,831.327,0.0012,881.952,881.232,0.788
10.76,835.497,0.0012,881.735,881.008,0.789
10.77,836.668,0.0012,881.518,880.784,0.789
10.78,839.607,0.00119,881.301,880.56,0.79
10.79,881.158,0.00113,881.084,880.336,0.791
10.8,860.22,0.00116,880.867,880.113,0.792
10.81,841.98,0.00119,880.651,879.889,0.792
10.82,834.128,0.0012,880.434,879.665,0.793
10.83,850.942,0.00118,880.218,879.441,0.794
10.84,847.467,0.00118,880.002,879.217,0.794
10.85,870.122,0.00115,879.786,878.993,0.795
10.86,896.78,0.00112,879.57,878.769,0.796
10.87,900.0,0.00111,879.354,878.545,0.797
10.88,885.36,0.00113,879.138,878.321,0.797
10.89,880.408,0.00114,878.923,878.097,0.798
10.9,906.33,0.0011,878.707,877.873,0.799
10.91,901.227,0.00111,878.492,877.649,0.799
10.92,958.46,0.00104,878.277,877.425,0.8
10.93,890.702,0.00112,878.062,877.201,0.801
10.94,880.0,0.00114,877.847,876.977,0.802
10.95,874.163,0.00114,877.632,876.753,0.802
10.96,902.51,0.00111,877.418,876.529,0.803
10.97,848.337,0.00118,877.204,876.305,0.804
10.98,872.067,0.00115,876.989,876.081,0.804
10.99,914.548,0.00109,876.778,875.857,0.805
11.0,908.35,0.0011,876.564,875.634,0.806
11.01,880.465,0.00114,876.35,875.41,0.806
11.02,891.215,0.00112,876.137,875.186,0.807
11.03,867.158,0.00115,875.925,874.962,0.808
11.04,779.025,0.00128,875.712,874.738,0.809
11.05,778.29,0.00128,875.499,874.514,0.809
11.06,867.138,0.00115,875.286,874.29,0.81
11.07,839.355,0.00119,875.074,874.066,0.811
11.08,876.862,0.00114,874.862,873.842,0.811
11.09,880.433,0.00114,874.65,873.618,0.812
11.1,839.41,0.00119,874.438,873.394,0.813
11.11,833.332,0.0012,874.226,873.17,0.814
11.12,888.367,0.00113,874.015,872.946,0.814
11.13,879.295,0.00114,873.804,872.722,0.815
11.14,894.03,0.00112,873.593,872.498,0.816
11.15,835.923,0.0012,873.383,872.274,0.816
11.16,852.688,0.00117,873.172,872.05,0.817
11.17,850.888,0.00118,872.962,871.826,0.818
11.18,887.55,0.00113,872.752,871.602,0.819
11.19,858.688,0.00116,872.543,871.378,0.819
11.2,827.36,0.00121,872.334,871.155,0.82
