"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    282.62
"Instparm: V",   -221.58
"Instparm: W",     51.11
"Instparm: X",      0.00
"Instparm: Y",     13.59
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    163.53
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.15
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,867.49,0.00115,880.801,880.532,0.711
10.01,820.84,0.00122,880.759,880.489,0.712
10.02,868.247,0.00115,880.718,880.445,0.712
10.03,897.597,0.00111,880.676,880.402,0.713
10.04,896.967,0.00111,880.635,880.359,0.714
10.05,905.758,0.0011,880.593,880.315,0.715
10.06,897.577,0.00111,880.551,880.272,0.715
10.07,923.923,0.00108,880.51,880.228,0.716
10.08,962.992,0.00104,880.468,880.185,0.717
10.09,912.2,0.0011,880.427,880.142,0.717
10.1,882.467,0.00113,880.385,880.098,0.718
10.11,907.212,0.0011,880.344,880.055,0.719
10.12,897.91,0.00111,880.302,880.011,0.719
10.13,851.347,0.00117,880.261,879.968,0.72
10.14,888.947,0.00112,880.22,879.925,0.721
10.15,845.03,0.00118,880.178,879.881,0.722
10.16,843.018,0.00119,880.137,879.838,0.722
10.17,885.565,0.00113,880.096,879.794,0.723
10.18,893.015,0.00112,880.054,879.751,0.724
10.19,911.418,0.0011,880.013,879.708,0.724
10.2,901.283,0.00111,879.972,879.664,0.725
10.21,875.905,0.00114,879.931,879.621,0.726
10.22,894.408,0.00112,879.889,879.577,0.727
10.23,842.497,0.00119,879.848,879.534,0.727
10.24,845.69,0.00118,879.807,879.491,0.728
10.25,900.793,0.00111,879.766,879.447,0.729
10.26,894.643,0.00112,879.725,879.404,0.729
10.27,902.347,0.00111,879.684,879.36,0.73
10.28,942.378,0.00106,879.643,879.317,0.731
10.29,865.607,0.00116,879.602,879.274,0.732
10.3,805.65,0.00124,879.561,879.23,0.732
10.31,841.997,0.00119,879.52,879.187,0.733
10.32,879.65,0.00114,879.479,879.143,0.734
10.33,868.347,0.00115,879.438,879.1,0.734
10.34,818.727,0.00122,879.397,879.057,0.735
10.35,795.365,0.00126,879.356,879.013,0.736
10.36,844.225,0.00118,879.316,878.97,0.736
10.37,888.903,0.00112,879.275,878.926,0.737
10.38,860.43,0.00116,879.234,878.883,0.738
10.39,862.648,0.00116,879.193,878.84,0.739
10.4,917.133,0.00109,879.153,878.796,0.739
10.41,926.32,0.00108,879.112,878.753,0.74
10.42,932.64,0.00107,879.071,878.709,0.741
10.43,861.69,0.00116,879.031,878.666,0.741
10.44,877.205,0.00114,878.99,878.622,0.742
10.45,865.087,0.00116,878.95,878.579,0.743
10.46,893.148,0.00112,878.909,878.536,0.744
10.47,825.143,0.00121,878.869,878.492,0.744
10.48,861.35,0.00116,878.829,878.449,0.745
10.49,896.445,0.00112,878.788,878.405,0.746
10.5,876.188,0.00114,878.748,878.362,0.746
10.51,879.285,0.00114,878.708,878.319,0.747
10.52,894.87,0.00112,878.667,878.275,0.748
10.53,926.395,0.00108,878.627,878.232,0.749
10.54,814.11,0.00123,878.587,878.188,0.749
10.55,853.465,0.00117,878.547,878.145,0.75
10.56,877.815,0.00114,878.507,878.102,0.751
10.57,948.26,0.00105,878.467,878.058,0.751
10.58,879.538,0.00114,878.427,878.015,0.752
10.59,875.93,0.00114,878.387,877.971,0.753
10.6,891.487,0.00112,878.347,877.928,0.753
10.61,878.52,0.00114,878.307,877.885,0.754
10.62,932.935,0.00107,878.267,877.841,0.755
