,trial,state,Rwp,datetime_start,datetime_complete,Backgroundrefine,Backgroundtype,Instrument_parametersrefineZero,Mustrainrefine,Numberofcoefficients,Peakshape_parametersrefineSH/L,Peakshape_parametersrefineU,Peakshape_parametersrefineV,Peakshape_parametersrefineW,Peakshape_parametersrefineX,Peakshape_parametersrefineY,Phase_parametersrefinephase0,Sample_parametersrefineShift,Sample_parametersrefineSurfRoughA,Sample_parametersrefineSurfRoughB,system_attrs_number
0,0,TrialState.COMPLETE,21.04703681494312,2024-06-18 01:10:07.499413,2024-06-18 01:11:02.861675,True,cosine,False,True,2,False,False,True,False,True,True,False,False,False,True,0
1,1,TrialState.COMPLETE,51.324541914715695,2024-06-18 01:10:07.503927,2024-06-18 01:11:21.319302,False,cosine,False,True,10,False,False,True,False,False,False,False,True,False,False,1
2,2,TrialState.COMPLETE,47.43974347391784,2024-06-18 01:10:07.515108,2024-06-18 01:11:23.945300,False,log interpolate,True,True,7,False,True,True,False,True,False,False,False,False,True,2
3,3,TrialState.COMPLETE,67.09461790076669,2024-06-18 01:10:07.526369,2024-06-18 01:10:32.514588,False,cosine,True,True,9,True,True,False,True,True,False,True,True,True,True,3
4,4,TrialState.COMPLETE,47.51103970470209,2024-06-18 01:10:07.530395,2024-06-18 01:11:32.921705,False,cosine,True,True,14,True,True,True,True,True,True,True,False,False,True,4
5,5,TrialState.COMPLETE,11.178498365886298,2024-06-18 01:10:07.532006,2024-06-18 01:11:07.229396,True,log interpolate,True,False,5,False,False,True,True,True,True,False,False,False,False,5
6,6,TrialState.COMPLETE,82.75173528751762,2024-06-18 01:10:07.534187,2024-06-18 01:10:35.681115,True,Q^2 power series,True,True,16,True,False,False,False,True,True,False,False,False,False,6
7,7,TrialState.COMPLETE,29.607337247766274,2024-06-18 01:10:07.534478,2024-06-18 01:10:36.553782,True,Q^-2 power series,False,False,7,True,False,False,False,False,True,True,False,True,False,7
8,8,TrialState.COMPLETE,41.628840311508156,2024-06-18 01:10:07.534498,2024-06-18 01:12:17.671977,False,Q^-2 power series,True,True,1,True,True,False,True,True,False,True,True,False,False,8
9,9,TrialState.COMPLETE,12.493240753204061,2024-06-18 01:10:07.534598,2024-06-18 01:15:12.325252,True,chebyschev,False,True,2,True,True,True,True,True,True,True,True,False,True,9
10,10,TrialState.COMPLETE,45.836589588157345,2024-06-18 01:10:32.521080,2024-06-18 01:11:38.411265,False,Q^-2 power series,True,True,5,False,False,True,False,True,False,True,False,False,False,10
11,11,TrialState.COMPLETE,11.44941196867178,2024-06-18 01:10:35.687535,2024-06-18 01:11:38.667530,True,Q^-2 power series,True,True,15,False,True,True,False,False,False,True,False,False,True,11
12,12,TrialState.COMPLETE,21.893322704186204,2024-06-18 01:10:36.560982,2024-06-18 01:11:04.352489,True,Q^-2 power series,True,False,7,True,False,True,False,True,False,False,False,True,True,12
13,13,TrialState.COMPLETE,46.66956532903262,2024-06-18 01:11:02.882561,2024-06-18 01:11:58.112275,False,Q^-2 power series,True,True,9,False,False,False,False,False,True,False,True,False,False,13
14,14,TrialState.COMPLETE,46.06469758458433,2024-06-18 01:11:04.374895,2024-06-18 01:12:34.363021,False,Q^-2 power series,True,False,10,True,True,True,False,True,False,True,True,False,True,14
15,15,TrialState.COMPLETE,11.95336097903227,2024-06-18 01:11:07.237672,2024-06-18 01:12:05.957139,True,cosine,False,True,12,True,False,False,True,False,False,False,True,False,False,15
16,16,TrialState.COMPLETE,45.58052945590551,2024-06-18 01:11:21.332328,2024-06-18 01:12:37.049590,False,Q^2 power series,False,True,10,False,True,True,False,True,True,False,False,False,False,16
17,17,TrialState.COMPLETE,42.14882673033781,2024-06-18 01:11:23.954504,2024-06-18 01:18:59.037532,False,cosine,False,False,6,True,False,False,False,True,True,False,False,False,True,17
18,18,TrialState.COMPLETE,21.886756560048163,2024-06-18 01:11:32.929979,2024-06-18 01:11:52.738263,True,log interpolate,True,True,11,True,True,False,True,False,False,False,True,True,False,18
19,19,TrialState.COMPLETE,43.89652233280763,2024-06-18 01:11:38.432281,2024-06-18 01:13:03.557729,False,log interpolate,False,False,14,True,False,True,False,True,True,True,True,False,False,19
20,20,TrialState.COMPLETE,10.37215222333349,2024-06-18 01:11:38.697500,2024-06-18 01:12:25.018082,True,cosine,False,False,13,False,True,True,True,True,False,True,True,False,False,20
21,21,TrialState.COMPLETE,46.79744048120032,2024-06-18 01:11:52.760230,2024-06-18 01:13:17.646218,False,cosine,False,False,15,True,True,True,False,True,True,False,False,False,True,21
22,22,TrialState.COMPLETE,10.802902906238856,2024-06-18 01:11:58.129721,2024-06-18 01:13:00.900775,True,Q^-2 power series,False,True,4,True,True,True,False,True,False,False,True,False,True,22
23,23,TrialState.COMPLETE,78.9600080081858,2024-06-18 01:12:05.974509,2024-06-18 01:12:19.962407,True,Q^2 power series,False,True,5,True,False,True,False,True,False,False,False,True,True,23
