"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.351746
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",     75.61
"Instparm: V",   -115.73
"Instparm: W",     37.64
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -427.34
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,838.678,0.00119,831.041,830.898,0.736
10.01,836.367,0.0012,831.953,831.809,0.737
10.02,936.793,0.00107,832.84,832.696,0.737
10.03,922.403,0.00108,833.703,833.558,0.738
10.04,856.332,0.00117,834.542,834.397,0.739
10.05,822.725,0.00122,835.358,835.212,0.739
10.06,823.03,0.00122,836.149,836.003,0.74
10.07,862.702,0.00116,836.918,836.772,0.741
10.08,890.883,0.00112,837.664,837.517,0.742
10.09,857.023,0.00117,838.387,838.24,0.742
10.1,862.408,0.00116,839.088,838.94,0.743
10.11,842.168,0.00119,839.766,839.618,0.744
10.12,846.045,0.00118,840.422,840.273,0.744
10.13,753.008,0.00133,841.057,840.908,0.745
10.14,770.515,0.0013,841.67,841.52,0.746
10.15,848.805,0.00118,842.262,842.111,0.747
10.16,865.72,0.00116,842.833,842.682,0.747
10.17,836.503,0.0012,843.383,843.231,0.748
10.18,848.41,0.00118,843.912,843.76,0.749
10.19,910.283,0.0011,844.421,844.268,0.749
10.2,895.575,0.00112,844.91,844.756,0.75
10.21,869.24,0.00115,845.378,845.225,0.751
10.22,854.625,0.00117,845.827,845.673,0.751
10.23,838.288,0.00119,846.257,846.102,0.752
10.24,821.625,0.00122,846.667,846.512,0.753
10.25,835.035,0.0012,847.058,846.903,0.754
10.26,872.735,0.00115,847.431,847.274,0.754
