"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    509.51
"Instparm: V",   -343.36
"Instparm: W",     76.03
"Instparm: X",      0.00
"Instparm: Y",     13.98
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    131.87
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.09
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,822.308,0.00122,889.702,889.151,0.711
10.01,871.303,0.00115,890.441,889.886,0.712
10.02,970.725,0.00103,891.157,890.598,0.712
10.03,889.01,0.00112,891.851,891.287,0.713
10.04,895.16,0.00112,892.522,891.955,0.714
10.05,896.668,0.00112,893.172,892.6,0.715
10.06,902.725,0.00111,893.8,893.224,0.715
10.07,936.645,0.00107,894.406,893.826,0.716
10.08,1085.303,0.00092,894.992,894.408,0.717
10.09,1024.35,0.00098,895.556,894.968,0.717
10.1,947.097,0.00106,896.1,895.507,0.718
10.11,970.235,0.00103,896.623,896.026,0.719
10.12,909.862,0.0011,897.127,896.525,0.719
10.13,894.27,0.00112,897.61,897.004,0.72
10.14,908.433,0.0011,898.074,897.463,0.721
10.15,940.19,0.00106,898.518,897.903,0.722
10.16,964.457,0.00104,898.943,898.323,0.722
10.17,948.567,0.00105,899.349,898.724,0.723
10.18,937.62,0.00107,899.736,899.107,0.724
10.19,951.737,0.00105,900.105,899.471,0.724
10.2,893.075,0.00112,900.455,899.816,0.725
10.21,868.595,0.00115,900.788,900.144,0.726
10.22,929.888,0.00108,901.102,900.453,0.727
10.23,942.685,0.00106,901.399,900.745,0.727
10.24,886.178,0.00113,901.678,901.019,0.728
10.25,880.0,0.00114,901.94,901.276,0.729
10.26,873.987,0.00114,902.185,901.516,0.729
10.27,867.325,0.00115,902.414,901.739,0.73
10.28,902.707,0.00111,902.625,901.945,0.731
10.29,978.72,0.00102,902.821,902.135,0.732
10.3,995.67,0.001,903.0,902.308,0.732
10.31,951.67,0.00105,903.163,902.466,0.733
10.32,895.692,0.00112,903.311,902.608,0.734
10.33,869.018,0.00115,903.443,902.734,0.734
10.34,896.628,0.00112,903.559,902.845,0.735
10.35,894.01,0.00112,903.661,902.94,0.736
10.36,863.398,0.00116,903.747,903.021,0.736
10.37,916.857,0.00109,903.819,903.087,0.737
10.38,941.28,0.00106,903.876,903.138,0.738
10.39,994.165,0.00101,903.919,903.174,0.739
10.4,946.202,0.00106,903.947,903.197,0.739
10.41,934.025,0.00107,903.962,903.205,0.74
10.42,909.442,0.0011,903.963,903.199,0.741
10.43,870.845,0.00115,903.95,903.18,0.741
10.44,863.683,0.00116,903.924,903.147,0.742
10.45,818.592,0.00122,903.884,903.101,0.743
10.46,893.832,0.00112,903.832,903.042,0.744
10.47,882.472,0.00113,903.766,902.969,0.744
10.48,936.6,0.00107,903.688,902.884,0.745
10.49,904.622,0.00111,903.598,902.787,0.746
10.5,864.283,0.00116,903.495,902.677,0.746
10.51,886.778,0.00113,903.379,902.554,0.747
10.52,901.895,0.00111,903.252,902.42,0.748
10.53,888.47,0.00113,903.113,902.273,0.749
10.54,889.638,0.00112,902.963,902.115,0.749
10.55,881.09,0.00113,902.8,901.945,0.75
10.56,835.465,0.0012,902.627,901.764,0.751
10.57,815.16,0.00123,902.442,901.571,0.751
10.58,831.133,0.0012,902.247,901.368,0.752
10.59,928.222,0.00108,902.04,901.153,0.753
10.6,948.893,0.00105,901.823,900.928,0.753
10.61,852.23,0.00117,901.595,900.692,0.754
10.62,875.538,0.00114,901.357,900.445,0.755
10.63,897.763,0.00111,901.109,900.188,0.756
10.64,855.615,0.00117,900.851,899.921,0.756
10.65,832.253,0.0012,900.583,899.644,0.757
10.66,921.65,0.00109,900.305,899.358,0.758
10.67,871.275,0.00115,900.018,899.061,0.758
10.68,836.747,0.0012,899.721,898.755,0.759
10.69,889.433,0.00112,899.415,898.439,0.76
10.7,884.86,0.00113,899.099,898.115,0.761
10.71,842.033,0.00119,898.775,897.781,0.761
10.72,836.668,0.0012,898.442,897.438,0.762
10.73,901.513,0.00111,898.1,897.086,0.763
10.74,859.913,0.00116,897.75,896.726,0.763
10.75,829.773,0.00121,897.391,896.357,0.764
10.76,867.878,0.00115,897.024,895.979,0.765
10.77,876.275,0.00114,896.649,895.594,0.766
10.78,876.668,0.00114,896.266,895.2,0.766
10.79,856.087,0.00117,895.875,894.798,0.767
10.8,826.885,0.00121,895.477,894.388,0.768
10.81,832.145,0.0012,895.07,893.971,0.768
10.82,859.758,0.00116,894.657,893.546,0.769
10.83,880.942,0.00114,894.236,893.113,0.77
10.84,892.133,0.00112,893.808,892.673,0.771
10.85,881.605,0.00113,893.373,892.226,0.771
10.86,880.0,0.00114,892.93,891.772,0.772
10.87,903.435,0.00111,892.482,891.31,0.773
10.88,915.452,0.00109,892.026,890.842,0.773
10.89,890.325,0.00112,891.564,890.367,0.774
10.9,933.477,0.00107,891.096,889.886,0.775
10.91,901.985,0.00111,890.621,889.398,0.775
10.92,902.513,0.00111,890.14,888.903,0.776
10.93,894.567,0.00112,889.653,888.403,0.777
10.94,948.82,0.00105,889.16,887.896,0.778
10.95,933.315,0.00107,888.662,887.383,0.778
10.96,883.315,0.00113,888.157,886.864,0.779
10.97,865.0,0.00116,887.648,886.339,0.78
10.98,889.57,0.00112,887.132,885.809,0.78
10.99,910.817,0.0011,886.612,885.273,0.781
11.0,910.42,0.0011,886.086,884.732,0.782
11.01,883.8,0.00113,885.555,884.185,0.783
11.02,845.082,0.00118,885.019,883.633,0.783
11.03,866.178,0.00115,884.479,883.076,0.784
11.04,878.722,0.00114,883.933,882.514,0.785
11.05,897.435,0.00111,883.383,881.947,0.785
11.06,850.622,0.00118,882.829,881.375,0.786
11.07,828.817,0.00121,882.27,880.798,0.787
11.08,931.135,0.00107,881.706,880.217,0.788
11.09,856.75,0.00117,881.139,879.631,0.788
11.1,875.225,0.00114,880.567,879.041,0.789
11.11,897.388,0.00111,879.992,878.446,0.79
11.12,905.793,0.0011,879.412,877.847,0.79
11.13,915.352,0.00109,878.829,877.244,0.791
11.14,835.638,0.0012,878.242,876.637,0.792
11.15,843.58,0.00119,877.669,876.026,0.792
11.16,840.885,0.00119,877.075,875.411,0.793
11.17,842.89,0.00119,876.478,874.793,0.794
11.18,912.658,0.0011,875.878,874.17,0.795
11.19,914.673,0.00109,875.274,873.544,0.795
11.2,916.22,0.00109,874.676,872.915,0.796
11.21,896.475,0.00112,874.067,872.282,0.797
11.22,907.75,0.0011,873.454,871.646,0.797
11.23,935.935,0.00107,872.839,871.006,0.798
11.24,853.587,0.00117,872.222,870.364,0.799
11.25,802.572,0.00125,871.601,869.718,0.8
11.26,819.688,0.00122,870.979,869.069,0.8
11.27,852.097,0.00117,870.353,868.418,0.801
11.28,862.418,0.00116,869.726,867.764,0.802
11.29,906.438,0.0011,869.097,867.106,0.802
11.3,896.1,0.00112,868.465,866.447,0.803
11.31,910.558,0.0011,867.831,865.784,0.804
11.32,841.595,0.00119,867.196,865.119,0.805
11.33,855.812,0.00117,866.559,864.452,0.805
11.34,877.2,0.00114,865.92,863.782,0.806
11.35,908.653,0.0011,865.28,863.111,0.807
11.36,830.278,0.0012,864.638,862.436,0.807
11.37,859.605,0.00116,863.995,861.76,0.808
11.38,946.783,0.00106,863.35,861.082,0.809
11.39,948.56,0.00105,862.705,860.402,0.809
11.4,889.497,0.00112,862.058,859.719,0.81
11.41,851.43,0.00117,861.41,859.035,0.811
11.42,838.1,0.00119,860.762,858.35,0.812
11.43,850.938,0.00118,860.112,857.662,0.812
11.44,833.362,0.0012,859.462,856.973,0.813
11.45,807.188,0.00124,858.812,856.282,0.814
11.46,837.535,0.00119,858.16,855.59,0.814
11.47,831.938,0.0012,857.509,854.897,0.815
11.48,784.442,0.00127,856.857,854.202,0.816
11.49,836.433,0.0012,856.206,853.505,0.817
11.5,858.045,0.00117,855.553,852.808,0.817
11.51,834.413,0.0012,854.901,852.109,0.818
11.52,815.79,0.00123,854.25,851.409,0.819
11.53,867.3,0.00115,853.598,850.708,0.819
11.54,836.92,0.00119,852.947,850.007,0.82
11.55,900.94,0.00111,852.296,849.304,0.821
11.56,867.955,0.00115,851.645,848.6,0.822
11.57,823.148,0.00121,850.996,847.896,0.822
11.58,845.0,0.00118,850.347,847.191,0.823
11.59,855.665,0.00117,849.699,846.485,0.824
11.6,856.668,0.00117,849.052,845.778,0.824
11.61,867.982,0.00115,848.406,845.071,0.825
11.62,861.518,0.00116,847.762,844.363,0.826
11.63,851.52,0.00117,847.119,843.655,0.826
11.64,864.125,0.00116,846.477,842.946,0.827
11.65,872.312,0.00115,845.837,842.238,0.828
11.66,907.197,0.0011,845.199,841.528,0.829
11.67,859.742,0.00116,844.563,840.819,0.829
11.68,782.34,0.00128,843.928,840.109,0.83
11.69,817.903,0.00122,843.296,839.399,0.831
11.7,826.668,0.00121,842.667,838.689,0.831
11.71,812.592,0.00123,842.04,837.979,0.832
11.72,781.865,0.00128,841.416,837.269,0.833
11.73,793.54,0.00126,840.794,836.559,0.834
11.74,833.205,0.0012,840.176,835.849,0.834
11.75,851.237,0.00117,839.56,835.139,0.835
11.76,842.102,0.00119,838.95,834.429,0.836
11.77,896.128,0.00112,838.342,833.719,0.836
11.78,842.155,0.00119,837.737,833.01,0.837
11.79,869.247,0.00115,837.137,832.301,0.838
11.8,865.457,0.00116,836.541,831.592,0.839
11.81,815.725,0.00123,835.95,830.884,0.839
11.82,890.64,0.00112,835.363,830.176,0.84
11.83,853.51,0.00117,834.781,829.469,0.841
11.84,795.798,0.00126,834.205,828.762,0.841
11.85,803.435,0.00124,833.634,828.056,0.842
11.86,840.188,0.00119,833.068,827.35,0.843
11.87,852.25,0.00117,832.509,826.645,0.843
11.88,833.8,0.0012,831.957,825.941,0.844
11.89,807.688,0.00124,831.411,825.237,0.845
11.9,831.207,0.0012,830.873,824.534,0.846
11.91,819.95,0.00122,830.342,823.832,0.846
11.92,836.16,0.0012,829.819,823.13,0.847
11.93,909.577,0.0011,829.305,822.43,0.848
11.94,903.862,0.00111,828.8,821.73,0.848
11.95,869.418,0.00115,828.304,821.031,0.849
11.96,863.332,0.00116,827.819,820.333,0.85
11.97,888.33,0.00113,827.344,819.637,0.851
11.98,912.765,0.0011,826.881,818.941,0.851
11.99,869.503,0.00115,826.429,818.246,0.852
12.0,854.455,0.00117,825.99,817.552,0.853
12.01,822.847,0.00122,825.565,816.86,0.853
12.02,824.977,0.00121,825.155,816.169,0.854
12.03,884.805,0.00113,824.759,815.478,0.855
12.04,874.53,0.00114,824.391,814.789,0.856
12.05,878.298,0.00114,824.03,814.101,0.856
12.06,896.585,0.00112,823.687,813.415,0.857
12.07,853.038,0.00117,823.364,812.73,0.858
12.08,868.183,0.00115,823.063,812.046,0.858
12.09,856.775,0.00117,822.79,811.363,0.859
12.1,825.753,0.00121,822.536,810.682,0.86
12.11,775.895,0.00129,822.309,810.002,0.86
12.12,761.158,0.00131,822.111,809.324,0.861
12.13,782.03,0.00128,821.943,808.647,0.862
12.14,808.683,0.00124,821.809,807.972,0.863
12.15,824.335,0.00121,821.711,807.298,0.863
12.16,873.403,0.00114,821.652,806.625,0.864
12.17,855.857,0.00117,821.636,805.955,0.865
12.18,847.255,0.00118,821.666,805.285,0.865
12.19,813.73,0.00123,821.748,804.618,0.866
12.2,817.64,0.00122,821.886,803.952,0.867
12.21,841.933,0.00119,822.087,803.287,0.868
12.22,832.965,0.0012,822.358,802.625,0.868
12.23,794.398,0.00126,822.71,801.964,0.869
12.24,844.145,0.00118,823.154,801.304,0.87
12.25,867.61,0.00115,823.709,800.647,0.87
12.26,902.81,0.00111,824.399,799.991,0.871
12.27,869.01,0.00115,825.258,799.337,0.872
12.28,824.495,0.00121,826.336,798.684,0.872
12.29,789.37,0.00127,827.705,798.034,0.873
12.3,807.885,0.00124,829.466,797.385,0.874
12.31,870.59,0.00115,831.765,796.738,0.875
12.32,905.133,0.0011,834.804,796.093,0.875
12.33,890.935,0.00112,838.859,795.45,0.876
12.34,859.447,0.00116,844.303,794.809,0.877
12.35,915.903,0.00109,851.622,794.17,0.877
12.36,864.745,0.00116,861.441,793.532,0.878
12.37,879.893,0.00114,874.533,792.897,0.879
12.38,875.803,0.00114,891.831,792.263,0.88
12.39,835.332,0.0012,914.418,791.632,0.88
12.4,921.615,0.00109,943.507,791.002,0.881
12.41,935.2,0.00107,980.393,790.375,0.882
12.42,944.173,0.00106,1026.376,789.749,0.882
12.43,1054.995,0.00095,1082.668,789.126,0.883
12.44,1088.12,0.00092,1150.267,788.504,0.884
12.45,1168.45,0.00086,1229.818,787.885,0.885
12.46,1175.852,0.00085,1321.465,787.268,0.885
12.47,1246.29,0.0008,1424.712,786.653,0.886
12.48,1355.15,0.00074,1538.304,786.039,0.887
12.49,1533.207,0.00065,1660.141,785.428,0.887
12.5,1707.57,0.00059,1787.243,784.819,0.888
12.51,1810.092,0.00055,1915.769,784.213,0.889
12.52,1910.193,0.00052,2041.097,783.608,0.889
12.53,2091.568,0.00048,2157.993,783.005,0.89
12.54,2124.617,0.00047,2260.896,782.405,0.891
12.55,2072.23,0.00048,2344.343,781.807,0.892
12.56,2151.398,0.00046,2403.549,781.211,0.892
12.57,2189.452,0.00046,2435.025,780.617,0.893
12.58,2077.878,0.00048,2437.092,780.025,0.894
12.59,1964.128,0.00051,2410.132,779.436,0.894
12.6,2007.7,0.0005,2356.516,778.848,0.895
12.61,1940.243,0.00052,2280.33,778.263,0.896
12.62,1914.642,0.00052,2186.818,777.681,0.897
12.63,1889.237,0.00053,2082.009,777.1,0.897
12.64,1781.658,0.00056,1972.126,776.522,0.898
12.65,1732.6,0.00058,1863.19,775.945,0.899
12.66,1601.057,0.00062,1760.71,775.372,0.899
12.67,1415.082,0.00071,1669.416,774.8,0.9
12.68,1382.005,0.00072,1593.139,774.231,0.901
12.69,1396.672,0.00072,1534.714,773.663,0.902
12.7,1357.34,0.00074,1495.901,773.099,0.902
12.71,1304.033,0.00077,1477.376,772.536,0.903
12.72,1277.355,0.00078,1478.756,771.976,0.904
12.73,1363.825,0.00073,1498.638,771.418,0.904
12.74,1575.523,0.00063,1534.7,770.862,0.905
12.75,1732.328,0.00058,1583.79,770.309,0.906
12.76,1791.882,0.00056,1642.054,769.758,0.906
12.77,1877.0,0.00053,1705.083,769.209,0.907
12.78,1925.858,0.00052,1768.108,768.662,0.908
12.79,1943.943,0.00051,1826.128,768.118,0.909
12.8,2002.325,0.0005,1874.378,767.576,0.909
12.81,2011.37,0.0005,1908.586,767.037,0.91
12.82,1957.055,0.00051,1925.476,766.5,0.911
12.83,1945.98,0.00051,1923.099,765.965,0.911
12.84,1928.158,0.00052,1900.96,765.432,0.912
12.85,1849.342,0.00054,1860.049,764.902,0.913
12.86,1816.795,0.00055,1802.564,764.374,0.914
12.87,1678.727,0.0006,1731.58,763.848,0.914
12.88,1574.753,0.00064,1650.695,763.325,0.915
12.89,1585.665,0.00063,1563.657,762.804,0.916
12.9,1601.237,0.00062,1474.061,762.285,0.916
12.91,1484.852,0.00067,1385.125,761.769,0.917
12.92,1379.658,0.00072,1299.559,761.255,0.918
12.93,1254.812,0.0008,1219.478,760.743,0.918
12.94,1124.17,0.00089,1146.394,760.233,0.919
12.95,1054.642,0.00095,1081.232,759.726,0.92
12.96,1006.585,0.00099,1024.386,759.222,0.921
12.97,912.722,0.0011,975.802,758.719,0.921
12.98,900.487,0.00111,935.073,758.219,0.922
12.99,913.812,0.00109,901.539,757.721,0.923
13.0,919.285,0.00109,874.38,757.226,0.923
13.01,823.178,0.00121,852.706,756.733,0.924
13.02,807.128,0.00124,835.623,756.242,0.925
13.03,849.202,0.00118,822.284,755.753,0.926
13.04,833.88,0.0012,811.926,755.267,0.926
13.05,797.952,0.00125,803.884,754.783,0.927
13.06,790.0,0.00127,797.605,754.302,0.928
13.07,743.072,0.00135,792.636,753.822,0.928
13.08,802.952,0.00125,788.624,753.345,0.929
13.09,786.88,0.00127,785.301,752.87,0.93
13.1,805.29,0.00124,782.468,752.398,0.931
13.11,766.523,0.0013,779.983,751.928,0.931
13.12,727.345,0.00137,777.75,751.46,0.932
13.13,771.947,0.0013,775.702,750.994,0.933
13.14,802.24,0.00125,773.798,750.531,0.933
13.15,793.697,0.00126,772.012,750.07,0.934
13.16,826.293,0.00121,770.329,749.611,0.935
13.17,800.395,0.00125,768.738,749.155,0.935
13.18,769.288,0.0013,767.234,748.7,0.936
13.19,822.845,0.00122,765.812,748.248,0.937
13.2,883.96,0.00113,764.484,747.799,0.938
13.21,852.735,0.00117,763.214,747.351,0.938
13.22,798.68,0.00125,762.014,746.906,0.939
13.23,838.285,0.00119,760.878,746.463,0.94
13.24,861.07,0.00116,759.802,746.022,0.94
13.25,798.893,0.00125,758.781,745.583,0.941
13.26,777.425,0.00129,757.818,745.147,0.942
13.27,768.942,0.0013,756.89,744.713,0.943
13.28,838.7,0.00119,756.002,744.281,0.943
13.29,852.288,0.00117,755.149,743.851,0.944
13.3,796.043,0.00126,754.328,743.423,0.945
13.31,738.918,0.00135,753.535,742.998,0.945
13.32,744.63,0.00134,752.767,742.574,0.946
13.33,760.258,0.00132,752.023,742.153,0.947
13.34,755.645,0.00132,751.299,741.734,0.947
13.35,755.895,0.00132,750.594,741.318,0.948
13.36,761.785,0.00131,749.907,740.903,0.949
13.37,773.565,0.00129,749.236,740.491,0.95
13.38,758.775,0.00132,748.58,740.08,0.95
13.39,809.53,0.00124,747.938,739.672,0.951
13.4,798.587,0.00125,747.31,739.266,0.952
13.41,767.04,0.0013,746.695,738.862,0.952
13.42,770.197,0.0013,746.091,738.46,0.953
13.43,783.525,0.00128,745.499,738.06,0.954
13.44,763.753,0.00131,744.917,737.662,0.955
13.45,827.908,0.00121,744.346,737.267,0.955
13.46,900.852,0.00111,743.785,736.873,0.956
13.47,812.485,0.00123,743.237,736.482,0.957
13.48,785.077,0.00127,742.694,736.092,0.957
13.49,824.73,0.00121,742.16,735.705,0.958
13.5,798.628,0.00125,741.634,735.319,0.959
13.51,766.393,0.0013,741.116,734.936,0.959
13.52,727.077,0.00138,740.606,734.555,0.96
13.53,779.94,0.00128,740.104,734.175,0.961
13.54,858.173,0.00117,739.608,733.798,0.962
13.55,841.283,0.00119,739.119,733.423,0.962
13.56,759.278,0.00132,738.637,733.049,0.963
13.57,729.095,0.00137,738.161,732.678,0.964
13.58,736.758,0.00136,737.691,732.308,0.964
