,trial,state,Rwp,datetime_start,datetime_complete,Backgroundrefine,Backgroundtype,Instrument_parametersrefineZero,Mustrainrefine,Numberofcoefficients,Peakshape_parametersrefineSH/L,Peakshape_parametersrefineU,Peakshape_parametersrefineV,Peakshape_parametersrefineW,Peakshape_parametersrefineX,Peakshape_parametersrefineY,Phase_parametersrefinephase0,Sample_parametersrefineShift,Sample_parametersrefineSurfRoughA,Sample_parametersrefineSurfRoughB,system_attrs_number
0,0,TrialState.COMPLETE,18.862736170422256,2024-06-17 14:54:32.782266,2024-06-17 14:55:28.864937,True,cosine,False,True,2,False,False,True,False,True,True,False,False,False,True,0
1,1,TrialState.COMPLETE,55.20126130513534,2024-06-17 14:54:32.791867,2024-06-17 14:55:55.280676,False,cosine,False,True,10,False,False,True,False,False,False,False,True,False,False,1
2,2,TrialState.COMPLETE,43.488947528671694,2024-06-17 14:54:32.799226,2024-06-17 15:12:25.864943,False,log interpolate,True,True,7,True,True,True,False,False,False,False,False,False,True,2
3,3,TrialState.COMPLETE,22.400618812177004,2024-06-17 14:54:32.806431,2024-06-17 14:55:02.880624,True,Q^-2 power series,True,True,16,True,False,False,True,True,True,False,True,True,False,3
4,4,TrialState.COMPLETE,81.96967870338953,2024-06-17 14:54:32.806737,2024-06-17 14:54:45.154903,True,inv interpolate,True,False,14,True,False,True,True,True,False,True,False,False,False,4
5,5,TrialState.COMPLETE,8.437264322050401,2024-06-17 14:54:32.806860,2024-06-17 14:55:36.617290,True,chebyschev,False,True,9,True,False,False,True,True,True,False,True,False,False,5
6,6,TrialState.COMPLETE,68.1380781604504,2024-06-17 14:54:32.806944,2024-06-17 14:54:52.315355,False,cosine,True,True,16,True,False,True,True,True,True,False,False,True,False,6
7,7,TrialState.COMPLETE,68.1380781604504,2024-06-17 14:54:32.810416,2024-06-17 14:54:57.034521,False,cosine,True,False,1,True,True,True,False,True,True,True,True,True,True,7
8,8,TrialState.COMPLETE,27.86508858684615,2024-06-17 14:54:32.810604,2024-06-17 14:54:53.323039,True,Q^-2 power series,True,False,1,True,False,False,True,True,True,True,False,True,False,8
9,9,TrialState.COMPLETE,46.67940689931807,2024-06-17 14:54:32.810649,2024-06-17 14:55:51.973333,False,Q^2 power series,True,True,7,True,False,False,True,False,True,True,False,False,False,9
10,10,TrialState.COMPLETE,47.65283335711875,2024-06-17 14:54:45.159899,2024-06-17 14:56:15.824209,False,Q^-2 power series,True,True,5,False,False,True,False,True,False,True,False,False,False,10
11,11,TrialState.COMPLETE,13.54194354919227,2024-06-17 14:54:52.321917,2024-06-17 14:56:13.159997,True,Q^-2 power series,True,True,15,False,True,True,False,False,False,True,False,False,True,11
12,12,TrialState.COMPLETE,22.282890062819227,2024-06-17 14:54:53.333198,2024-06-17 14:55:21.700676,True,Q^-2 power series,True,False,7,True,False,True,False,True,False,False,False,True,True,12
13,13,TrialState.COMPLETE,47.24785242283667,2024-06-17 14:54:57.060201,2024-06-17 14:56:05.713766,False,Q^-2 power series,True,True,9,False,False,False,False,False,True,False,True,False,False,13
14,14,TrialState.COMPLETE,45.457173395504235,2024-06-17 14:55:02.902871,2024-06-17 14:58:28.234407,False,Q^-2 power series,True,False,10,True,True,True,False,True,False,True,True,False,True,14
15,15,TrialState.COMPLETE,8.832120985897566,2024-06-17 14:55:21.706687,2024-06-17 14:56:32.658564,True,cosine,False,True,12,True,False,False,True,False,False,False,True,False,False,15
16,16,TrialState.COMPLETE,47.214052853107326,2024-06-17 14:55:28.879317,2024-06-17 14:56:46.518289,False,Q^2 power series,False,True,10,False,True,True,False,True,True,False,False,False,False,16
17,17,TrialState.COMPLETE,41.9338044375435,2024-06-17 14:55:36.625683,2024-06-17 15:05:57.927229,False,cosine,False,False,6,True,False,False,False,True,True,False,False,False,True,17
18,18,TrialState.COMPLETE,18.80487920723247,2024-06-17 14:55:51.992611,2024-06-17 14:56:14.823849,True,log interpolate,True,True,11,True,True,False,True,False,False,False,True,True,False,18
19,19,TrialState.COMPLETE,46.280575953385224,2024-06-17 14:55:55.297135,2024-06-17 14:57:26.153766,False,log interpolate,False,False,14,True,False,True,False,True,True,True,True,False,False,19
20,20,TrialState.COMPLETE,8.03099154720014,2024-06-17 14:56:05.722510,2024-06-17 14:56:46.543122,True,cosine,False,False,13,False,True,True,True,True,False,True,True,False,False,20
21,21,TrialState.COMPLETE,44.61167235615119,2024-06-17 14:56:13.170091,2024-06-17 14:58:17.707219,False,cosine,False,False,15,True,True,True,False,True,True,False,False,False,True,21
22,22,TrialState.COMPLETE,9.726735964791652,2024-06-17 14:56:14.844930,2024-06-17 14:57:07.702106,True,Q^-2 power series,False,True,4,True,True,True,False,True,False,False,True,False,True,22
23,23,TrialState.COMPLETE,56.42941188571218,2024-06-17 14:56:15.833926,2024-06-17 14:56:28.961709,True,Q^2 power series,False,True,5,True,False,True,False,True,False,False,False,True,True,23
24,24,TrialState.COMPLETE,81.96967870338953,2024-06-17 14:56:28.983737,2024-06-17 14:56:37.967377,True,inv interpolate,True,False,13,True,True,False,True,False,False,True,False,True,False,24
25,25,TrialState.COMPLETE,70.23276015244626,2024-06-17 14:56:32.694681,2024-06-17 14:56:52.292372,False,inv interpolate,False,True,15,False,True,True,True,True,True,True,False,True,True,25
26,26,TrialState.COMPLETE,24.37562873662605,2024-06-17 14:56:37.988171,2024-06-17 14:56:57.010405,True,cosine,False,False,13,True,True,False,False,False,True,True,True,True,False,26
27,27,TrialState.COMPLETE,15.990193840969852,2024-06-17 14:56:46.529192,2024-06-17 14:57:37.287659,True,chebyschev,False,False,16,False,False,True,False,True,False,True,False,False,True,27
28,28,TrialState.COMPLETE,68.2621623120538,2024-06-17 14:56:46.577391,2024-06-17 14:57:06.137701,False,inv interpolate,True,False,13,False,True,False,False,False,True,True,False,True,False,28
29,29,TrialState.COMPLETE,8.665452990703486,2024-06-17 14:56:52.316598,2024-06-17 14:57:37.135539,True,chebyschev,False,False,7,False,True,False,True,True,False,True,True,False,False,29
30,30,TrialState.COMPLETE,8.235988829540974,2024-06-17 14:56:57.022937,2024-06-17 14:57:45.437239,True,chebyschev,False,False,12,False,True,False,True,True,False,False,True,False,False,30
31,31,TrialState.COMPLETE,8.304715467641884,2024-06-17 14:57:06.148025,2024-06-17 14:57:59.502346,True,chebyschev,False,False,12,True,False,False,True,True,False,False,True,False,False,31
32,32,TrialState.COMPLETE,8.337569509894653,2024-06-17 14:57:07.715270,2024-06-17 14:58:01.105689,True,chebyschev,False,False,11,True,False,False,True,True,False,False,True,False,False,32
33,33,TrialState.COMPLETE,9.205335091813858,2024-06-17 14:57:26.166728,2024-06-17 14:58:14.542873,True,chebyschev,False,False,11,False,False,False,True,False,False,False,True,False,False,33
34,34,TrialState.COMPLETE,8.665452990703486,2024-06-17 14:57:37.150499,2024-06-17 14:58:28.494723,True,chebyschev,False,False,7,False,True,False,True,True,False,True,True,False,False,34
35,35,TrialState.COMPLETE,8.665452990703486,2024-06-17 14:57:37.306243,2024-06-17 14:58:27.480240,True,chebyschev,False,False,7,False,True,False,True,True,False,True,True,False,False,35
36,36,TrialState.COMPLETE,8.23552647203522,2024-06-17 14:57:45.465255,2024-06-17 14:58:32.948976,True,chebyschev,False,False,11,False,True,False,True,True,False,False,True,False,False,36
